0	Index      	 *	Score 	Summary	Detail	
1	11612 45312	 * 	280.98	DCR|DCR|3VULN|1MSLTOX|1AART|1AAC	1AAC|25aVULN|3ERES|4BBNT|6AART|79RCR|8MSLTOX
2	33324 31624	 * 	278.46	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AART	1CGEN|2AART|3DMG|4VULN|5TLV|6aRCR|7LHND|8MLV|9BEXP
3	33324 31634	   	278.46	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AART	1CGEN|2AART|3DMG|4VULN|5TLV|6aRCR|7LHND|8MLV|9FEWX
4	11161 21518	 * 	262.08	DCR|DCR|2VULN|1TLV|1AAC	1AAC|24VULN|3ASPD|5AIRARM|6LHND|7MBVNT|8aRCR|9TLV
5	13361 21518	   	262.08	DCR|DCR|2VULN|1TLV|1AAC	1AAC|2ASPD|34VULN|5AIRARM|6LHND|7MBVNT|8aRCR|9TLV
6	11161 11518	   	261.98	DCR|DCR|2VULN|1TLV|1AAC	1AAC|24VULN|3ASPD|5AIRARM|6DUST|7MBVNT|8aRCR|9TLV
7	13361 11518	   	261.98	DCR|DCR|2VULN|1TLV|1AAC	1AAC|2ASPD|34VULN|5AIRARM|6DUST|7MBVNT|8aRCR|9TLV
8	11612 45313	   	258.84	DCR|DCR|2VULN|1MSLTOX|1AART|1AAC	1AAC|25VULN|3ERES|4BBNT|6AART|79RCR|8MSLTOX|aBEXP
9	11611 45312	   	258.74	DCR|DCR|2VULN|1MSLTOX|1AART|1AAC	1AAC|2aVULN|35ERES|4BBNT|6AART|79RCR|8MSLTOX
10	11612 45311	   	258.74	DCR|DCR|2VULN|1MSLTOX|1AART|1AAC	1AAC|25VULN|3ERES|4BBNT|6AART|79RCR|8MSLTOX|aMBVNT
11	11361 21518	   	255.14	DCR|DCR|2VULN|1TLV|1AAC	1AAC|24VULN|3ZMB|5AIRARM|6LHND|7MBVNT|8aRCR|9TLV
12	11361 11518	   	255.04	DCR|DCR|2VULN|1TLV|1AAC	1AAC|24VULN|3ZMB|5AIRARM|6DUST|7MBVNT|8aRCR|9TLV
13	33334 31624	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1AART	1CGEN|2AART|3DMG|4ERES|5VULN|6aRCR|7LHND|8MLV|9BEXP
14	33334 31634	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1AART	1CGEN|2AART|3DMG|4ERES|5VULN|6aRCR|7LHND|8MLV|9FEWX
15	13123 11538	   	251.48	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1AAC|2ASPD|3TSLARM|4MLV|5VULN|6TLV|7MBVNT|8aRCR|9RMIN
16	13223 11538	   	251.48	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1AAC|2ASPD|3LSRICY|4MLV|5VULN|6TLV|7MBVNT|8aRCR|9RMIN
