0	Index      	 *	Score 	Summary	Detail	
1	11621 13462	 * 	299.39	DCR|DCR|2VULN|2TLV|1DMG|1DUR	1DUR|27VULN|34TLV|5CGEN|69RCR|8LIT|aDMG
2	11153 13462	 * 	297.45	DCR|DCR|3VULN|2DUR|1DMG	15DUR|237VULN|4LHND|69RCR|8LIT|aDMG
3	15133 13462	   	297.45	DCR|DCR|3VULN|2DUR|1DMG	15DUR|2LWND|347VULN|69RCR|8LIT|aDMG
4	11533 13462	   	297.35	DCR|DCR|3VULN|2DUR|1DMG	15DUR|247VULN|3DUST|69RCR|8LIT|aDMG
5	11633 64322	 * 	295.64	DCR|3VULN|3DUR|2DMG|2MLV|1TLV	159DUR|269VULN|3TLV|48DMG|79MLV|9BPWR|aRCR
6	11125 13462	   	284.89	DCR|DCR|3VULN|1DMG|1DUR	1DUR|237VULN|4RCVC|5DUST|69RCR|8LIT|aDMG
7	11135 13462	   	284.79	DCR|DCR|3VULN|1DMG|1DUR	1DUR|237VULN|4AEBURN|5DUST|69RCR|8LIT|aDMG
8	11633 24322	 * 	283.83	DCR|2VULN|3DUR|2DMG|2TLV|2MLV	159DUR|29VULN|36TLV|48DMG|79MLV|9BPWR|aRCR
9	11621 13461	   	279.23	DCR|DCR|2VULN|2TLV|1DUR|1SELL	1DUR|27VULN|34TLV|5CGEN|69RCR|8LIT|aSELL
10	11621 13463	   	279.23	DCR|DCR|2VULN|2TLV|1DUR	1DUR|27VULN|34TLV|5CGEN|69RCR|8LIT|aDUST
11	11153 13461	   	277.28	DCR|DCR|3VULN|2DUR|1SELL	15DUR|237VULN|4LHND|69RCR|8LIT|aSELL
12	11153 13463	   	277.28	DCR|DCR|3VULN|2DUR	15DUR|237VULN|4LHND|69RCR|8LIT|aDUST
13	15133 13461	   	277.28	DCR|DCR|3VULN|2DUR|1SELL	15DUR|2LWND|347VULN|69RCR|8LIT|aSELL
14	15133 13463	   	277.28	DCR|DCR|3VULN|2DUR	15DUR|2LWND|347VULN|69RCR|8LIT|aDUST
15	11533 13461	   	277.18	DCR|DCR|3VULN|2DUR|1SELL	15DUR|247VULN|3DUST|69RCR|8LIT|aSELL
16	11533 13463	   	277.18	DCR|DCR|3VULN|2DUR|1MSE	15DUR|247VULN|3DUST|69RCR|8LIT|aMSE
17	11143 12462	   	275.31	DCR|DCR|2VULN|2DUR|1DMG	15DUR|23VULN|47BEXP|69RCR|8LIT|aDMG
18	11353 13462	   	275.31	DCR|DCR|2VULN|2DUR|1DMG	15DUR|27VULN|3RCVC|4LHND|69RCR|8LIT|aDMG
19	11433 12462	   	275.31	DCR|DCR|2VULN|2DUR|1DMG	15DUR|24VULN|37BEXP|69RCR|8LIT|aDMG
20	11225 13462	   	275.21	DCR|DCR|2VULN|2DUR|1DMG	13DUR|27VULN|4RCVC|5DUST|69RCR|8LIT|aDMG
21	11235 13462	   	275.11	DCR|DCR|2VULN|2DUR|1DMG	13DUR|27VULN|4AEBURN|5DUST|69RCR|8LIT|aDMG
