0	Index      	 *	Score 	Summary	Detail	
1	11313 13434	 * 	290.93	DCR|DCR|3VULN|2DUR|2ASPD	1aDUR|2ERES|36aVULN|4AETHUN|5RCVC|78RCR|9aASPD|aBPWR
2	23315 42421	 * 	288.76	DCR|DCR|2VULN|1TLV|1DMG|1DUR	1DUST|2TLV|35VULN|4AEWIND|68RCR|7DUR|9AEBURN|aDMG
3	23315 42431	   	288.76	DCR|DCR|2VULN|1TLV|1DMG|1DUR	1DUST|2TLV|35VULN|4AEWIND|68RCR|7DUR|9AEFRZ|aDMG
4	12235 13415	   	284.30	DCR|DCR|2VULN|1TLV|1MLV|1DUR	1DUR|23DUST|4MLV|56VULN|78RCR|9FRZFST|aTLV
5	15323 13462	   	282.54	DCR|DCR|2VULN|2DUR|1AART|1AAC	14DUR|2LHND|36VULN|5CGEN|78RCR|9AART|aAAC
6	23315 13462	   	282.44	DCR|DCR|2VULN|1TLV|1AART|1AAC	1DUST|2TLV|35VULN|4AEWIND|6LWND|78RCR|9AART|aAAC
7	13326 13415	 * 	281.35	DCR|DCR|2VULN|2DUR|1TLV	14DUR|2LWND|36VULN|5RMIN|78RCR|9CANTOX|aTLV
8	15323 13415	   	281.35	DCR|DCR|2VULN|2DUR|1TLV	14DUR|2LHND|36VULN|5CGEN|78RCR|9FRZFST|aTLV
9	12235 13441	   	278.78	DCR|DCR|2VULN|1MLV|1DUR|1CDMG	1DUR|23DUST|4MLV|56VULN|78RCR|9ASPD|aCDMG
10	12235 13461	   	278.26	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1DUR|23DUST|4MLV|56VULN|78RCR|9DMSP|aDMG
11	12235 13421	   	278.16	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1DUR|23DUST|4MLV|56VULN|78RCR|9AEBURN|aDMG
12	12235 13431	   	278.16	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1DUR|23DUST|4MLV|56VULN|78RCR|9AEFRZ|aDMG
13	12435 13421	   	278.16	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1DUR|2DUST|39AEBURN|4MLV|56VULN|78RCR|aDMG
14	12435 13431	   	278.16	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1DUR|2DUST|3AEBURN|4MLV|56VULN|78RCR|9AEFRZ|aDMG
15	12235 13442	   	276.14	DCR|DCR|2VULN|1MLV|1DUR|1NUKE	1DUR|23DUST|4MLV|56VULN|78RCR|9ASPD|aNUKE
16	13326 13441	   	275.83	DCR|DCR|2VULN|2DUR|1CDMG	14DUR|2LWND|36VULN|5RMIN|78RCR|9ASPD|aCDMG
17	15323 13431	   	275.83	DCR|DCR|2VULN|2DUR|1CDMG	14DUR|2LHND|36VULN|5CGEN|78RCR|9ASPD|aCDMG
18	23326 13431	   	275.83	DCR|DCR|2VULN|1TLV|1CDMG	1DUST|2TLV|36VULN|4CGEN|5RMIN|78RCR|9ASPD|aCDMG
19	23315 13441	   	275.73	DCR|DCR|2VULN|1TLV|1CDMG	1DUST|2TLV|35VULN|4AEWIND|6LWND|78RCR|9ASPD|aCDMG
20	13326 13461	 * 	275.31	DCR|DCR|2VULN|2DUR|1DMG	14DUR|2LWND|36VULN|5RMIN|78RCR|9DMSP|aDMG
21	23326 13461	   	275.31	DCR|DCR|2VULN|1TLV|1DMG	1DUST|2TLV|36VULN|4CGEN|5RMIN|78RCR|9DMSP|aDMG
22	13326 13421	   	275.21	DCR|DCR|2VULN|2DUR|1DMG	14DUR|2LWND|36VULN|5RMIN|78RCR|9AEBURN|aDMG
23	13326 13431	   	275.21	DCR|DCR|2VULN|2DUR|1DMG	14DUR|2LWND|36VULN|5RMIN|78RCR|9AEFRZ|aDMG
24	15326 13421	   	275.21	DCR|DCR|2VULN|2DUR|1DMG	14DUR|2LHND|36VULN|5RMIN|78RCR|9AEBURN|aDMG
25	15326 13431	   	275.21	DCR|DCR|2VULN|2DUR|1DMG	14DUR|2LHND|36VULN|5RMIN|78RCR|9AEFRZ|aDMG
26	23343 11626	   	275.21	DCR|DCR|2VULN|1TLV|1DMG|1NUKE	1DUST|2TLV|36VULN|4DMG|5NUKE|7FEWX|8aRCR|9RPLT
27	23363 11626	   	275.21	DCR|DCR|2VULN|1TLV|1DMG|1NUKE	1DUST|2TLV|36VULN|4NUKE|5DMG|7FEWX|8aRCR|9RPLT
28	23315 13421	   	275.11	DCR|DCR|2VULN|1TLV|1DMG	1DUST|2TLV|35VULN|4AEWIND|6LWND|78RCR|9AEBURN|aDMG
29	23315 13431	   	275.11	DCR|DCR|2VULN|1TLV|1DMG	1DUST|2TLV|35VULN|4AEWIND|6LWND|78RCR|9AEFRZ|aDMG
30	23615 13421	   	275.11	DCR|DCR|2VULN|1TLV|1DMG	1DUST|2TLV|3LHND|4AEFRZ|56VULN|78RCR|9AEBURN|aDMG
31	13326 13442	   	273.19	DCR|DCR|2VULN|2DUR|1NUKE	14DUR|2LWND|36VULN|5RMIN|78RCR|9ASPD|aNUKE
32	15323 13432	   	273.19	DCR|DCR|2VULN|2DUR|1NUKE	14DUR|2LHND|36VULN|5CGEN|78RCR|9ASPD|aNUKE
33	23326 13432	   	273.19	DCR|DCR|2VULN|1TLV|1NUKE	1DUST|2TLV|36VULN|4CGEN|5RMIN|78RCR|9ASPD|aNUKE
34	23315 13442	   	273.09	DCR|DCR|2VULN|1TLV|1NUKE	1DUST|2TLV|35VULN|4AEWIND|6LWND|78RCR|9ASPD|aNUKE
