0	Index      	 *	Score 	Summary	Detail	
1	12512 22442	 * 	252.58	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9DUR|aMLV
2	12512 22436	 * 	249.43	DCR|DCR|2VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5aVULN|6ASPD|78RCR|9TBNT
3	52323 15431	 * 	249.20	DCR|DCR|2VULN|1DMG	19ERES|2FEWX|39VULN|4DMG|5RAT|69LWND|7RPLT|8aRCR|9BPWR
4	41332 13221	 * 	249.14	DCR|DCR|1VULN|1TLV|1DUR|2SELL	17SELL|2DUST|3DUR|4VULN|5ASPD|6aRCR|8TLV|9RAT
5	51323 15431	   	249.10	DCR|DCR|2VULN|1DMG	19ERES|2LEGI|39VULN|4DMG|5RAT|69LWND|7RPLT|8aRCR|9BPWR
6	33342 16133	 * 	246.54	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1AETHUN|289VULN|3CDMG|4DUR|5ASPD|6RCR|7DMG|aTLV
7	22251 13211	   	244.64	DCR|DCR|2VULN|1MLV|1NUKE	1BEXP|2RPLT|35VULN|4MLV|6aRCR|7NUKE|8RAT|9LWND
8	22251 13231	   	244.64	DCR|DCR|2VULN|1MLV|1NUKE	1BEXP|2RPLT|35VULN|4MLV|6aRCR|7NUKE|8RAT|9LHND
9	22251 13321	   	244.54	DCR|DCR|2VULN|1MLV|1NUKE	1BEXP|2RPLT|35VULN|4MLV|6aRCR|7NUKE|8DUST|9RAT
10	55432 13321	 * 	244.44	DCR|DCR|1VULN|2AART|1MLV	1ERES|23AART|4VULN|5MLV|6LHND|7aRCR|8RPLT|9BBNT
11	44162 23221	 * 	244.40	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1SELL|2MLV|3TLV|4LIT|5RAT|69RCR|7VULN|8TBNT|aZMB
12	44162 23222	 * 	244.40	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1SELL|2MLV|3TLV|4LIT|5aRAT|69RCR|7VULN|8TBNT
13	44162 23223	 * 	244.40	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1SELL|2MLV|3TLV|4LIT|5RAT|69RCR|7VULN|8TBNT|aFRZARM
14	22212 44221	 * 	242.69	DCR|DCR|1VULN|1TLV|2ASPD	16BEXP|2RPLT|3VULN|4DUST|56ASPD|6BPWR|7aRCR|8TLV|9RAT
15	22653 13121	   	242.69	DCR|DCR|1VULN|1TLV|1DUR|1NUKE	1BEXP|25RPLT|3TLV|4DUR|6aRCR|7NUKE|8VULN|9RAT
16	36363 62112	 * 	242.59	DCR|DCR|1VULN|2DUR|1CDMG	1AETHUN|25RAT|3RMIN|4CDMG|6aRCR|79DUR|8VULN
17	33345 16133	   	239.60	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AAC	1AETHUN|289VULN|3CDMG|4DUR|5AAC|6RCR|7DMG|aTLV
18	12512 22412	   	238.93	DCR|DCR|1VULN|1MLV|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9LHND|aMLV
19	12512 22462	   	238.93	DCR|DCR|1VULN|1MLV|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9BEXP|aMLV
20	12512 22422	   	238.83	DCR|DCR|1VULN|1MLV|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9DUST|aMLV
21	41332 13661	   	238.54	DCR|DCR|1VULN|1MLV|1DUR|2SELL	17SELL|2DUST|3DUR|4VULN|5ASPD|6aRCR|8RAT|9MLV
22	12512 22441	   	236.98	DCR|DCR|1VULN|1DUR|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9DUR|aRMIN
23	12512 22443	   	236.98	DCR|DCR|1VULN|1DUR|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9DUR|aZMB
24	33342 12521	   	236.88	DCR|DCR|1VULN|1DUR|1CDMG	1AETHUN|2VULN|3CDMG|4DUR|5ASPD|6aRCR|7ERES|8MBVNT|9RAT
25	35115 54343	 * 	236.70	DCR|DCR|1TLV|1FLTARM|1DUR	1AETHUN|2MBVNT|37RCVC|4TLV|5RAT|68RCR|9DUR|aFLTARM
26	36363 62122	 * 	236.45	DCR|DCR|1VULN|2CDMG|1DUR	1AETHUN|25RAT|3RMIN|49CDMG|6aRCR|7DUR|8VULN
27	33342 16131	   	235.94	DCR|3VULN|1DMG|1MLV|1DUR|1CDMG	1AETHUN|289VULN|3CDMG|4DUR|5ASPD|6RCR|7DMG|aMLV
28	22212 34221	   	235.88	DCR|DCR|1VULN|1TLV	1BEXP|2RPLT|3VULN|4DUST|5ASPD|6AEFBLL|7aRCR|8TLV|9RAT
29	42362 23226	   	235.63	DCR|DCR|1VULN|1TLV|1SELL	1SELL|2TLV|3ERES|4LIT|5RAT|69RCR|7VULN|8TBNT|aASPD
30	43162 23226	   	235.63	DCR|DCR|1VULN|1TLV|1SELL	1SELL|2AME|3TLV|4LIT|5RAT|69RCR|7VULN|8TBNT|aASPD
31	41132 13221	   	235.49	DCR|DCR|1VULN|1TLV|2SELL	17SELL|2DUST|3LWND|4VULN|5ASPD|6aRCR|8TLV|9RAT
32	65612 13213	   	233.07	DCR|2VULN|1TLV|1DMG|1MLV|1DUR|1AART	1ZMB|2AART|3DUR|4DMG|5MDPS|67VULN|8TLV|9MLV|aRCR
33	22453 13121	   	232.09	DCR|DCR|1VULN|1MLV|1DUR|1NUKE	1BEXP|25RPLT|3MLV|4DUR|6aRCR|7NUKE|8VULN|9RAT
34	55332 13234	   	232.09	DCR|DCR|1VULN|1MLV|1AART	1ERES|2AART|3RCVC|4VULN|5MLV|6LHND|7aRCR|8LIT|9FEWX
35	55232 13234	   	231.99	DCR|DCR|1VULN|1MLV|1AART	13ERES|2AART|4VULN|5MLV|6LHND|7aRCR|8LIT|9FEWX
36	55332 13321	   	231.99	DCR|DCR|1VULN|1MLV|1AART	1ERES|2AART|3RCVC|4VULN|5MLV|6LHND|7aRCR|8RPLT|9BBNT
37	33342 15132	 * 	231.89	DCR|4VULN|2DUR|1CDMG	1AETHUN|289aVULN|3CDMG|47DUR|5ASPD|6RCR
38	55232 13321	   	231.89	DCR|DCR|1VULN|1MLV|1AART	13ERES|2AART|4VULN|5MLV|6LHND|7aRCR|8RPLT|9BBNT
39	55332 43321	   	231.89	DCR|DCR|1VULN|1MLV|1AART	1ERES|2AART|3RCVC|4VULN|5MLV|6DUST|7aRCR|8RPLT|9BBNT
40	55232 43321	   	231.79	DCR|DCR|1VULN|1MLV|1AART	13ERES|2AART|4VULN|5MLV|6DUST|7aRCR|8RPLT|9BBNT
41	33342 16433	 * 	230.72	DCR|2VULN|1TLV|1DMG|2CDMG|1DUR	1AETHUN|29VULN|38CDMG|4DUR|5ASPD|6RCR|7DMG|aTLV
42	33356 23511	   	229.94	DCR|DCR|1VULN|1DUR|1CDMG	1AETHUN|2VULN|3CDMG|4RAT|5AIRARM|6TBNT|78RCR|9LHND|aDUR
43	34231 23513	 * 	229.92	DCR|2VULN|1FLTARM|1TLV|1DMG|1DUR	1AETHUN|2FEWX|3DUR|47VULN|5DMG|6RCR|8TLV|9TBNT|aFLTARM
44	22231 52245	   	229.89	DCR|DCR|1VULN|1AART|1CDMG|1SELL	1BEXP|2RPLT|3VULN|4TBNT|5BELT|6SELL|7AART|8CDMG|9aRCR
45	33511 33511	 * 	229.89	DCR|3VULN|2DMG|2DUR	1AETHUN|28aVULN|3LHND|4MBVNT|5aDMG|6aDUR|7RCR|9RMIN|aBPWR
46	33356 23521	   	229.84	DCR|DCR|1VULN|1DUR|1CDMG	1AETHUN|2VULN|3CDMG|4RAT|5AIRARM|6TBNT|78RCR|9DUST|aDUR
47	22643 13121	   	229.04	DCR|DCR|1VULN|1TLV|1NUKE	1BEXP|25RPLT|3TLV|4LWND|6aRCR|7NUKE|8VULN|9RAT
48	33345 16131	   	229.00	DCR|3VULN|1DMG|1MLV|1DUR|1CDMG|1AAC	1AETHUN|289VULN|3CDMG|4DUR|5AAC|6RCR|7DMG|aMLV
49	34253 53322	   	228.84	DCR|DCR|1VULN|2DUR	1AETHUN|2FEWX|38DUR|4RAT|5TSLFST|6VENTOX|7aRCR|9VULN
50	31253 53322	   	228.74	DCR|DCR|1VULN|2DUR	1AETHUN|2DUST|38DUR|4RAT|5TSLFST|6VENTOX|7aRCR|9VULN
51	36323 62112	   	228.70	DCR|DCR|1VULN|2DUR|1SELL	1AETHUN|25RAT|3RMIN|4SELL|6aRCR|79DUR|8VULN
52	42362 23221	   	228.70	DCR|DCR|1VULN|1TLV|1SELL	1SELL|2TLV|3ERES|4LIT|5RAT|69RCR|7VULN|8TBNT|aZMB
53	42362 23222	   	228.70	DCR|DCR|1VULN|1TLV|1SELL	1SELL|2TLV|3ERES|4LIT|5aRAT|69RCR|7VULN|8TBNT
54	42362 23223	   	228.70	DCR|DCR|1VULN|1TLV|1SELL	1SELL|2TLV|3ERES|4LIT|5RAT|69RCR|7VULN|8TBNT|aFRZARM
55	42362 23224	   	228.70	DCR|DCR|1VULN|1TLV|1SELL	1SELL|2TLV|3ERES|4LIT|5RAT|69RCR|7VULN|8TBNT|aLWND
56	42362 23225	   	228.70	DCR|DCR|1VULN|1TLV|1SELL	1SELL|2TLV|3ERES|4LIT|5RAT|69RCR|7VULN|8TBNT|aCGEN
57	43162 23221	   	228.70	DCR|DCR|1VULN|1TLV|1SELL	1SELL|2AME|3TLV|4LIT|5RAT|69RCR|7VULN|8TBNT|aZMB
58	43162 23222	   	228.70	DCR|DCR|1VULN|1TLV|1SELL	1SELL|2AME|3TLV|4LIT|5aRAT|69RCR|7VULN|8TBNT
59	43162 23223	   	228.70	DCR|DCR|1VULN|1TLV|1SELL	1SELL|2AME|3TLV|4LIT|5RAT|69RCR|7VULN|8TBNT|aFRZARM
60	43162 23224	   	228.70	DCR|DCR|1VULN|1TLV|1SELL	1SELL|2AME|3TLV|4LIT|5RAT|69RCR|7VULN|8TBNT|aLWND
61	43162 23225	   	228.70	DCR|DCR|1VULN|1TLV|1SELL	1SELL|2AME|3TLV|4LIT|5RAT|69RCR|7VULN|8TBNT|aCGEN
62	36325 62112	   	228.60	DCR|DCR|1VULN|2DUR|1SELL	1AETHUN|2RAT|3RMIN|4SELL|5AEPOI|6aRCR|79DUR|8VULN
63	36326 62112	   	228.60	DCR|DCR|1VULN|2DUR|1SELL	1AETHUN|2RAT|3RMIN|4SELL|5AEBURN|6aRCR|79DUR|8VULN
