0	Index      	 *	Score 	Summary	Detail	
1	34213 11462	 * 	282.54	DCR|DCR|1VULN|1FLTARM|1TLV|1CDMG|1DUR	1LIT|2CDMG|3ERES|4VULN|5CGEN|6FLTARM|79RCR|8TLV|aDUR
2	34211 11262	 * 	278.36	DCR|DCR|1VULN|1FLTARM|1DMG|1MLV|1CDMG	1LIT|2CDMG|3ERES|4VULN|5MLV|6FLTARM|79RCR|8RMIN|aDMG
3	35522 11262	 * 	275.16	DCR|DCR|2VULN|1FLTARM|1DMG|1SELL	1LIT|2LWND|3SELL|46VULN|5FLTARM|79RCR|8RMIN|aDMG
4	36522 11262	 * 	275.16	DCR|DCR|2VULN|1FLTARM|1DMG|1SELL	1LIT|2BEXP|3SELL|46VULN|5FLTARM|79RCR|8RMIN|aDMG
5	32522 11262	 * 	275.06	DCR|DCR|2VULN|1FLTARM|1DMG|1SELL	1LIT|2DUST|3SELL|46VULN|5FLTARM|79RCR|8RMIN|aDMG
6	12233 11262	   	272.05	DCR|DCR|1VULN|1FLTARM|1MLV|1DUR|1CDMG	1MLV|2CDMG|3VULN|4LIT|5CGEN|6FLTARM|79RCR|8RMIN|aDUR
7	52231 11262	   	272.05	DCR|DCR|1VULN|1FLTARM|1MLV|1DUR|1CDMG	1CGEN|2CDMG|3VULN|4LIT|5MLV|6FLTARM|79RCR|8RMIN|aDUR
8	12233 11264	 * 	270.69	DCR|DCR|1VULN|2MLV|1FLTARM|1CDMG	1aMLV|2CDMG|3VULN|4LIT|5CGEN|6FLTARM|79RCR|8RMIN
9	52231 11264	   	270.69	DCR|DCR|1VULN|2MLV|1FLTARM|1CDMG	1CGEN|2CDMG|3VULN|4LIT|5aMLV|6FLTARM|79RCR|8RMIN
10	32522 11264	 * 	270.60	DCR|DCR|2VULN|1FLTARM|1MLV|1SELL	1LIT|2DUST|3SELL|46VULN|5FLTARM|79RCR|8RMIN|aMLV
11	34211 11264	   	270.59	DCR|DCR|1VULN|2MLV|1FLTARM|1CDMG	1LIT|2CDMG|3ERES|4VULN|5aMLV|6FLTARM|79RCR|8RMIN
12	34213 11461	   	268.89	DCR|DCR|1VULN|1FLTARM|1TLV|1CDMG	1LIT|2CDMG|3ERES|4VULN|5aCGEN|6FLTARM|79RCR|8TLV
13	34213 11463	   	268.89	DCR|DCR|1VULN|1FLTARM|1TLV|1CDMG	1LIT|2CDMG|3ERES|4VULN|5CGEN|6FLTARM|79RCR|8TLV|aRCVC
14	32522 11265	 * 	268.65	DCR|DCR|2VULN|1FLTARM|1CDMG|1SELL	1LIT|2DUST|3SELL|46VULN|5FLTARM|79RCR|8RMIN|aCDMG
15	31413 11462	   	268.65	DCR|DCR|1VULN|1FLTARM|1TLV|1DUR|1SELL	1LIT|2ERES|3SELL|4VULN|5CGEN|6FLTARM|79RCR|8TLV|aDUR
16	31411 11262	   	264.46	DCR|DCR|1VULN|1FLTARM|1DMG|1MLV|1SELL	1LIT|2ERES|3SELL|4VULN|5MLV|6FLTARM|79RCR|8RMIN|aDMG
17	22166 14331	 * 	263.13	DCR|DCR|2DMG|1VULN|1MLV	1DMSP|2aDMG|3ZMB|4ASPD|5LWND|6VULN|78RCR|9MLV
18	12233 11261	   	258.39	DCR|DCR|1VULN|1FLTARM|1MLV|1CDMG	1MLV|2CDMG|3VULN|4LIT|5aCGEN|6FLTARM|79RCR|8RMIN
19	12233 11263	   	258.39	DCR|DCR|1VULN|1FLTARM|1MLV|1CDMG	1MLV|2CDMG|3VULN|4LIT|5CGEN|6FLTARM|79RCR|8RMIN|aRCVC
20	12233 11265	   	258.39	DCR|DCR|1VULN|1FLTARM|1MLV|1CDMG	1MLV|2CDMG|3VULN|4LIT|5CGEN|6FLTARM|79RCR|8RMIN|aBEXP
21	12233 11266	   	258.39	DCR|DCR|1VULN|1FLTARM|1MLV|1CDMG	1MLV|2CDMG|3VULN|4LIT|5CGEN|6FLTARM|79RCR|8RMIN|aRAT
22	52231 11261	   	258.39	DCR|DCR|1VULN|1FLTARM|1MLV|1CDMG	1aCGEN|2CDMG|3VULN|4LIT|5MLV|6FLTARM|79RCR|8RMIN
