0	Index      	 *	Score 	Summary	Detail	
1	62287 41343	 * 	282.62	DCR|DCR|1VULN|1TLV|1DMG|2CDMG|1AART	1DMG|2VULN|3MBVNT|4MDPS|5AART|6aRCR|78CDMG|9TLV
2	63121 32326	 * 	278.05	DCR|3VULN|2DMG|2MLV|1TLV|2CDMG	17DMG|2BOSS|37aVULN|49MLV|5TLV|67CDMG|7BPWR|8RCR
3	62287 43434	 * 	276.20	DCR|DCR|2VULN|1DMG|1DUR|1AART	1DMG|28VULN|3MBVNT|4MDPS|5AART|69RCR|7DLOT|aDUR
4	62287 41313	   	272.02	DCR|DCR|1VULN|1DMG|2CDMG|1MLV|1AART	1DMG|2VULN|3MBVNT|4MDPS|5AART|6aRCR|78CDMG|9MLV
5	63121 32325	   	269.56	DCR|2VULN|2DMG|2MLV|1TLV|2CDMG|1DUR	17DMG|2BOSS|37VULN|49MLV|5TLV|67CDMG|7BPWR|8RCR|aDUR
6	13533 64321	 * 	266.69	DCR|DCR|2VULN|3DUR	148DUR|2aDUST|3RPLT|5aVULN|6aRAT|79RCR|aBPWR
7	63121 32532	   	265.66	DCR|3VULN|2DMG|1TLV|2CDMG|1MLV	17DMG|2BOSS|378VULN|4MLV|5TLV|67CDMG|7BPWR|9MDPS|aRCR
8	25544 21163	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1AAC	1MBVNT|2RCVC|3CDMG|4TBNT|5DMG|6AAC|7aRCR|8TLV|9VULN
9	62287 43431	   	262.55	DCR|DCR|2VULN|1DMG|1AART	1DMG|28VULN|3MBVNT|4MDPS|5AART|69RCR|7DLOT|aBELT
10	62287 43432	   	262.55	DCR|DCR|2VULN|1DMG|1AART	1DMG|28VULN|3MBVNT|4MDPS|5AART|69RCR|7DLOT|aRPLT
11	21644 21163	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1AAC	1MBVNT|2AEBURN|3CDMG|4TBNT|5DMG|6AAC|7aRCR|8TLV|9VULN
12	62287 43433	   	262.45	DCR|DCR|2VULN|1DMG|1AART	1DMG|28VULN|3MBVNT|4MDPS|5AART|69RCR|7DLOT|aLEGI
