0	Index      	 *	Score 	Summary	Detail	
1	24631 61312	 * 	206.19	ACR|2VULN|3AART|2BEXP|1ASPD	1DUST|29BEXP|368AART|4RCR|5ASPD|7aVULN
2	15331 46436	 * 	201.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5DMG|6DUR|7BEXP|8VULN|9ASPD|aBASARM
3	15331 13436	   	201.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5DMG|6BEXP|7LWND|8VULN|9ASPD|aBASARM
4	12331 25356	 * 	199.93	ACR|2BASARM|2DMG|1AART	1MDPS|2aAME|3MBVNT|4RCR|5aDMG|6ERES|7CGEN|8AART|9aBASARM|aBPWR
5	24631 62123	 * 	198.01	ACR|2BEXP|2AART|1VULN|1ASPD|1DMG	1DUST|28BEXP|36AART|4RCR|5ASPD|7DMG|9TLV|aVULN
6	24631 62133	   	198.01	ACR|2BEXP|2AART|1VULN|1ASPD|1DMG	1DUST|28BEXP|36AART|4RCR|5ASPD|7DMG|9AME|aVULN
7	15338 13324	   	197.76	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7VULN|8AART|9DMG|aCDMG
8	24631 11232	 * 	196.42	ACR|2VULN|2ASPD|2BEXP|1AART	168DUST|29BEXP|3AART|4RCR|59ASPD|79VULN|9BPWR|aRPLT
9	24631 11233	   	196.42	ACR|2VULN|2ASPD|2BEXP|1AART	168DUST|29BEXP|3AART|4RCR|59ASPD|79VULN|9BPWR|aLHND
10	24631 11235	   	196.42	ACR|2VULN|2ASPD|2BEXP|1AART	168DUST|29BEXP|3AART|4RCR|59ASPD|79VULN|9BPWR|aLWND
11	24631 11236	   	196.42	ACR|2VULN|2ASPD|2BEXP|1AART	168DUST|29BEXP|3AART|4RCR|59ASPD|79VULN|9BPWR|aFEWX
12	24632 31115	   	196.36	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1DUST|2BEXP|3AART|4RCR|56ERES|7VULN|8RPLT|9DMG|aBASARM
13	24631 11231	   	196.32	ACR|2VULN|2ASPD|2BEXP|1AART	168DUST|29BEXP|3AART|4RCR|59ASPD|79VULN|9BPWR|aERES
14	24631 11234	   	196.32	ACR|2VULN|2ASPD|2BEXP|1AART	168DUST|29BEXP|3AART|4RCR|59ASPD|79VULN|9BPWR|aTLV
15	12338 14441	 * 	196.24	ACR|1BASARM|2BEXP|1DMG|1CDMG	1MDPS|2AME|3MBVNT|4RCR|5ZMB|69BEXP|7BASARM|8CDMG|aDMG
16	12338 14467	   	196.24	ACR|1BASARM|2BEXP|1DMG|1CDMG	1MDPS|2AME|3MBVNT|4RCR|5ZMB|6aBEXP|7BASARM|8CDMG|9DMG
17	15333 14441	   	196.24	ACR|1BASARM|2BEXP|1DMG|1CDMG	1MDPS|2ZMB|3MBVNT|4RCR|5AME|69BEXP|7BASARM|8CDMG|aDMG
18	15333 14467	   	196.24	ACR|1BASARM|2BEXP|1DMG|1CDMG	1MDPS|2ZMB|3MBVNT|4RCR|5AME|6aBEXP|7BASARM|8CDMG|9DMG
19	15336 14471	   	196.24	ACR|1BASARM|2BEXP|1DMG|1CDMG	1MDPS|2ZMB|3MBVNT|4RCR|5TLV|69BEXP|7BASARM|8CDMG|aDMG
20	12338 14466	   	195.06	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AART	1MDPS|2AME|3MBVNT|4RCR|5ZMB|6BEXP|7BASARM|8CDMG|9DMG|aAART
21	15331 21314	   	195.06	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1MDPS|2ZMB|3MBVNT|4RCR|5DMG|6ERES|7BEXP|8AART|9CDMG|aBASARM
22	15333 14466	   	195.06	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AART	1MDPS|2ZMB|3MBVNT|4RCR|5AME|6BEXP|7BASARM|8CDMG|9DMG|aAART
23	12331 17261	 * 	194.93	ACR|1BASARM|2BEXP|1VULN|1DMG	1MDPS|2AME|3MBVNT|4RCR|5DMG|6aBEXP|7VULN|8BELT|9BASARM
24	12338 14741	 * 	193.86	ACR|1BASARM|3BEXP|1DMG	1MDPS|2AME|3MBVNT|4RCR|5ZMB|69aBEXP|7BASARM|8DMG
25	15333 14741	   	193.86	ACR|1BASARM|3BEXP|1DMG	1MDPS|2ZMB|3MBVNT|4RCR|5AME|69aBEXP|7BASARM|8DMG
