0	Index      	 *	Score 	Summary	Detail	
1	31331 22121	 * 	256.55	ACR|1BASARM|2ASPD|2BEXP|2AART|2VULN	19VULN|2RCR|3LEGI|46AART|59BEXP|79ASPD|8DLOT|9BPWR|aBASARM
2	31163 52123	 * 	248.15	ACR|3ASPD|3DMG|3VULN|1AART	19aVULN|2RCR|39aASPD|4DUST|5AART|6AME|79aDMG|8DLOT|9aBPWR
3	11124 36631	   	239.38	ACR|1BASARM|2ASPD|2BEXP|1CDMG	1aBEXP|2RCR|35ASPD|4LWND|6AAC|7CDMG|8BASARM|9VULN
4	11165 35221	 * 	238.65	ACR|1BASARM|2ASPD|2BEXP|1DMG	17BEXP|2RCR|3aASPD|4DUST|5TLV|6BASARM|8DMG|9AAC
5	11124 36632	   	237.56	ACR|1BASARM|2ASPD|2VULN|1BEXP|1CDMG	1BEXP|2RCR|35ASPD|4LWND|6AAC|7CDMG|8BASARM|9aVULN
6	31335 52236	 * 	235.67	ACR|1BASARM|2ASPD|2VULN|1DMG|1AART	19VULN|2RCR|3LEGI|4AART|59ASPD|6AME|7DMG|89MLV|9BPWR|aBASARM
7	31124 25226	 * 	235.41	ACR|3ASPD|2DMG|2BEXP|2VULN	1aVULN|2RCR|357ASPD|4LWND|6aBEXP|8MDPS|9aDMG|aBPWR
8	31612 11266	 * 	234.16	ACR|2ASPD|3VULN|2BEXP|1DMG|1BASICY	168VULN|2RCR|3MDPS|4LHND|58ASPD|78BEXP|8BPWR|9DMG|aBASICY
9	31612 11261	 * 	231.68	ACR|2ASPD|2DMG|3VULN|2BEXP	168VULN|2RCR|3MDPS|4LHND|58ASPD|78BEXP|8BPWR|9aDMG
10	11124 13612	   	230.45	ACR|1BASARM|2ASPD|2BEXP|2VULN	17BEXP|2RCR|35ASPD|4LWND|6DUR|89VULN|aBASARM
11	11532 35241	   	230.45	ACR|1BASARM|2ASPD|2BEXP|1DMG	17BEXP|2RCR|3CGEN|4RMIN|5DUST|6BASARM|8aASPD|9DMG
12	11355 32612	   	230.45	ACR|1BASARM|2ASPD|2BEXP|2VULN	16BEXP|2RCR|3LHND|4DUR|59VULN|78ASPD|aBASARM
13	11165 35211	   	230.25	ACR|1BASARM|2ASPD|2BEXP|1DMG	17BEXP|2RCR|39ASPD|4DUST|5TLV|6BASARM|8DMG|aAEFBLL
14	11165 35212	   	230.25	ACR|1BASARM|2ASPD|2BEXP|1DMG	17BEXP|2RCR|39ASPD|4DUST|5TLV|6BASARM|8DMG|aMDPS
15	11165 35213	   	230.25	ACR|1BASARM|2ASPD|2BEXP|1DMG	17BEXP|2RCR|39ASPD|4DUST|5TLV|6BASARM|8DMG|aERES
16	11165 35231	   	230.25	ACR|1BASARM|2ASPD|2BEXP|1DMG	17BEXP|2RCR|3aASPD|4DUST|5TLV|6BASARM|8DMG|9ERES
17	61241 21423	   	228.99	ACR|3ASPD|2DMG|2BEXP|1AART	16aASPD|2RCR|37AME|4RMIN|5AART|8aDMG|9aBEXP|aBPWR
18	31133 52144	   	228.98	ACR|3DMG|2ASPD|2VULN|1BEXP	19VULN|2RCR|39ASPD|4RMIN|5LWND|6BEXP|79aDMG|8AAC|9BPWR
19	31152 14112	 * 	227.64	ACR|1BASARM|2ASPD|3VULN|1BEXP	179VULN|2RCR|35ASPD|45LHND|5BPWR|6DUR|8BEXP|aBASARM
20	31152 24312	   	227.64	ACR|1BASARM|2ASPD|3VULN|1BEXP	179VULN|2RCR|35ASPD|45LHND|5BPWR|6BEXP|8LWND|aBASARM
21	11122 34612	   	227.54	ACR|1BASARM|2ASPD|3VULN|1BEXP	1BEXP|2RCR|36ASPD|4LWND|5LHND|789VULN|aBASARM
22	11151 34612	   	227.54	ACR|1BASARM|2ASPD|3VULN|1BEXP	1BEXP|2RCR|36ASPD|4LHND|5LWND|789VULN|aBASARM
23	31124 14112	   	227.54	ACR|1BASARM|2ASPD|3VULN|1BEXP	179VULN|2RCR|35ASPD|4LWND|6DUR|8BEXP|aBASARM
24	31124 24312	   	227.54	ACR|1BASARM|2ASPD|3VULN|1BEXP	179VULN|2RCR|35ASPD|4LWND|6BEXP|8LHND|aBASARM
25	31152 24512	   	227.54	ACR|1BASARM|2ASPD|3VULN|1BEXP	179VULN|2RCR|35ASPD|45LHND|5BPWR|6BEXP|8LEGI|aBASARM
26	31154 14112	   	227.54	ACR|1BASARM|2ASPD|3VULN|1BEXP	179VULN|2RCR|35ASPD|4LHND|6DUR|8BEXP|aBASARM
27	31154 24312	   	227.54	ACR|1BASARM|2ASPD|3VULN|1BEXP	179VULN|2RCR|35ASPD|4LHND|6BEXP|8LWND|aBASARM
28	31124 24512	   	227.44	ACR|1BASARM|2ASPD|3VULN|1BEXP	179VULN|2RCR|35ASPD|4LWND|6BEXP|8LEGI|aBASARM
29	11126 35243	 * 	227.18	ACR|3BEXP|2ASPD|2VULN|1DMG|1CDMG	189BEXP|2RCR|39ASPD|4LWND|5CDMG|6RPLT|79VULN|9BPWR|aDMG
30	31141 41243	   	227.18	ACR|3BEXP|2ASPD|2VULN|1DMG|1CDMG	19VULN|2RCR|39ASPD|4RPLT|5LWND|6CDMG|789BEXP|9BPWR|aDMG
31	11136 36343	   	227.09	ACR|2ASPD|2DMG|2BEXP|1AART|1CDMG	1aBEXP|2RCR|3aASPD|4RMIN|5AART|6CDMG|7FEWX|8aDMG|9MBVNT|aBPWR
32	11166 32243	   	227.08	ACR|3BEXP|2ASPD|2VULN|1DMG|1CDMG	189BEXP|2RCR|39ASPD|4DUST|5CDMG|6RPLT|79VULN|9BPWR|aDMG
33	11632 11253	   	227.08	ACR|3BEXP|2ASPD|2VULN|1DMG|1CDMG	178BEXP|2RCR|3MDPS|4LHND|58ASPD|68VULN|8BPWR|9DMG|aCDMG
34	31451 42123	 * 	227.08	ACR|3BEXP|2DMG|2VULN|1ASPD|1CDMG	1aVULN|2RCR|3RPLT|49aBEXP|5ASPD|6CDMG|7aDMG|8MDPS|aBPWR
35	11136 32343	   	226.99	ACR|2ASPD|2DMG|2BEXP|1AART|1CDMG	1aBEXP|2RCR|3aASPD|4RMIN|5AART|6CDMG|7DUST|8aDMG|9MBVNT|aBPWR
