0	Index      	 *	Score 	Summary	Detail	
1	11216 43123	 * 	215.34	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	13ERES|2LWND|4RCR|5BEXP|69DMG|7VULN|8BASARM|aAART
2	11211 43123	   	201.69	ACR|1BASARM|2DMG|1VULN|1AART	13ERES|2LWND|4RCR|5FEWX|69DMG|7VULN|8BASARM|aAART
3	15211 43123	   	201.69	ACR|1BASARM|2DMG|1VULN|1AART	13ERES|2LHND|4RCR|5FEWX|69DMG|7VULN|8BASARM|aAART
4	16212 43123	   	201.59	ACR|1BASARM|2DMG|1VULN|1AART	13ERES|2DUST|4RCR|5LHND|69DMG|7VULN|8BASARM|aAART
5	16215 43123	   	201.59	ACR|1BASARM|2DMG|1VULN|1AART	13ERES|2DUST|4RCR|5LWND|69DMG|7VULN|8BASARM|aAART
6	11216 43116	 * 	201.47	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	13ERES|2LWND|4RCR|5BEXP|6DMG|7VULN|8BASARM|9SPLARM|aASPD
7	11216 43135	   	201.47	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	139ERES|2LWND|4RCR|5BEXP|6DMG|7VULN|8BASARM|aASPD
8	11216 43122	   	199.09	ACR|1BASARM|2DMG|1VULN|1BEXP	13ERES|2LWND|4RCR|5BEXP|69DMG|7VULN|8BASARM|aCGEN
9	11216 43126	   	199.09	ACR|1BASARM|2DMG|1VULN|1BEXP	13ERES|2LWND|4RCR|5BEXP|69DMG|7VULN|8BASARM|aRMIN
10	11216 43121	   	198.99	ACR|1BASARM|2DMG|1VULN|1BEXP	13aERES|2LWND|4RCR|5BEXP|69DMG|7VULN|8BASARM
11	11216 43131	   	198.99	ACR|1BASARM|2DMG|1VULN|1BEXP	139ERES|2LWND|4RCR|5BEXP|6aDMG|7VULN|8BASARM
12	11213 33125	   	195.16	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	13ERES|2LWND|4RCR|5ZMB|6BEXP|7VULN|8BASARM|9DMG|aCDMG
13	16213 23125	   	195.06	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	13ERES|2DUST|4RCR|5ZMB|6BEXP|7VULN|8BASARM|9DMG|aCDMG
14	13412 42612	 * 	194.82	ACR|2ASPD|2DMG|2CDMG|1AART	1ERES|2aASPD|3CGEN|4RCR|5LHND|6aDMG|7TLV|8aCDMG|9AART|aBPWR
15	13612 41612	   	194.82	ACR|2ASPD|2DMG|2CDMG|1AART	1ERES|2aASPD|3TLV|4RCR|5LHND|6aDMG|7CGEN|8aCDMG|9AART|aBPWR
16	13416 33251	 * 	191.86	ACR|1BASARM|2ASPD|1DMG	1ERES|27ASPD|3CGEN|4RCR|5SNIFST|6FEWX|8BASARM|9DMG|aZMB
17	13416 33253	   	191.86	ACR|1BASARM|2ASPD|1DMG	1ERES|27ASPD|3CGEN|4RCR|5SNIFST|6FEWX|8BASARM|9DMG|aDUR
18	13416 33211	   	191.76	ACR|1BASARM|2ASPD|1DMG	1ERES|27ASPD|3CGEN|4RCR|5SNIFST|6FEWX|8BASARM|9MDPS|aDMG
19	13416 33252	   	191.76	ACR|1BASARM|2ASPD|1DMG	1ERES|27ASPD|3CGEN|4RCR|5SNIFST|6FEWX|8BASARM|9DMG|aMSLREG
20	13411 33125	   	187.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1ERES|2ASPD|3CGEN|4RCR|5FEWX|6TLV|7DUR|8BASARM|9DMG|aCDMG
21	13411 34125	   	187.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1ERES|2ASPD|3CGEN|4RCR|5FEWX|6TLV|7LWND|8BASARM|9DMG|aCDMG
