0	Index      	 *	Score 	Summary	Detail	
1	63336 11316	 * 	231.38	ACR|3DMG|1BASARM|1VULN|1ASPD	1LHND|2VULN|3RCR|4FEWX|5ASPD|69aDMG|7ERES|8BASARM
2	63346 11313	   	228.27	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP	1LHND|2VULN|3RCR|4DUST|5ASPD|69DMG|7ERES|8BASARM|aBEXP
3	63336 11315	 * 	227.35	ACR|1BASARM|2VULN|2DMG|1ASPD	1LHND|2aVULN|3RCR|4FEWX|5ASPD|69DMG|7ERES|8BASARM
4	63336 11351	   	221.42	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP	1LHND|2aVULN|3RCR|4FEWX|5ASPD|6DMG|7ERES|8BASARM|9BEXP
5	15115 13335	 * 	221.06	DCR|1BASARM|2DMG|2BEXP|1VULN|1ASPD|1AART	15BEXP|2ASPD|3FEWX|45DMG|5BPWR|6CGEN|7VULN|8BASARM|9AART|aRCR
6	15521 13335	 * 	220.96	DCR|1BASARM|2ASPD|2BEXP|1VULN|1DMG|1AART	13BEXP|23ASPD|3BPWR|4DMG|5DUST|6CGEN|7VULN|8BASARM|9AART|aRCR
7	63336 16311	   	214.82	ACR|1BASARM|2DMG|1VULN|1ASPD	1LHND|2VULN|3RCR|4FEWX|5ASPD|69DMG|7CGEN|8BASARM|aZMB
8	63336 43311	   	214.82	ACR|1BASARM|2DMG|1VULN|1ASPD	1LHND|2VULN|3RCR|4FEWX|5ASPD|6MLV|79DMG|8BASARM|aZMB
9	63336 11311	   	214.72	ACR|1BASARM|2DMG|1VULN|1ASPD	1LHND|2VULN|3RCR|4FEWX|5ASPD|69DMG|7ERES|8BASARM|aZMB
10	63336 16312	   	214.72	ACR|1BASARM|2DMG|1VULN|1ASPD	1LHND|2VULN|3RCR|4FEWX|5ASPD|69DMG|7CGEN|8BASARM|aTLV
11	63336 43312	   	214.72	ACR|1BASARM|2DMG|1VULN|1ASPD	1LHND|2VULN|3RCR|4FEWX|5ASPD|6MLV|79DMG|8BASARM|aTLV
12	63336 11312	   	214.62	ACR|1BASARM|2DMG|1VULN|1ASPD	1LHND|2VULN|3RCR|4FEWX|5ASPD|69DMG|7ERES|8BASARM|aTLV
13	63346 11311	   	214.62	ACR|1BASARM|2DMG|1VULN|1ASPD	1LHND|2VULN|3RCR|4DUST|5ASPD|69DMG|7ERES|8BASARM|aZMB
14	63346 11312	   	214.52	ACR|1BASARM|2DMG|1VULN|1ASPD	1LHND|2VULN|3RCR|4DUST|5ASPD|69DMG|7ERES|8BASARM|aTLV
15	63331 66312	 * 	214.39	ACR|2VULN|1BASARM|2BEXP|1DMG	17LHND|27VULN|3RCR|4FEWX|5AME|67BEXP|7BPWR|8BASARM|9DMG|aLWND
16	63331 66313	   	214.39	ACR|2VULN|1BASARM|2BEXP|1DMG	17LHND|27VULN|3RCR|4FEWX|5AME|67BEXP|7BPWR|8BASARM|9DMG|aRPLT
17	63331 66311	   	214.29	ACR|2VULN|1BASARM|2BEXP|1DMG	17LHND|27VULN|3RCR|4FEWX|5AME|67BEXP|7BPWR|8BASARM|9DMG|aMULARM
