0	Index      	 *	Score 	Summary	Detail	
1	12212 45162	 * 	214.10	ACR|1BASARM|2AART|1VULN|1BASICY|1BEXP	1DUST|2LHND|3RCR|4LWND|5BEXP|68AART|7BASARM|9VULN|aBASICY
2	25611 13262	 * 	214.03	ACR|1BASARM|2ASPD|2BEXP|1CDMG	1RPLT|2MDPS|37ASPD|4RCR|57ERES|67BEXP|7BPWR|8CDMG|9BASARM|aCGEN
3	25611 13261	   	213.93	ACR|1BASARM|2ASPD|2BEXP|1CDMG	1RPLT|2MDPS|37ASPD|4RCR|57ERES|67BEXP|7BPWR|8CDMG|9BASARM|aTLV
4	25611 13263	   	213.93	ACR|1BASARM|2ASPD|2BEXP|1CDMG	1RPLT|2MDPS|37ASPD|4RCR|57ERES|67BEXP|7BPWR|8CDMG|9BASARM|aSNITOX
5	52263 35123	 * 	213.55	ACR|1BASARM|3AART|1VULN|1DMG	1LWND|2LHND|3RCR|4MDPS|568AART|7BASARM|9DMG|aVULN
6	12212 45161	 * 	208.88	ACR|1BASARM|2BEXP|2AART|1VULN	1DUST|2LHND|3RCR|4LWND|5aBEXP|68AART|7BASARM|9VULN
7	12212 45151	   	208.88	ACR|1BASARM|2BEXP|2AART|1VULN	1DUST|2LHND|3RCR|4LWND|59BEXP|68AART|7BASARM|aVULN
8	16261 23621	 * 	208.68	ACR|2VULN|1BASARM|1AART|1BEXP|1CDMG	1DUST|27VULN|3RCR|4LIT|5BASARM|6ZMB|8BEXP|9CDMG|aAART
9	16261 33621	   	208.68	ACR|2VULN|1BASARM|1AART|1BEXP|1CDMG	1DUST|27VULN|3RCR|4LIT|5BASARM|6RMIN|8BEXP|9CDMG|aAART
10	16261 22511	 * 	207.39	ACR|3VULN|1BASARM|1AART|1CDMG	1DUST|28aVULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|9AART
11	16261 32511	   	207.39	ACR|3VULN|1BASARM|1AART|1CDMG	1DUST|28aVULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|9AART
12	12212 23636	 * 	206.57	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP	1DUST|2LHND|3RCR|4LWND|5BEXP|6ERES|7ASPD|8BASARM|9VULN|aDMG
13	25123 32324	 * 	206.33	ACR|2VULN|2ASPD|2CDMG|1AART|1BEXP	1RPLT|2MDPS|39CDMG|4RCR|59ASPD|6DMSP|7AART|89VULN|9BPWR|aBEXP
14	25126 32324	 * 	206.33	ACR|2VULN|2DMG|2CDMG|1AART|1BEXP	1RPLT|2MDPS|39CDMG|4RCR|59DMG|6DMSP|7AART|89VULN|9BPWR|aBEXP
15	52231 11616	 * 	205.47	ACR|2VULN|1BASARM|1ASPD|1DMG	1LWND|2LHND|3RCR|46VULN|5ZMB|7DMG|8BASARM|9ERES|aASPD
16	52231 11636	   	205.47	ACR|2VULN|1BASARM|1ASPD|1DMG	1LWND|2LHND|3RCR|46VULN|5ZMB|7DMG|8BASARM|9TLV|aASPD
17	52231 13626	   	205.47	ACR|2VULN|1BASARM|1ASPD|1DMG	1LWND|2LHND|3RCR|46VULN|5ZMB|7ASPD|8BASARM|9MDPS|aDMG
18	16261 63131	   	205.37	ACR|2VULN|1BASARM|1ASPD|1DMG	1DUST|28VULN|3RCR|4LIT|5BASARM|6BELT|7NUKE|9DMG|aASPD
19	25611 13113	 * 	205.34	ACR|3ASPD|2DMG|2BEXP	1RPLT|2MDPS|37aASPD|4RCR|57aERES|67BEXP|7aBPWR|8FEWX|9aDMG
20	25611 13413	   	205.34	ACR|3ASPD|2DMG|2BEXP	1RPLT|2MDPS|37aASPD|4RCR|57aERES|67BEXP|7aBPWR|8LWND|9aDMG
21	52231 11626	 * 	203.00	ACR|2VULN|1BASARM|2DMG	1LWND|2LHND|3RCR|46VULN|5ZMB|7aDMG|8BASARM|9MDPS
22	52231 13616	 * 	203.00	ACR|2VULN|1BASARM|2ASPD	1LWND|2LHND|3RCR|46VULN|5ZMB|7aASPD|8BASARM|9ERES
23	52231 13636	   	203.00	ACR|2VULN|1BASARM|2ASPD	1LWND|2LHND|3RCR|46VULN|5ZMB|7aASPD|8BASARM|9TLV
24	56261 22321	   	202.96	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1LWND|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9ASPD|aAART
25	56261 22331	   	202.96	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1LWND|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9DMG|aAART
26	66261 22321	   	202.96	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1FEWX|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9ASPD|aAART
27	66261 22331	   	202.96	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1FEWX|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9DMG|aAART
28	16215 24123	   	202.86	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1DUST|2VULN|3RCR|4LHND|5CDMG|6AART|7RPLT|8BASARM|9DMSP|aASPD
29	16261 22321	   	202.86	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9ASPD|aAART
