0	Index      	 *	Score 	Summary	Detail	
1	24335 34331	 * 	254.82	ACR|5VULN|2ASPD|2DMG|2BEXP	1379aVULN|2RCR|39BPWR|46BEXP|59ASPD|89DMG
2	24335 34332	   	249.50	ACR|4VULN|2DMG|2ASPD|2BEXP	1379VULN|2RCR|39BPWR|46BEXP|59ASPD|89DMG|aERES
3	24335 34333	   	249.50	ACR|4VULN|2ASPD|2DMG|2BEXP	1379VULN|2RCR|39BPWR|46BEXP|59ASPD|89DMG|aAIRHEL
4	24335 22613	 * 	247.67	ACR|4VULN|3DMG|2BEXP|1ASPD	138aVULN|2RCR|38BPWR|48BEXP|5ASPD|6LHND|789DMG
5	24345 23231	 * 	243.35	ACR|3VULN|1BASARM|2ASPD|1CDMG	134VULN|2RCR|3BPWR|57ASPD|6CDMG|8BASARM|9FEWX|aAAC
6	24355 23231	   	243.35	ACR|3VULN|1BASARM|2ASPD|1CDMG	134VULN|2RCR|34BPWR|57ASPD|6CDMG|8BASARM|9FEWX|aAAC
7	24332 81438	 * 	240.74	ACR|2VULN|1BASARM|2BEXP|1ASPD|1AART	13VULN|2RCR|3BPWR|48BEXP|5MBVNT|6MDPS|7AART|9BASARM|aASPD
8	24334 14331	   	240.54	ACR|5VULN|2ASPD|2BEXP|1DMG	13579VULN|2RCR|39BPWR|49BEXP|6AAC|89ASPD|aDMG
9	24335 22611	   	240.36	ACR|3VULN|3DMG|2BEXP|1ASPD	138VULN|2RCR|38BPWR|48BEXP|5ASPD|6LHND|789DMG|aBELT
10	24335 32131	 * 	240.36	ACR|3VULN|3ASPD|2BEXP|1DMG	139VULN|2RCR|39BPWR|46BEXP|589ASPD|79ZMB|aDMG
11	24335 13131	   	240.36	ACR|3VULN|3ASPD|2BEXP|1DMG	139VULN|2RCR|39BPWR|49BEXP|589ASPD|67RMIN|aDMG
12	24335 22612	   	240.26	ACR|3VULN|3DMG|2BEXP|1ASPD	138VULN|2RCR|38BPWR|48BEXP|5ASPD|6LHND|789DMG|aDUST
13	24332 63721	   	238.16	ACR|3VULN|2DMG|2BEXP|1ASPD|1CDMG	139VULN|2RCR|39BPWR|49BEXP|5MBVNT|6CDMG|7LSRREG|89DMG|aASPD
14	24345 23212	   	235.05	ACR|3VULN|1BASARM|2ASPD|1CDMG	134VULN|2RCR|3BPWR|57ASPD|6CDMG|8BASARM|9aRMIN
15	24345 23222	   	235.05	ACR|3VULN|1BASARM|2ASPD|1CDMG	134VULN|2RCR|3BPWR|57ASPD|6CDMG|8BASARM|9LIT|aRMIN
16	24345 23223	   	235.05	ACR|3VULN|1BASARM|2ASPD|1CDMG	134VULN|2RCR|3BPWR|57ASPD|6CDMG|8BASARM|9LIT|aLWND
17	24355 23212	   	235.05	ACR|3VULN|1BASARM|2ASPD|1CDMG	134VULN|2RCR|34BPWR|57ASPD|6CDMG|8BASARM|9aRMIN
