0	Index      	 *	Score 	Summary	Detail	
1	32231 31133	 * 	237.75	ACR|3ASPD|2DMG|2BASICY|1AART|1CDMG	19aASPD|2CDMG|3RCR|4BELT|5AART|69BASICY|79DMG|8MDPS|9BPWR
2	32231 32541	 * 	230.88	ACR|2ASPD|2BEXP|1DMG|2CDMG|1BASICY|1AART	19ASPD|29CDMG|3RCR|4BELT|5AART|6BASICY|7TLV|89BEXP|9BPWR|aDMG
3	32223 31461	 * 	228.30	ACR|1BASARM|2ASPD|2DMG|1CDMG	1aASPD|2CDMG|3RCR|4DUR|5LHND|69DMG|7LWND|8BASARM
4	32231 31411	   	227.22	ACR|2ASPD|2DMG|1BASICY|1BEXP|1CDMG|1AART	19ASPD|2CDMG|3RCR|4BELT|5AART|6BASICY|7aDMG|8BEXP
5	32223 31462	 * 	226.36	ACR|3DMG|1BASARM|1ASPD|1CDMG	1ASPD|2CDMG|3RCR|4DUR|5LHND|69aDMG|7LWND|8BASARM
6	32231 31131	   	222.09	ACR|2ASPD|2DMG|2BASICY|1AART|1CDMG	19ASPD|2CDMG|3RCR|4BELT|5AART|69BASICY|79DMG|8MDPS|9BPWR|aLWND
7	32231 31132	   	222.09	ACR|2ASPD|2DMG|2BASICY|1AART|1CDMG	19ASPD|2CDMG|3RCR|4BELT|5AART|69BASICY|79DMG|8MDPS|9BPWR|aDUR
8	32231 31134	   	222.09	ACR|2ASPD|2DMG|2BASICY|1AART|1CDMG	19ASPD|2CDMG|3RCR|4BELT|5AART|69BASICY|79DMG|8MDPS|9BPWR|aLIT
9	32231 31135	   	222.09	ACR|2ASPD|2DMG|2BASICY|1AART|1CDMG	19ASPD|2CDMG|3RCR|4BELT|5AART|69BASICY|79DMG|8MDPS|9BPWR|aZMB
10	32231 31136	   	221.99	ACR|2ASPD|2DMG|2BASICY|1AART|1CDMG	19ASPD|2CDMG|3RCR|4BELT|5AART|69BASICY|79DMG|8MDPS|9BPWR|aTLV
11	32231 31444	   	218.05	ACR|2ASPD|2BASICY|1DMG|1BEXP|1AART|1CDMG	1aASPD|2CDMG|3RCR|4BELT|5AART|6aBASICY|7DMG|8BEXP|9aLSRICY|aBPWR
12	32231 34411	   	217.94	ACR|2ASPD|1DMG|1BASICY|1BEXP|1AART|1CDMG|1AAC	19ASPD|2CDMG|3RCR|4BELT|5AART|6BASICY|7AAC|8BEXP|aDMG
13	32231 32543	   	217.76	ACR|2ASPD|2BEXP|1BASICY|2CDMG|1AART	19ASPD|29CDMG|3RCR|4BELT|5AART|6BASICY|7TLV|89BEXP|9BPWR|aVULN
