0	Index      	 *	Score 	Summary	Detail	
1	61333 51316	 * 	204.16	DCR|3DMG|2ASPD|1VULN|2BEXP|1AART	1AART|2BELT|369DMG|49ASPD|5VULN|7ERES|89BEXP|9BPWR|aRCR
2	61333 11312	 * 	201.00	DCR|2ASPD|2DMG|1VULN|2BEXP|2AART	16AART|2BELT|39DMG|49ASPD|5VULN|7ERES|89BEXP|9BPWR|aRCR
3	61333 62312	   	201.00	DCR|2ASPD|2DMG|1VULN|2BEXP|2AART	17AART|2BELT|39DMG|49ASPD|5VULN|6AME|89BEXP|9BPWR|aRCR
4	61333 52252	 * 	188.41	DCR|3VULN|3DMG|1ASPD|1AART	1AART|2BELT|369DMG|4ASPD|579VULN|89CGEN|9BPWR|aRCR
5	61333 52352	   	188.21	DCR|3VULN|3DMG|1ASPD|1AART	1AART|2BELT|369DMG|4ASPD|579VULN|89ERES|9BPWR|aRCR
6	44215 21132	 * 	185.10	DCR|3VULN|3DMG|3BEXP	1LWND|289BEXP|3ZMB|4LIT|589DMG|6DUST|789VULN|89BPWR|aRCR
7	54215 21132	   	185.10	DCR|3VULN|3DMG|3BEXP	1LHND|289BEXP|3ZMB|4LIT|589DMG|6DUST|789VULN|89BPWR|aRCR
8	24215 61132	   	185.10	DCR|3VULN|3DMG|3BEXP	1DUST|289BEXP|3ZMB|4LIT|589DMG|6LHND|789VULN|89BPWR|aRCR
9	15441 22123	 * 	183.30	ACR|2ASPD|2DMG|1AART|1BEXP	18AME|28ASPD|3MDPS|4LIT|5RCR|6TLV|78DMG|8BPWR|9BEXP|aAART
10	61233 52312	   	182.06	DCR|2ASPD|1VULN|2BEXP|2AART|1DMG	17AART|2BELT|39ERES|49ASPD|5VULN|6DMG|89BEXP|9BPWR|aRCR
11	14313 12431	 * 	178.21	ACR|1BASARM|1DMG|1BEXP|1CDMG	1AME|2BEXP|3LHND|4LIT|5RCR|6FEWX|7RCVC|8CDMG|9DMG|aBASARM
12	14313 16431	   	176.61	ACR|1BASARM|1DMG|1BEXP|1CDMG	1AME|2BEXP|3LHND|4LIT|5RCR|67FEWX|8CDMG|9DMG|aBASARM
13	14313 63431	   	176.61	ACR|1BASARM|1DMG|1BEXP|1CDMG	1AME|2BEXP|3LHND|46LIT|5RCR|7FEWX|8CDMG|9DMG|aBASARM
14	14433 33431	   	176.51	ACR|1BASARM|1DMG|1BEXP|1CDMG	14AME|2BEXP|3LIT|5RCR|6DUR|7FEWX|8CDMG|9DMG|aBASARM
15	61333 51116	   	175.67	DCR|3DMG|2ASPD|1VULN|1AART	1AART|2BELT|369DMG|49ASPD|5VULN|7ERES|89LWND|9BPWR|aRCR
