0	Index      	 *	Score 	Summary	Detail	
1	21363 21515	 * 	389.96	橙2易伤1双倍秒伤2时间1等级1伤害	17易伤2等级3基地爆炸48时间5伤害6核9策反a双倍秒伤
2	21363 21535	   	389.96	橙2易伤1双倍秒伤2时间1等级1伤害	17易伤2等级3基地爆炸48时间5伤害6核9低血量敌人a双倍秒伤
3	31351 21336	 * 	387.68	橙3易伤1双倍秒伤2时间	1立即金币28时间38敌人爆炸4低血量敌人5最后敌人6核789易伤8序列升级a双倍秒伤
4	31451 21336	   	387.68	橙3易伤1双倍秒伤2时间	1立即金币28时间38基地爆炸4低血量敌人5最后敌人6核789易伤8序列升级a双倍秒伤
5	23134 62313	 * 	387.59	2双倍秒伤2易伤2等级2时间1伤害	18易伤2掉矿38等级4散射对甲5伤害6平台78时间8序列升级9a双倍秒伤
6	31151 21336	   	387.48	橙3易伤1双倍秒伤2时间	1立即金币28时间38挖尘4低血量敌人5最后敌人6核789易伤8序列升级a双倍秒伤
7	21121 43415	 * 	382.38	2双倍秒伤2易伤2等级1暴击1时间	15易伤23等级4毒气减费6暴击7时间8策反9a双倍秒伤
8	21363 21361	   	377.51	橙2易伤1双倍秒伤1等级1伤害1时间	17易伤2等级3基地爆炸4时间5伤害6核8额外掉落9最后敌人a双倍秒伤
9	21363 26235	   	377.51	橙2易伤1双倍秒伤1等级1伤害1时间	19易伤2等级3基地爆炸4时间5伤害6核78低血量敌人a双倍秒伤
10	21363 21331	   	377.41	橙2易伤1双倍秒伤1等级1伤害1时间	17易伤2等级3基地爆炸4时间5伤害6核8额外掉落9挖尘a双倍秒伤
11	21363 21354	   	377.41	橙2易伤1双倍秒伤1等级1伤害1时间	17易伤2等级3基地爆炸4时间5伤害6核8额外掉落9赏金塔a双倍秒伤
12	21363 21435	   	377.41	橙2易伤1双倍秒伤1等级1伤害1时间	17易伤2等级39基地爆炸4时间5伤害6核8攻速a双倍秒伤
13	21363 21265	   	377.31	橙2易伤1双倍秒伤1等级1伤害1时间	17易伤2等级3基地爆炸4时间5伤害6核8电塔对甲9攻速a双倍秒伤
14	21415 36321	 * 	377.26	紫2易伤1双倍秒伤1暴击2时间1等级1伤害	14易伤2等级3攻速5核67时间8暴击9伤害a双倍秒伤
15	43235 33335	 * 	375.09	紫3易伤1双倍秒伤2暴击1时间	1平台2技能3核48低血量敌人5时间689易伤78暴击8序列升级a双倍秒伤
16	23122 23436	 * 	374.44	橙2易伤1双倍秒伤2等级1时间	17易伤2掉矿37等级4立即金币57敌人爆炸6核7序列升级8时间9低血量敌人a双倍秒伤
17	21212 23436	   	374.34	橙2易伤1双倍秒伤2等级1时间	17易伤27等级3掉矿4火球减费57敌人爆炸6核7序列升级8时间9低血量敌人a双倍秒伤
18	21431 23435	   	374.34	橙2易伤1双倍秒伤2等级1时间	17易伤27等级3攻速4技能点57金币生成6核7序列升级8时间9低血量敌人a双倍秒伤
19	22133 23455	   	374.34	橙2易伤1双倍秒伤2等级1时间	17易伤2随机矿37等级47技能点5技能6核7序列升级8时间9敌人爆炸a双倍秒伤
20	23122 23466	   	374.34	橙2易伤1双倍秒伤2等级1时间	17易伤2掉矿37等级4立即金币57敌人爆炸6核7序列升级8时间9雷电减费a双倍秒伤
21	21212 23466	   	374.24	橙2易伤1双倍秒伤2等级1时间	17易伤27等级3掉矿4火球减费57敌人爆炸6核7序列升级8时间9雷电减费a双倍秒伤
22	22133 23465	   	374.24	橙2易伤1双倍秒伤2等级1时间	17易伤2随机矿37等级47技能点5技能6核7序列升级8时间9挖青a双倍秒伤
23	31351 21362	 * 	371.30	橙2易伤1双倍秒伤1暴击2时间	1立即金币28时间38敌人爆炸4低血量敌人5最后敌人6核78易伤8序列升级9暴击a双倍秒伤
24	31451 21362	   	371.30	橙2易伤1双倍秒伤1暴击2时间	1立即金币28时间38基地爆炸4低血量敌人5最后敌人6核78易伤8序列升级9暴击a双倍秒伤
25	31151 21362	   	371.10	橙2易伤1双倍秒伤1暴击2时间	1立即金币28时间38挖尘4低血量敌人5最后敌人6核78易伤8序列升级9暴击a双倍秒伤
26	21234 62313	   	370.60	2双倍秒伤2易伤2时间1等级1伤害	18易伤2等级38掉矿4散射对甲5伤害6平台78时间8序列升级9a双倍秒伤
27	23131 62313	   	367.43	2双倍秒伤2易伤2等级2时间	18易伤2掉矿38等级4散射对甲5攻速6平台78时间8序列升级9a双倍秒伤
28	14612 33231	   	364.81	紫2易伤1双倍秒伤1暴击1等级1伤害1时间	1暴击2策反3核4毒气减费5伤害69易伤7等级8时间a双倍秒伤
29	21415 35321	   	364.81	紫2易伤1双倍秒伤1暴击1等级1伤害1时间	14易伤2等级3攻速5核6时间7双倍矿8暴击9伤害a双倍秒伤
30	11434 32473	 * 	364.70	橙1双倍秒伤1易伤1暴击1等级1伤害1时间1全技能	1暴击2赏金塔3全技能4伤害5加一6时间7核8等级9易伤a双倍秒伤
31	21362 42333	 * 	364.45	橙4易伤3时间1等级	1569易伤2等级3基地爆炸456时间56序列升级7最后敌人8随机矿a核
32	21643 12211	 * 	361.21	紫2双倍秒伤1易伤2等级1时间1卖塔	1易伤26等级3头目4时间5核7低血量敌人89双倍秒伤a卖塔
33	21643 12212	 * 	361.21	紫2双倍秒伤1易伤2等级1时间	1易伤26等级3头目4时间5核7低血量敌人89双倍秒伤a额外掉落
34	21643 12213	   	361.21	紫2双倍秒伤1易伤2等级1时间	1易伤26等级3头目4时间5核7低血量敌人89双倍秒伤a攻速
35	21643 12214	   	361.21	紫2双倍秒伤1易伤2等级1时间	1易伤26等级3头目4时间5核7低血量敌人89双倍秒伤a激光对绿
36	21643 12215	   	361.21	紫2双倍秒伤1易伤2等级1时间	1易伤26等级3头目4时间5核7低血量敌人89双倍秒伤a加一
37	21643 12216	   	361.21	紫2双倍秒伤1易伤2等级1时间	1易伤26等级3头目4时间5核7低血量敌人89双倍秒伤a最后敌人
