0	Index      	 *	Score 	Summary	Detail	
1	56121 31433	 * 	308.50	DCR|DCR|2VULN|2MLV|1CDMG	1AETHUN|2LEGI|35VULN|45MLV|5BPWR|69RCR|7LWND|8TBNT|aCDMG
2	56121 31432	   	294.85	DCR|DCR|2VULN|2MLV	1AETHUN|2LEGI|35VULN|45MLV|5BPWR|69RCR|7aLWND|8TBNT
3	56121 31431	   	294.75	DCR|DCR|2VULN|2MLV	1AETHUN|2LEGI|35VULN|45MLV|5BPWR|69RCR|7LWND|8TBNT|aERES
4	43326 31163	 * 	290.61	DCR|5VULN|3MLV	17DUST|2LWND|37aMLV|45789VULN|6RCR|7BPWR
5	56121 31114	 * 	284.80	DCR|3VULN|3MLV|1TLV	1AETHUN|2LEGI|35aVULN|45aMLV|5aBPWR|6RCR|7LWND|8TLV|9aBEXP
6	12141 56214	 * 	281.99	DCR|DCR|1VULN|1TLV|1DMG|2RAT	1MBVNT|2CGEN|3DMG|48RAT|5TLV|6MSLFST|79RCR|aVULN
7	35116 61132	   	280.52	DCR|DCR|1VULN|1TLV|1AAC	1ERES|2TLV|3ZMB|4RAT|5LSRICY|6AAC|79RCR|8DUR|aVULN
8	35242 43332	   	280.52	DCR|DCR|1VULN|1TLV|1AAC	1ERES|2TLV|3AEBURN|4VULN|5RAT|6DUR|7AAC|8FEWX|9aRCR
9	35262 43332	   	280.52	DCR|DCR|1VULN|1TLV|1AAC	1ERES|2TLV|3AEBURN|4RAT|5VULN|6DUR|7AAC|8FEWX|9aRCR
10	35242 41232	   	280.42	DCR|DCR|1VULN|1TLV|1AAC	1ERES|2TLV|3AEBURN|4VULN|5RAT|6DUR|7DUST|8AAC|9aRCR
11	35242 43232	   	280.42	DCR|DCR|1VULN|1TLV|1AAC	1ERES|2TLV|3AEBURN|4VULN|5RAT|6DUR|7AAC|8DUST|9aRCR
12	35262 41232	   	280.42	DCR|DCR|1VULN|1TLV|1AAC	1ERES|2TLV|3AEBURN|4RAT|5VULN|6DUR|7DUST|8AAC|9aRCR
13	35262 43232	   	280.42	DCR|DCR|1VULN|1TLV|1AAC	1ERES|2TLV|3AEBURN|4RAT|5VULN|6DUR|7AAC|8DUST|9aRCR
