0	Index      	 *	Score 	Summary	Detail	
1	63452 22112	 * 	301.23	DCR|3MLV|3TLV|1VULN|2ASPD|2RAT	17RAT|25ASPD|3RPLT|457TLV|57BPWR|678MLV|9VULN|aRCR
2	33432 31331	 * 	294.84	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1BBNT|2LIT|3DMG|4VULN|5RPLT|6MLV|7DMSP|89RCR|aTLV
3	33432 32331	   	294.84	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1BBNT|27LIT|3DMG|4VULN|5RPLT|6MLV|89RCR|aTLV
4	11233 11136	 * 	291.71	DCR|DCR|2VULN|1TLV|2DUR	18LWND|28VULN|3BBNT|4CGEN|5LIT|69RCR|78DUR|8BPWR|aTLV
5	36533 11136	   	291.71	DCR|DCR|2VULN|1TLV|2DUR	1BBNT|28VULN|38LWND|4CGEN|5LIT|69RCR|78DUR|8BPWR|aTLV
6	36352 31331	   	291.03	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BBNT|2VULN|3LIT|4ASPD|5RPLT|6MLV|7DMSP|89RCR|aTLV
7	36352 32331	   	291.03	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BBNT|2VULN|37LIT|4ASPD|5RPLT|6MLV|89RCR|aTLV
8	11233 11536	   	284.96	DCR|DCR|2VULN|1TLV	1LWND|28VULN|3BBNT|4CGEN|5LIT|69RCR|7DUR|aTLV
9	11233 11133	   	279.68	DCR|DCR|2VULN|1DMG|2DUR	18LWND|28VULN|3BBNT|4CGEN|5LIT|69RCR|78DUR|8BPWR|aDMG
10	36233 11133	   	279.68	DCR|DCR|2VULN|1DMG|2DUR	1BBNT|28VULN|38FEWX|4CGEN|5LIT|69RCR|78DUR|8BPWR|aDMG
11	36533 11133	   	279.68	DCR|DCR|2VULN|1DMG|2DUR	1BBNT|28VULN|38LWND|4CGEN|5LIT|69RCR|78DUR|8BPWR|aDMG
12	36342 11133	   	279.58	DCR|DCR|2VULN|1DMG|2DUR	1BBNT|28VULN|38LIT|4BEXP|5CGEN|69RCR|78DUR|8BPWR|aDMG
13	36623 13216	 * 	276.75	DCR|3VULN|2MLV|2TLV	1BBNT|29aVULN|3aTLV|4LIT|5BEXP|6RCR|7aMLV|8RMIN|aBPWR
14	11233 16136	   	276.66	DCR|DCR|2VULN|1TLV	1LWND|28VULN|3BBNT|47CGEN|5LIT|69RCR|aTLV
15	36233 16136	   	276.66	DCR|DCR|2VULN|1TLV	1BBNT|28VULN|3FEWX|47CGEN|5LIT|69RCR|aTLV
16	62523 32361	   	274.01	DCR|3MLV|1VULN|1TLV|1DMG|1CDMG	1RAT|246MLV|3FEWX|5VULN|7TLV|8CDMG|9RCR|aDMG
17	11233 11533	   	272.93	DCR|DCR|2VULN|1DMG	1LWND|28VULN|3BBNT|4CGEN|5LIT|69RCR|7DUR|aDMG
18	36233 11533	   	272.93	DCR|DCR|2VULN|1DMG	1BBNT|28VULN|3FEWX|4CGEN|5LIT|69RCR|7DUR|aDMG
19	36533 11533	   	272.93	DCR|DCR|2VULN|1DMG	1BBNT|28VULN|3LWND|4CGEN|5LIT|69RCR|7DUR|aDMG
20	35362 11533	   	272.83	DCR|DCR|2VULN|1DMG	1BBNT|2BEXP|3LIT|48VULN|5CGEN|69RCR|7DUR|aDMG
21	36342 11533	   	272.83	DCR|DCR|2VULN|1DMG	1BBNT|28VULN|3LIT|4BEXP|5CGEN|69RCR|7DUR|aDMG
