0	Index      	 *	Score 	Summary	Detail	
1	33213 13433	 * 	306.82	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2DUST|3DUR|4CDMG|5aVULN|6AART|79RCR|8LWND
2	33213 13435	   	294.99	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1TLV|2DUST|3DUR|4CDMG|5VULN|6AART|79RCR|8LWND|aASPD
3	23136 21126	 * 	292.21	DCR|2VULN|2MLV|1TLV|3RAT|1AAC|1ASPD	159RAT|2CGEN|39MLV|4ASPD|6AAC|7TLV|89VULN|9BPWR|aRCR
4	24126 21126	   	292.21	DCR|2VULN|2MLV|1TLV|3RAT|1AAC|1ASPD	159RAT|2ASPD|39MLV|4AME|6AAC|7TLV|89VULN|9BPWR|aRCR
5	21136 21126	   	292.11	DCR|2VULN|2MLV|1TLV|3RAT|1AAC|1ASPD	159RAT|2ERES|39MLV|4ASPD|6AAC|7TLV|89VULN|9BPWR|aRCR
6	33213 13431	   	278.74	DCR|DCR|1VULN|1TLV|1CDMG	1TLV|2DUST|3DUR|4CDMG|5VULN|6AART|79RCR|8LWND|aCGEN
7	33213 13432	   	278.64	DCR|DCR|1VULN|1TLV|1CDMG	1TLV|2DUST|3DUR|4CDMG|5VULN|6AART|79RCR|8LWND|aBEXP
8	33213 13434	   	278.64	DCR|DCR|1VULN|1TLV|1CDMG|1MSE	1TLV|2DUST|3DUR|4CDMG|5VULN|6AART|79RCR|8LWND|aMSE
9	33213 13436	   	278.64	DCR|DCR|1VULN|1TLV|1CDMG	1TLV|2DUST|3DUR|4CDMG|5VULN|6AART|79RCR|8LWND|aAEBURN
10	35131 53431	 * 	278.58	DCR|DCR|1TLV|1MLV|1AAC|1CDMG	1TLV|2MLV|3LEGI|4BBNT|5CDMG|6AART|79RCR|8AME|aAAC
11	31241 62125	   	278.38	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1TLV|2RMIN|3BBNT|4CDMG|5MDPS|69RCR|7ASPD|8RPLT|aVULN
