0	Index      	 *	Score 	Summary	Detail	
1	42212 73253	 * 	308.96	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	15LWND|2MBVNT|3ASPD|4aVULN|6TLV|78RCR|9DMG
2	42531 73233	 * 	303.20	DCR|DCR|1TLV|1VULN|2DMG|1AEFBLL	14LWND|2MBVNT|34DMG|4BPWR|5LHND|6TLV|78RCR|9VULN|aAEFBLL
3	42212 73235	   	299.17	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD	15LWND|2MBVNT|3ASPD|4VULN|6TLV|78RCR|9AEFBLL|aDMG
4	42531 73231	   	296.79	DCR|DCR|1TLV|1VULN|2DMG|1CDMG	14LWND|2MBVNT|34DMG|4BPWR|5LHND|6TLV|78RCR|9VULN|aCDMG
5	42512 73221	   	295.31	DCR|DCR|2VULN|1TLV|1DMG	15LWND|2MBVNT|3DMG|4aVULN|6TLV|78RCR|9CGEN
6	33142 63241	   	295.07	DCR|DCR|2VULN|1TLV|1DMG|1SELL	1ERES|2RPLT|3aVULN|4MLV|5SELL|6TLV|78RCR|9DMG
7	42531 73243	   	292.80	DCR|DCR|1TLV|1VULN|2DMG	14LWND|2MBVNT|34DMG|4BPWR|5LHND|6TLV|78RCR|9DUR|aVULN
8	42512 73232	   	292.46	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG	15LWND|2MBVNT|3DMG|4VULN|6TLV|78RCR|9AEFBLL|aZMB
9	42231 73233	 * 	291.66	DCR|DCR|1TLV|1VULN|2ASPD|1AEFBLL	14LWND|2MBVNT|34ASPD|4BPWR|5LHND|6TLV|78RCR|9VULN|aAEFBLL
10	22515 27223	   	289.88	DCR|DCR|1TLV|1VULN|2DMG	1DUST|2MBVNT|39DMG|4VULN|5ZMB|6CGEN|7aRCR|8TLV
11	42212 73221	   	288.90	DCR|DCR|2VULN|1TLV|1ASPD	15LWND|2MBVNT|3ASPD|4aVULN|6TLV|78RCR|9CGEN
12	42212 73263	   	288.90	DCR|DCR|2VULN|1TLV|1ASPD	15LWND|2MBVNT|3ASPD|4aVULN|6TLV|78RCR|9AAC
13	12111 23662	 * 	288.07	DCR|3VULN|2TLV|2AEPOI|2BLAICY	19AEPOI|2MLV|39BLAICY|47aVULN|5BEXP|69TLV|8RCR|9BPWR
14	42212 73232	   	286.04	DCR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	15LWND|2MBVNT|3ASPD|4VULN|6TLV|78RCR|9AEFBLL|aZMB
15	42512 73234	   	285.52	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG	15LWND|2MBVNT|3DMG|4VULN|6TLV|78RCR|9AEFBLL|aCGEN
16	42512 73231	   	285.42	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG	15LWND|2MBVNT|3DMG|4VULN|6TLV|78RCR|9AEFBLL|aDUST
17	42512 73233	   	285.42	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG	15LWND|2MBVNT|3DMG|4VULN|6TLV|78RCR|9AEFBLL|aMDPS
