0	Index      	 *	Score 	Summary	Detail	
1	15133 34533	 * 	304.10	DCR|3TLV|3VULN|2DMG|1CDMG|1MSE	1LEGI|259TLV|389VULN|4MSE|6CDMG|79DMG|9BPWR|aRCR
2	42163 25321	 * 	302.22	DCR|DCR|1TLV|1VULN|1DMG|1AEBURN	1ZMB|2DUR|3VULN|4LWND|5TLV|6FEWX|7DMG|89RCR|aAEBURN
3	42163 25323	   	295.80	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1ZMB|2DUR|3VULN|4LWND|5TLV|6FEWX|7DMG|89RCR|aASPD
4	15316 22533	 * 	289.02	DCR|2TLV|2VULN|1AEFBLL|2DUR|1CDMG	1LEGI|29TLV|39DUR|4RAT|5AETHUN|6AEFBLL|79VULN|8RCR|9BPWR|aCDMG
5	15313 63513	   	286.67	DCR|2TLV|2VULN|2DUR|1CDMG|2RAT|1AART	1LEGI|28TLV|35DUR|48RAT|6RCR|78VULN|8BPWR|9CDMG|aAART
6	31156 43321	 * 	284.81	ACR|DCR|2VULN|1TLV	1ERES|2LWND|36VULN|4LHND|59RCR|7MBVNT|8DUR|aTLV
7	42162 25321	   	282.15	DCR|DCR|1TLV|1VULN|1DMG	1ZMB|2DUR|3VULN|4LWND|5CGEN|6FEWX|7DMG|89RCR|aTLV
8	42163 25322	   	282.05	DCR|DCR|1TLV|1VULN|1DMG	1ZMB|2DUR|3VULN|4LWND|5TLV|6FEWX|7DMG|89RCR|aDUST
9	32146 15321	   	282.05	DCR|DCR|1TLV|1VULN|1DMG	1ERES|2DUR|3VULN|4ZMB|5FEWX|6LHND|7DMG|89RCR|aTLV
10	15313 63521	   	281.98	DCR|2TLV|2VULN|1AEFBLL|2DUR|2RAT	1LEGI|28TLV|35DUR|48RAT|6RCR|78VULN|8BPWR|9ERES|aAEFBLL
11	15316 22532	   	281.98	DCR|2TLV|2VULN|1AEFBLL|2DUR|2RAT	1LEGI|29TLV|39DUR|4aRAT|5AETHUN|6AEFBLL|79VULN|8RCR|9BPWR
12	42152 15321	   	281.95	DCR|DCR|1TLV|1VULN|1DMG	1ZMB|2DUR|3VULN|4ERES|5DUST|6LHND|7DMG|89RCR|aTLV
13	31142 55321	   	281.95	DCR|DCR|1TLV|1VULN|1DMG	1ERES|2LWND|3VULN|4ZMB|5DUST|6DUR|7DMG|89RCR|aTLV
14	32142 15321	   	281.95	DCR|DCR|1TLV|1VULN|1DMG	1ERES|2DUR|3VULN|4ZMB|5DUST|6LHND|7DMG|89RCR|aTLV
15	32116 61162	   	281.85	DCR|DCR|1TLV|1VULN|1AEBURN	1ERES|2DUR|3VULN|4RAT|5AEBURN|6aRCR|7AETHUN|8SNIHEL|9TLV
16	32142 45321	   	281.85	DCR|DCR|1TLV|1VULN|1DMG	1ERES|2DUR|3VULN|4ZMB|5DUST|6AETHUN|7DMG|89RCR|aTLV
17	32422 63162	   	281.85	DCR|DCR|1TLV|1VULN|1AEPOI	1ERES|2DUR|3AEPOI|4AETHUN|5RAT|6aRCR|7VULN|8SNIHEL|9TLV
18	15156 22231	 * 	281.05	ACR|DCR|2TLV|1VULN	1LEGI|2aTLV|3VULN|4LHND|58RCR|6AIRHEL|7MDPS|9DUR
19	15166 22231	   	281.05	ACR|DCR|2TLV|1VULN	1LEGI|2aTLV|3VULN|4LWND|58RCR|6AIRHEL|7MDPS|9DUR
20	11221 53363	   	279.70	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1LEGI|27RCR|3LIT|4CDMG|5LWND|6AART|8DUR|9TLV|aVULN
21	23132 22242	   	279.00	ACR|DCR|1TLV|1VULN|1AEFBLL|1CDMG	1RCVC|2TLV|3ERES|47RCR|5FEWX|6CANTOX|8CDMG|9VULN|aAEFBLL
22	11511 43521	   	279.00	ACR|DCR|1TLV|1VULN|1DMG|1ASPD	1LEGI|29RCR|3ERES|4LHND|5BEXP|6VULN|7ASPD|8DMG|aTLV
23	23246 22633	   	278.53	ACR|DCR|2TLV|1VULN	1RCVC|28TLV|3DMSP|4CGEN|57RCR|6MGNSTR|9VULN|aZMB
24	62411 13612	 * 	278.43	DCR|DCR|2TLV|1VULN	1RAT|26TLV|3LWND|4CANHEL|5DUST|7aRCR|8CGEN|9VULN
25	62411 13112	   	278.33	DCR|DCR|2TLV|1VULN	1RAT|26TLV|3LWND|4CANHEL|5DUST|7aRCR|8ERES|9VULN
26	15313 63511	   	275.66	DCR|2TLV|2VULN|2DUR|1CDMG|2RAT	1LEGI|28TLV|35DUR|48RAT|6RCR|78VULN|8BPWR|9CDMG|aBEXP
27	15313 63512	   	275.66	DCR|2TLV|2VULN|2DUR|1CDMG|2RAT	1LEGI|28TLV|35DUR|48RAT|6RCR|78VULN|8BPWR|9CDMG|aCGEN
28	15313 63523	   	275.56	DCR|2TLV|2VULN|2DUR|2RAT|1CDMG	1LEGI|28TLV|35DUR|48RAT|6RCR|78VULN|8BPWR|9ERES|aCDMG
29	15316 22531	   	275.37	DCR|2TLV|2VULN|1AEFBLL|2DUR	1LEGI|29TLV|39DUR|4RAT|5AETHUN|6AEFBLL|79VULN|8RCR|9BPWR|aFEWX
30	31156 43221	   	275.05	ACR|DCR|2VULN|1TLV	1ERES|2LWND|36VULN|4LHND|59RCR|7MBVNT|8DUST|aTLV
31	23132 22436	   	275.01	ACR|DCR|1TLV|1VULN|1DMG	1RCVC|2TLV|3ERES|47RCR|5FEWX|6CANTOX|8DUR|9VULN|aDMG
32	32126 15321	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1ERES|2DUR|3VULN|4NUKE|5FEWX|6LHND|7DMG|89RCR|aTLV
33	35325 15321	   	275.01	DCR|DCR|1TLV|1VULN|1DMG	1ERES|2BEXP|3DUR|4NUKE|5VULN|6LHND|7DMG|89RCR|aTLV
34	31122 55321	   	274.91	DCR|DCR|1TLV|1VULN|1DMG	1ERES|2LWND|3VULN|4NUKE|5DUST|6DUR|7DMG|89RCR|aTLV
35	32122 15321	   	274.91	DCR|DCR|1TLV|1VULN|1DMG	1ERES|2DUR|3VULN|4NUKE|5DUST|6LHND|7DMG|89RCR|aTLV
36	32126 45321	   	274.91	DCR|DCR|1TLV|1VULN|1DMG	1ERES|2DUR|3VULN|4NUKE|5FEWX|6AETHUN|7DMG|89RCR|aTLV
37	36325 15321	   	274.91	DCR|DCR|1TLV|1VULN|1DMG	1ERES|2DUST|3DUR|4NUKE|5VULN|6LHND|7DMG|89RCR|aTLV
38	32122 45321	   	274.81	DCR|DCR|1TLV|1VULN|1DMG	1ERES|2DUR|3VULN|4NUKE|5DUST|6AETHUN|7DMG|89RCR|aTLV
39	15156 11113	 * 	274.52	ACR|3VULN|2TLV|1DMG	1LEGI|27TLV|37aVULN|47LHND|5RCR|6RPLT|7BPWR|8DMG|9BELT
40	15166 11113	   	274.52	ACR|3VULN|2TLV|1DMG	1LEGI|27TLV|37aVULN|47LWND|5RCR|6RPLT|7BPWR|8DMG|9BELT
