0	Index      	 *	Score 	Summary	Detail	
1	31253 32563	 * 	296.56	DCR|4VULN|1TLV|1DMG|1ASPD|1CDMG	1BEXP|2458VULN|3CDMG|6ASPD|7RCR|9TLV|aDMG
2	31253 32663	 * 	295.58	DCR|3VULN|1TLV|1AEFBLL|1DMG|1ASPD|1CDMG	1BEXP|245VULN|3CDMG|6ASPD|7RCR|8AEFBLL|9TLV|aDMG
3	31262 41225	   	295.58	DCR|3VULN|1TLV|1AEFBLL|1DMG|1ASPD|1CDMG	1BEXP|25aVULN|3CDMG|4DMG|6TLV|7AEFBLL|8ASPD|9RCR
4	11262 41225	   	295.48	DCR|3VULN|1TLV|1AEFBLL|1DMG|1ASPD|1CDMG	1DUST|25aVULN|3CDMG|4DMG|6TLV|7AEFBLL|8ASPD|9RCR
5	31262 34143	 * 	295.01	DCR|3VULN|2TLV|1DMG|1CDMG	1BEXP|25aVULN|3CDMG|4DMG|6RAT|7RCR|89TLV
6	11262 34143	   	294.91	DCR|3VULN|2TLV|1DMG|1CDMG	1DUST|25aVULN|3CDMG|4DMG|6RAT|7RCR|89TLV
7	11246 35133	   	293.75	DCR|3VULN|2TLV|2DUR|1CDMG	1DUST|29aVULN|3CDMG|4CGEN|59TLV|6RAT|7RCR|89DUR|9BPWR
8	11626 35133	   	293.75	DCR|3VULN|2TLV|2DUR|1CDMG	1DUST|29aVULN|3CGEN|4CDMG|59TLV|6RAT|7RCR|89DUR|9BPWR
9	31262 34113	   	289.85	DCR|4VULN|1TLV|1DMG|1CDMG	1BEXP|259aVULN|3CDMG|4DMG|6RAT|7RCR|8TLV
10	11253 36125	   	289.75	DCR|4VULN|1TLV|1DMG|1CDMG	1DUST|245aVULN|3CDMG|6ZMB|7DMG|8TLV|9RCR
11	11262 34113	   	289.75	DCR|4VULN|1TLV|1DMG|1CDMG	1DUST|259aVULN|3CDMG|4DMG|6RAT|7RCR|8TLV
12	31262 34115	   	288.87	DCR|3VULN|1TLV|1AEFBLL|1DMG|1CDMG	1BEXP|259VULN|3CDMG|4DMG|6RAT|7RCR|8TLV|aAEFBLL
13	31262 34116	 * 	288.87	DCR|3VULN|1TLV|1DMG|1AEPOI|1CDMG	1BEXP|259VULN|3CDMG|4DMG|6RAT|7RCR|8TLV|aAEPOI
14	11262 34115	   	288.77	DCR|3VULN|1TLV|1AEFBLL|1DMG|1CDMG	1DUST|259VULN|3CDMG|4DMG|6RAT|7RCR|8TLV|aAEFBLL
15	11262 34116	   	288.77	DCR|3VULN|1TLV|1DMG|1AEPOI|1CDMG	1DUST|259VULN|3CDMG|4DMG|6RAT|7RCR|8TLV|aAEPOI
16	31215 22335	 * 	288.07	DCR|3VULN|2TLV|1AEBURN|1CDMG	1BEXP|26aVULN|3CDMG|4LHND|58TLV|7RCR|9AEBURN
