0	Index      	 *	Score 	Summary	Detail	
1	12562 22613	 * 	335.03	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|1CDMG	18RCR|2AEBURN|3MDPS|4CDMG|5aTLV|6VULN|7DMG|9DUR
2	12562 22161	 * 	329.02	ACR|DCR|2VULN|1TLV|1DMG|1AEBURN|1CDMG	19RCR|2AEBURN|3MDPS|4CDMG|5TLV|6aVULN|7DMG|8RPLT
3	13562 22633	   	320.06	ACR|DCR|2VULN|1TLV|1DMG|1CDMG|1AART	18RCR|2LWND|3FEWX|4CDMG|5TLV|6aVULN|7DMG|9AART
4	14162 22633	   	319.96	ACR|DCR|2VULN|1TLV|1DMG|1CDMG|1AART	18RCR|2DUST|3LWND|4CDMG|5TLV|6aVULN|7DMG|9AART
5	35533 33163	 * 	318.52	DCR|DCR|2VULN|1TLV|1AEBURN|1CDMG	17ERES|2CDMG|39VULN|4TLV|5DUR|68RCR|aAEBURN
6	13262 22613	   	315.07	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	18RCR|2LWND|3LHND|4CDMG|5aTLV|6VULN|7DMG|9DUR
7	13562 22613	   	315.07	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	18RCR|2LWND|3FEWX|4CDMG|5aTLV|6VULN|7DMG|9DUR
8	14162 22613	   	314.97	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	18RCR|2DUST|3LWND|4CDMG|5aTLV|6VULN|7DMG|9DUR
9	12562 22611	   	308.83	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1CDMG	18RCR|2AEBURN|3MDPS|4CDMG|5TLV|6VULN|7DMG|9DUR|aLIT
10	12562 22612	   	308.83	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1CDMG	18RCR|2AEBURN|3MDPS|4CDMG|5TLV|6VULN|7DMG|9DUR|aRMIN
11	13262 22622	   	306.21	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1CDMG	18RCR|2LWND|3LHND|4CDMG|5TLV|6VULN|7DMG|9AEBURN|aZMB
12	13562 22622	   	306.21	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1CDMG	18RCR|2LWND|3FEWX|4CDMG|5TLV|6VULN|7DMG|9AEBURN|aZMB
13	14162 22622	   	306.11	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1CDMG	18RCR|2DUST|3LWND|4CDMG|5TLV|6VULN|7DMG|9AEBURN|aZMB
14	11631 32551	   	305.50	ACR|DCR|2VULN|1TLV|1ASPD	19RCR|2ASPD|3ZMB|48VULN|5MLV|6MBVNT|7DUR|aTLV
15	11632 32551	   	305.50	ACR|DCR|2VULN|1TLV|1ASPD	19RCR|2ASPD|3ZMB|48VULN|5AME|6MBVNT|7DUR|aTLV
16	35533 33162	   	305.40	DCR|DCR|2VULN|1TLV|1CDMG	17ERES|2CDMG|39VULN|4TLV|5DUR|68RCR|aZMB
