0	Index      	 *	Score 	Summary	Detail	
1	31321 33633	 * 	308.96	ACR|DCR|2VULN|1TLV|1AEFBLL|1CDMG	1LIT|2CDMG|3TLV|49VULN|58RCR|6LWND|7AIRHEA|aAEFBLL
2	31321 33643	 * 	305.31	ACR|DCR|2TLV|1VULN|1AEFBLL|1CDMG	1LIT|2CDMG|39TLV|4VULN|58RCR|6LWND|7AIRHEA|aAEFBLL
3	31321 53643	   	305.31	ACR|DCR|2TLV|1VULN|1AEFBLL|1CDMG	1LIT|2CDMG|39TLV|4VULN|58RCR|6BEXP|7AIRHEA|aAEFBLL
4	31321 63643	   	305.31	ACR|DCR|2TLV|1VULN|1AEFBLL|1CDMG	1LIT|2CDMG|39TLV|4VULN|58RCR|6LHND|7AIRHEA|aAEFBLL
5	21662 62122	 * 	301.15	DCR|3VULN|2TLV|2ASPD|1CDMG	1DUST|25aVULN|3CDMG|4AME|6aTLV|7RCR|8FLTARM|9aASPD|aBPWR
6	31321 35651	 * 	299.19	ACR|DCR|3TLV|1VULN|1CDMG	18LIT|2CDMG|389TLV|4VULN|5aRCR|6LWND|78BEXP|8BPWR
7	31321 53612	   	298.56	ACR|DCR|2VULN|1TLV|1CDMG	1LIT|2CDMG|3TLV|4aVULN|58RCR|6BEXP|7AIRHEA|9DUR
8	14242 16112	   	296.25	ACR|DCR|2TLV|1VULN|1ASPD|1AART	14ERES|24TLV|3aRCR|4BPWR|5AART|6VULN|7ASPD|8RPLT|9BELT
9	33321 33633	   	295.07	ACR|DCR|2VULN|1TLV|1AEFBLL|1SELL	1LIT|2SELL|3TLV|49VULN|58RCR|6LWND|7AIRHEA|aAEFBLL
10	31311 15611	   	294.91	ACR|DCR|2TLV|1VULN|1CDMG	1LIT|2CDMG|38TLV|4LWND|5aRCR|6MDPS|7DUR|9VULN
11	31321 15631	   	294.91	ACR|DCR|2TLV|1VULN|1CDMG	1LIT|2CDMG|38TLV|4VULN|5aRCR|6MDPS|7DUR|9BEXP
12	31351 11611	   	294.91	ACR|DCR|2TLV|1VULN|1CDMG	1LIT|2CDMG|38TLV|4DUR|5aRCR|6MDPS|7LHND|9VULN
13	26222 53234	 * 	294.51	DCR|3TLV|2VULN|2DMG|1CDMG	138DUST|279TLV|4CDMG|59VULN|69DMG|9BPWR|aRCR
14	14236 36112	   	293.19	ACR|DCR|2VULN|1TLV|1AART	1ERES|2TLV|3aRCR|4RPLT|5AART|6ZMB|79VULN|8BELT
15	33321 33643	   	291.41	ACR|DCR|2TLV|1VULN|1AEFBLL|1SELL	1LIT|2SELL|39TLV|4VULN|58RCR|6LWND|7AIRHEA|aAEFBLL
16	33321 53643	   	291.41	ACR|DCR|2TLV|1VULN|1AEFBLL|1SELL	1LIT|2SELL|39TLV|4VULN|58RCR|6BEXP|7AIRHEA|aAEFBLL
17	33321 63643	   	291.41	ACR|DCR|2TLV|1VULN|1AEFBLL|1SELL	1LIT|2SELL|39TLV|4VULN|58RCR|6LHND|7AIRHEA|aAEFBLL
18	14253 31112	 * 	290.57	ACR|3TLV|2VULN|1AEPOI|2RAT|1CDMG	19ERES|289TLV|3RCR|4CDMG|56VULN|79RAT|9BPWR|aAEPOI
19	14253 31114	   	290.57	ACR|3TLV|2VULN|1DMG|1CDMG|2RAT	19ERES|289TLV|3RCR|4CDMG|56VULN|79RAT|9BPWR|aDMG
20	16623 62122	   	290.38	DCR|2TLV|2VULN|1AEFBLL|2CDMG|1ASPD	1ERES|2AEFBLL|3aVULN|4aCDMG|5LHND|6aTLV|7RCR|8FLTARM|9ASPD|aBPWR
21	14633 42122	 * 	290.10	DCR|3TLV|2VULN|2ASPD|1CDMG	1ERES|25aTLV|3LHND|4CDMG|6aVULN|7RCR|8FLTARM|9aASPD|aBPWR
22	31321 33631	   	288.90	ACR|DCR|2VULN|1TLV|1CDMG	1LIT|2CDMG|3TLV|49VULN|58RCR|6LWND|7AIRHEA|aLHND
23	31321 33632	   	288.90	ACR|DCR|2VULN|1TLV|1CDMG	1LIT|2CDMG|3TLV|49VULN|58RCR|6LWND|7AIRHEA|aAME
