0	Index      	 *	Score 	Summary	Detail	
1	41124 53332	 * 	278.25	橙5易伤2伤害1全技能1攻速1雷电	15伤害23456易伤5序列升级7全技能8攻速9核a雷电
2	11141 22245	 * 	268.79	橙橙2易伤1等级1暴击	1金币生成29易伤3火球减费4额外掉落5等级6烈焰减费78核a暴击
3	11141 32245	   	268.79	橙橙2易伤1等级1暴击	1金币生成29易伤3火球减费4额外掉落5等级6毒气减费78核a暴击
4	33152 15116	   	267.34	橙橙1易伤1等级1全技能1暴击1雷电	1最后敌人2等级3易伤4敌人爆炸5全技能6暴击7雷电8核弹9a核
5	41124 53331	   	267.24	橙5易伤2伤害1全技能1攻速	15伤害23456易伤5序列升级7全技能8攻速9核a立即金币
6	41124 53333	   	267.14	橙5易伤2伤害1全技能1攻速	15伤害23456易伤5序列升级7全技能8攻速9核a掉矿
7	33124 16316	   	263.38	橙橙1易伤1等级1全技能1暴击	1最后敌人2等级3易伤4策反5头目6暴击7时间8全技能9a核
8	11141 22222	   	262.08	橙橙2易伤1等级	1金币生成2a易伤3火球减费4额外掉落5等级6烈焰减费78核9时间
9	11141 32222	   	262.08	橙橙2易伤1等级	1金币生成2a易伤3火球减费4额外掉落5等级6毒气减费78核9时间
10	43313 21452	 * 	261.80	橙橙2伤害1易伤2雷电	19伤害29雷电3核弹4头目59随机技能67核8赏金邻近9序列升级a易伤
11	41124 51323	   	260.53	橙5易伤2伤害1攻速	15伤害23456易伤5序列升级7金币生成8时间9攻速a核
12	43313 21165	 * 	257.27	橙橙1等级1伤害1矿等1暴击1雷电	1伤害2雷电3核弹4头目5随机技能67核8暴击9矿等a等级
13	33124 11216	   	256.34	橙橙1易伤1等级1全技能1暴击	1最后敌人2等级3易伤4策反5头目6暴击7挖青8全技能9a核
14	11141 22232	   	255.14	橙橙2易伤1等级	1金币生成2a易伤3火球减费4额外掉落5等级6烈焰减费78核9敌人爆炸
15	11141 22242	   	255.14	橙橙2易伤1等级	1金币生成29易伤3火球减费4额外掉落5等级6烈焰减费78核a基地爆炸
16	11141 22243	   	255.14	橙橙2易伤1等级	1金币生成29易伤3火球减费4额外掉落5等级6烈焰减费78核a平台
17	11141 32232	   	255.14	橙橙2易伤1等级	1金币生成2a易伤3火球减费4额外掉落5等级6毒气减费78核9敌人爆炸
18	11141 32242	   	255.14	橙橙2易伤1等级	1金币生成29易伤3火球减费4额外掉落5等级6毒气减费78核a基地爆炸
19	11141 32243	   	255.14	橙橙2易伤1等级	1金币生成29易伤3火球减费4额外掉落5等级6毒气减费78核a平台
20	11141 22241	   	255.04	橙橙2易伤1等级	1金币生成29易伤3火球减费4额外掉落5等级6烈焰减费78核a风暴减费
21	11141 22244	   	255.04	橙橙2易伤1等级	1金币生成29易伤3火球减费4额外掉落5等级6烈焰减费78核a毒气减费
22	11141 22252	   	255.04	橙橙2易伤1等级	1金币生成2a易伤3火球减费4额外掉落5等级6烈焰减费78核9雷电减费
23	11141 32241	   	255.04	橙橙2易伤1等级	1金币生成29易伤3火球减费4额外掉落5等级6毒气减费78核a风暴减费
24	11141 32244	   	255.04	橙橙2易伤1等级	1金币生成29易伤3火球减费4额外掉落5等级6a毒气减费78核
25	11141 32252	   	255.04	橙橙2易伤1等级	1金币生成2a易伤3火球减费4额外掉落5等级6毒气减费78核9雷电减费
26	11141 22212	   	253.59	橙橙1易伤1等级1全技能1雷电	1金币生成2易伤3火球减费4额外掉落5等级6烈焰减费78核9雷电a全技能
27	11141 22216	   	253.59	橙橙1易伤1等级1暴击1雷电	1金币生成2易伤3火球减费4额外掉落5等级6烈焰减费78核9雷电a暴击
28	11141 32212	   	253.59	橙橙1易伤1等级1全技能1雷电	1金币生成2易伤3火球减费4额外掉落5等级6毒气减费78核9雷电a全技能
