0	Index      	 *	Score 	Summary	Detail	
1	31445 46262	 * 	275.11	橙橙2易伤1等级1伤害	1随机技能2加一3挖尘4赏金塔57易伤69核8伤害a等级
2	31712 58213	   	262.65	橙橙1易伤1等级1伤害1暴击	1随机技能2加一3等级4伤害5金币生成68核7掉矿9暴击a易伤
3	31812 58213	   	252.05	橙橙1易伤1伤害1矿等1暴击	1随机技能2加一3矿等4伤害5金币生成68核7掉矿9暴击a易伤
4	31712 58223	   	249.00	橙橙1易伤1等级1伤害	1随机技能2加一3等级4伤害5金币生成68核7掉矿9低血量敌人a易伤
5	31712 58233	   	249.00	橙橙1易伤1等级1伤害	1随机技能2加一3等级4伤害5金币生成68核7掉矿9最后敌人a易伤
6	31712 58243	   	249.00	橙橙1易伤1等级1伤害	1随机技能2加一3等级4伤害5金币生成68核7掉矿9雷电a易伤
7	31543 44262	   	249.00	橙橙1易伤1等级1伤害	1随机技能2加一35基地爆炸4易伤69核7赏金塔8伤害a等级
8	14261 25321	 * 	248.96	橙橙2易伤2暴击1技能1卖塔	17低血量敌人2金币生成37易伤4技能57暴击6a核7序列升级8赏金塔9卖塔
9	24261 25321	 * 	248.96	橙橙2易伤2暴击1技能1卖塔	17敌人爆炸2金币生成37易伤4技能57暴击6a核7序列升级8赏金塔9卖塔
10	31445 46263	   	248.90	橙橙2易伤1伤害	1随机技能2加一3挖尘4赏金塔57易伤69核8伤害a随机矿
11	31445 46264	   	248.90	橙橙2易伤1伤害	1随机技能2加一3挖尘4赏金塔57易伤69核8伤害a基地爆炸
12	31344 47468	 * 	248.90	橙橙1易伤2时间1伤害	1随机技能2加一35时间4赏金塔69核7伤害8最后敌人a易伤
13	31288 44262	   	248.90	橙橙1易伤1等级1伤害	1随机技能2加一3最后敌人4易伤5火球减费69核7赏金塔8伤害a等级
14	31445 48262	   	248.90	橙橙1易伤1等级1伤害	17随机技能2加一3挖尘4赏金塔5易伤69核8伤害a等级
15	31544 44262	   	248.90	橙橙1易伤1等级1伤害	1随机技能2加一3基地爆炸4易伤5火球减费69核7赏金塔8伤害a等级
16	14251 25321	 * 	248.86	橙橙2易伤2暴击1核弹1卖塔	17低血量敌人2金币生成37易伤4核弹57暴击6a核7序列升级8赏金塔9卖塔
17	24251 25321	 * 	248.86	橙橙2易伤2暴击1核弹1卖塔	17敌人爆炸2金币生成37易伤4核弹57暴击6a核7序列升级8赏金塔9卖塔
18	31445 46261	   	248.80	橙橙2易伤1伤害	1随机技能2加一3挖尘4赏金塔57易伤69核8伤害a双倍秒伤
19	31482 42262	   	248.80	橙橙1易伤1等级1伤害	1随机技能2加一35挖尘4易伤69核7赏金塔8伤害a等级
20	31488 42262	   	248.80	橙橙1易伤1等级1伤害	1随机技能2加一3挖尘4易伤5火球减费69核7赏金塔8伤害a等级
21	54115 21221	 * 	246.91	橙2易伤3等级2时间2暴击1全技能	1双倍秒伤29易伤35时间459等级59序列升级69暴击7平台8核a全技能
22	14226 22353	 * 	246.71	紫橙3易伤1矿等1时间	1低血量敌人26金币生成367易伤49核5双倍矿6序列升级8时间a矿等
23	14226 26133	   	246.71	紫橙3易伤1矿等1时间	1低血量敌人26金币生成369易伤48核5双倍矿6序列升级7时间a矿等
