0	Index      	 *	Score 	Summary	Detail	
1	66321 23252	 * 	282.54	橙橙2易伤1等级1全技能2时间	1额外掉落24时间34易伤4序列升级5爆破对壮6双倍矿78核9全技能a等级
2	66321 23226	 * 	278.48	橙橙3易伤1全技能2时间	1额外掉落24时间349易伤4序列升级5爆破对壮6双倍矿78核a全技能
3	66331 23252	   	275.83	橙橙2易伤1等级1全技能	1额外掉落2时间34易伤5爆破对壮6双倍矿78核9全技能a等级
4	66331 23226	   	271.77	橙橙3易伤1全技能	1额外掉落2时间349易伤5爆破对壮6双倍矿78核a全技能
5	63321 23252	   	268.99	橙橙2易伤1等级1全技能	1额外掉落24敌人爆炸34易伤4序列升级5爆破对壮6双倍矿78核9全技能a等级
6	63331 23252	   	268.89	橙橙2易伤1等级1全技能	1额外掉落2敌人爆炸34易伤5爆破对壮6双倍矿78核9全技能a等级
7	62321 23252	   	268.79	橙橙2易伤1等级1全技能	1额外掉落24挖尘34易伤4序列升级5爆破对壮6双倍矿78核9全技能a等级
8	62331 23252	   	268.79	橙橙2易伤1等级1全技能	1额外掉落2挖尘34易伤5爆破对壮6双倍矿78核9全技能a等级
9	66321 23242	   	268.79	橙橙2易伤1等级2时间	1额外掉落24时间34易伤4序列升级5爆破对壮6双倍矿78核9赏金邻近a等级
10	66321 23216	   	264.83	橙橙3易伤2时间	1额外掉落24时间34a易伤4序列升级5爆破对壮6双倍矿78核9金币生成
11	66321 23221	   	264.83	橙橙3易伤2时间	1额外掉落24时间349易伤4序列升级5爆破对壮6双倍矿78核a平台
12	66321 23222	   	264.83	橙橙3易伤2时间	1额外掉落24时间349易伤4序列升级5爆破对壮6双倍矿78核a随机矿
13	66321 23225	   	264.83	橙橙3易伤2时间	1额外掉落24时间349易伤4序列升级5爆破对壮6双倍矿78核a敌人爆炸
14	62321 23226	   	264.73	橙橙3易伤1全技能	1额外掉落24挖尘349易伤4序列升级5爆破对壮6双倍矿78核a全技能
15	62331 23226	   	264.73	橙橙3易伤1全技能	1额外掉落2挖尘349易伤5爆破对壮6双倍矿78核a全技能
16	66321 23223	   	264.73	橙橙3易伤2时间	1额外掉落24时间349易伤4序列升级5爆破对壮6双倍矿78核a加一
17	66321 23224	   	264.73	橙橙3易伤2时间	1额外掉落24时间349易伤4序列升级5爆破对壮6双倍矿78核a烈焰减费
18	66321 23214	 * 	262.75	橙橙2易伤1伤害2时间	1额外掉落24时间34易伤4序列升级5爆破对壮6双倍矿78核9金币生成a伤害
19	66321 23232	   	262.65	橙橙2易伤1伤害2时间	1额外掉落24时间34易伤4序列升级5爆破对壮6双倍矿78核9挖尘a伤害
20	66331 23242	   	262.08	橙橙2易伤1等级	1额外掉落2时间34易伤5爆破对壮6双倍矿78核9赏金邻近a等级
21	66331 23216	   	258.12	橙橙3易伤	1额外掉落2时间34a易伤5爆破对壮6双倍矿78核9金币生成
22	66331 23221	   	258.12	橙橙3易伤	1额外掉落2时间349易伤5爆破对壮6双倍矿78核a平台
23	66331 23222	   	258.12	橙橙3易伤	1额外掉落2时间349易伤5爆破对壮6双倍矿78核a随机矿
24	66331 23225	   	258.12	橙橙3易伤	1额外掉落2时间349易伤5爆破对壮6双倍矿78核a敌人爆炸
25	66331 23223	   	258.02	橙橙3易伤	1额外掉落2时间349易伤5爆破对壮6双倍矿78核a加一
26	66331 23224	   	258.02	橙橙3易伤	1额外掉落2时间349易伤5爆破对壮6双倍矿78核a烈焰减费
27	14365 33221	 * 	256.84	橙橙2易伤2矿等	1技能点2额外掉落34矿等5散射对喷气69易伤78核a平台
28	14365 33222	   	256.84	橙橙2易伤2矿等	1技能点2额外掉落34矿等5散射对喷气69易伤78核a随机矿
29	14365 33223	   	256.74	橙橙2易伤2矿等	1技能点2额外掉落34矿等5散射对喷气69易伤78核a加一
30	66321 23211	   	256.34	橙橙2易伤2时间1攻速	1额外掉落24时间34易伤4序列升级5爆破对壮6双倍矿78核9金币生成a攻速
31	66321 23251	   	256.34	橙橙2易伤1全技能2时间	1额外掉落24时间34易伤4序列升级5爆破对壮6双倍矿78核9全技能a低血量敌人
32	66321 23253	   	256.34	橙橙2易伤1全技能2时间	1额外掉落24时间34易伤4序列升级5爆破对壮6双倍矿78核9全技能a金币生成
33	66321 23261	   	256.24	橙橙2易伤2时间1攻速	1额外掉落24时间34易伤4序列升级5爆破对壮6双倍矿78核9掉矿a攻速
34	66331 23214	   	256.04	橙橙2易伤1伤害	1额外掉落2时间34易伤5爆破对壮6双倍矿78核9金币生成a伤害
35	66331 23232	   	255.94	橙橙2易伤1伤害	1额外掉落2时间34易伤5爆破对壮6双倍矿78核9挖尘a伤害
36	61125 23222	 * 	255.94	橙橙1易伤1等级1伤害	1额外掉落2防空对头目3时间4掉矿5等级6双倍矿78核9易伤a伤害
37	63321 23242	   	255.24	橙橙2易伤1等级	1额外掉落24敌人爆炸34易伤4序列升级5爆破对壮6双倍矿78核9赏金邻近a等级
38	63331 23242	   	255.14	橙橙2易伤1等级	1额外掉落2敌人爆炸34易伤5爆破对壮6双倍矿78核9赏金邻近a等级
39	62321 23242	   	255.04	橙橙2易伤1等级	1额外掉落24挖尘34易伤4序列升级5爆破对壮6双倍矿78核9赏金邻近a等级
40	62331 23242	   	255.04	橙橙2易伤1等级	1额外掉落2挖尘34易伤5爆破对壮6双倍矿78核9赏金邻近a等级
