0	Index      	 *	Score 	Summary	Detail	
1	62252 13117	 * 	378.51	橙2易伤1双倍秒伤1暴击1伤害1时间	1技能26易伤3加一4时间5伤害7核弹8核9暴击a双倍秒伤
2	52231 41512	 * 	367.19	3易伤1双倍秒伤3伤害2时间1等级	18时间2低血量敌人348易伤5机枪对头目6等级789伤害8序列升级a双倍秒伤
3	62214 13117	   	358.34	橙2易伤1双倍秒伤1暴击1时间	1技能26易伤3加一4攻速5时间7核弹8核9暴击a双倍秒伤
4	22135 51321	 * 	357.35	橙2易伤1双倍秒伤1等级1时间	1赏金塔24易伤3等级5基地爆炸6时间7寒冰对甲8核9最后敌人a双倍秒伤
5	22136 51321	   	357.35	橙2易伤1双倍秒伤1等级1时间	1赏金塔24易伤3等级5敌人爆炸6时间7寒冰对甲8核9最后敌人a双倍秒伤
6	56233 62224	   	357.25	橙2易伤1双倍秒伤1等级1时间	1时间2加一34易伤5矿等6等级7核8掉矿9敌人爆炸a双倍秒伤
7	22131 13446	   	357.15	橙2易伤1双倍秒伤1等级1时间	1赏金塔24易伤3等级5立即金币6时间7掉矿8赏金邻近9核a双倍秒伤
8	56231 47411	   	357.05	橙2易伤1双倍秒伤1等级1时间	1时间2加一34易伤5机枪对头目6雷电减费7核8赏金塔9等级a双倍秒伤
9	31135 22613	 * 	356.67	紫橙1双倍秒伤1易伤2时间1等级	1爆破对冰24时间3策反56核7易伤8双倍物品9等级a双倍秒伤
10	56234 47131	 * 	355.57	2双倍秒伤3易伤1时间	1时间2加一346易伤5立即金币7随机技能8a双倍秒伤9掉矿
11	56237 34241	   	355.57	2双倍秒伤3易伤1时间	1时间2加一345易伤6挖尘7额外掉落8随机技能9a双倍秒伤
12	56238 14241	   	355.57	2双倍秒伤3易伤1时间	1时间2加一346易伤5挖尘7额外掉落8随机技能9a双倍秒伤
13	56222 22422	 * 	355.24	橙2易伤1双倍秒伤3时间	189时间2加一38易伤4最后敌人5金币生成68低血量敌人7核8序列升级a双倍秒伤
14	56224 22422	   	355.14	橙2易伤1双倍秒伤3时间	189时间2加一38易伤4最后敌人5技能点68低血量敌人7核8序列升级a双倍秒伤
15	56235 32122	   	354.94	橙2易伤1双倍秒伤3时间	159时间2加一34易伤6挖尘7核8敌人爆炸a双倍秒伤
16	31222 23426	 * 	351.63	2双倍秒伤2易伤1暴击2时间	1爆破对冰26时间3暴击4基础对甲56易伤6序列升级7金币生成8a双倍秒伤9赏金邻近
17	31222 23451	   	351.63	2双倍秒伤2易伤1暴击2时间	1爆破对冰26时间3暴击4基础对甲56易伤6序列升级7金币生成89双倍秒伤a雷电
18	31222 23452	   	351.63	2双倍秒伤2易伤1暴击2时间	1爆破对冰26时间3暴击4基础对甲56易伤6序列升级7金币生成89双倍秒伤a挖青
19	31222 23453	   	351.63	2双倍秒伤2易伤1暴击2时间	1爆破对冰26时间3暴击4基础对甲56易伤6序列升级7金币生成89双倍秒伤a挖尘
