0	Index      	 *	Score 	Summary	Detail	
1	13416 53222	 * 	228.12	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|23aVULN|3BPWR|4ASPD|5DMG|6CDMG|7RMIN|8RCR|9ZMB
2	13424 36232	 * 	227.64	DCR|3VULN|2DMG|1MDPS|1AART|1CDMG|1ZMB	1AART|236VULN|36BPWR|4MDPS|56DMG|7RCR|8BEXP|9CDMG|aZMB
3	13416 53213	   	226.09	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|239VULN|3BPWR|4ASPD|5DMG|6CDMG|7RMIN|8RCR|aDUR
4	11611 43532	 * 	225.45	DCR|2AART|2DMG|2ASPD|1VULN|1CDMG	15AART|2CGEN|36DMG|48ASPD|7VULN|9RCR|aCDMG
5	14611 62213	 * 	221.86	DCR|2VULN|2AART|2DMG|1CDMG|1DUR	15AART|2LHND|37DMG|4CDMG|69VULN|8RCR|aDUR
6	13424 36321	 * 	221.12	DCR|3VULN|1MDPS|2DMG|1AART|1ASPD	1AART|236VULN|36BPWR|4MDPS|56DMG|7RCR|8SPLJET|9ASPD|aAME
7	13424 36323	   	221.12	DCR|3VULN|2DMG|1MDPS|1AART|1ASPD	1AART|236VULN|36BPWR|4MDPS|56DMG|7RCR|8SPLJET|9ASPD|aFEWX
8	13424 36322	   	221.02	DCR|3VULN|2DMG|1MDPS|1AART|1ASPD	1AART|236VULN|36BPWR|4MDPS|56DMG|7RCR|8SPLJET|9ASPD|aMBVNT
9	13416 53211	   	217.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1AART|239VULN|3BPWR|4ASPD|5DMG|6CDMG|7RMIN|8RCR|aSNIFST
10	13416 53212	   	217.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG|1MSE	1AART|239VULN|3BPWR|4ASPD|5DMG|6CDMG|7RMIN|8RCR|aMSE
11	14231 36223	 * 	217.51	DCR|3VULN|2AART|1ASPD|1DMG	1aAART|2LHND|356VULN|4DMG|7ERES|8RCR|9ASPD
12	11611 43533	   	217.51	DCR|2AART|2DMG|2ASPD|1VULN|1DUR	15AART|2CGEN|36DMG|48ASPD|7VULN|9RCR|aDUR
13	12213 52213	 * 	217.39	DCR|4VULN|1AART|1CDMG|2DUR|1ZMB	1AART|2aDUR|3459VULN|6CDMG|7ZMB|8RCR
14	13424 36233	   	217.31	DCR|3VULN|2DMG|1MDPS|1AART|1CDMG	1AART|236VULN|36BPWR|4MDPS|56DMG|7RCR|8BEXP|9CDMG|aLWND
15	13424 36231	   	217.21	DCR|3VULN|2DMG|1MDPS|1AART|1CDMG	1AART|236VULN|36BPWR|4MDPS|56DMG|7RCR|8BEXP|9CDMG|aDUST
16	13424 36213	 * 	217.13	DCR|3VULN|2AART|2DMG|1MDPS	1aAART|236VULN|36BPWR|4MDPS|56DMG|7RCR|89BEXP
17	13424 36312	   	217.13	DCR|3VULN|2AART|2DMG|1MDPS	19AART|236VULN|36BPWR|4MDPS|56DMG|7RCR|8SPLJET|aCGEN
18	13424 36313	   	217.13	DCR|3VULN|2AART|2DMG|1MDPS	19AART|236VULN|36BPWR|4MDPS|56DMG|7RCR|8SPLJET|aBEXP
19	13424 36122	   	217.03	DCR|3VULN|2AART|2DMG|1MDPS	19AART|236VULN|36BPWR|4MDPS|56DMG|7RCR|8ERES|aBEXP
20	13424 36123	   	217.03	DCR|3VULN|2AART|1MDPS|2DMG	19AART|236VULN|36BPWR|4MDPS|56DMG|7RCR|8ERES|aDMSP
21	13424 36311	   	217.03	DCR|3VULN|2AART|1MDPS|2DMG	19AART|236VULN|36BPWR|4MDPS|56DMG|7RCR|8SPLJET|aERES
22	13424 36121	   	216.93	DCR|3VULN|2AART|2DMG|1MDPS|1MSE	19AART|236VULN|36BPWR|4MDPS|56DMG|7RCR|8ERES|aMSE
23	13415 52213	   	216.26	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|239VULN|3BPWR|4ASPD|5TLV|6CDMG|7ZMB|8RCR|aDUR
24	11611 62215	 * 	215.93	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	15AART|2CGEN|3DMG|4ASPD|6CDMG|7LEGI|8RCR|9aVULN
25	13415 52211	   	214.89	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1AART|239VULN|3BPWR|4ASPD|5TLV|6CDMG|7ZMB|8RCR|aSPLREG
26	13516 53222	   	213.60	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2aVULN|3RCVC|4ASPD|5DMG|6CDMG|7RMIN|8RCR|9ZMB
27	14611 62211	   	213.55	DCR|2VULN|2AART|2DMG|1CDMG	15AART|2LHND|37DMG|4CDMG|69VULN|8RCR|aSNIFST
28	14611 32215	   	213.45	DCR|2VULN|2AART|2DMG|1CDMG	15AART|2LHND|37DMG|4CDMG|6DUST|8RCR|9aVULN
29	14611 62212	   	213.45	DCR|2VULN|2AART|2DMG|1CDMG|1MSE	15AART|2LHND|37DMG|4CDMG|69VULN|8RCR|aMSE
30	13524 36232	   	213.12	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1ZMB	1AART|26VULN|3RCVC|4MDPS|56DMG|6BPWR|7RCR|8BEXP|9CDMG|aZMB
31	12213 52214	   	212.47	DCR|4VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2DUR|3459VULN|6CDMG|7ZMB|8RCR|aRCVC
32	12213 52242	 * 	212.37	DCR|3VULN|2AART|1CDMG|1ZMB|1DUR	1aAART|2DUR|345VULN|6CDMG|7ZMB|8RCR|9LWND
33	12213 52252	   	212.37	DCR|3VULN|2AART|1CDMG|1ZMB|1DUR	1aAART|2DUR|345VULN|6CDMG|7ZMB|8RCR|9LHND
34	13443 52213	   	212.37	DCR|3VULN|2AART|1CDMG|1ZMB|1DUR	14AART|239VULN|3BPWR|5LWND|6CDMG|7ZMB|8RCR|aDUR
35	14213 52232	   	212.37	DCR|3VULN|2AART|1CDMG|1ZMB|1DUR	1aAART|2LHND|345VULN|6CDMG|7ZMB|8RCR|9DUR
36	15213 53235	   	212.27	DCR|3VULN|2AART|1CDMG|1ZMB|1DUR	1aAART|2DUST|345VULN|6CDMG|7ZMB|8RCR|9DUR
37	12213 52211	   	212.15	DCR|4VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2DUR|3459VULN|6CDMG|7ZMB|8RCR|aSNIFST
38	12213 52215	   	212.15	DCR|4VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2DUR|3459VULN|6CDMG|7ZMB|8RCR|aLIT
39	14213 52213	   	212.15	DCR|4VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2LHND|3459VULN|6CDMG|7ZMB|8RCR|aDUR
40	12213 52212	   	212.05	DCR|4VULN|1AART|1CDMG|1ZMB|1DUR|1MSE	1AART|2DUR|3459VULN|6CDMG|7ZMB|8RCR|aMSE
41	12213 52216	   	212.05	DCR|4VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2DUR|3459VULN|6CDMG|7ZMB|8RCR|aDUST
42	15213 53213	   	212.05	DCR|4VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2DUST|3459VULN|6CDMG|7ZMB|8RCR|aDUR
43	21262 41215	   	211.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1MLV|23DMG|4BEXP|5CDMG|6RCR|7ZMB|8AART|9aVULN
44	21221 64215	   	211.81	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB|1DUR	1MLV|23DMG|4aAART|5ZMB|6CDMG|7DUR|8RCR|9VULN
45	21225 52215	   	211.81	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB|1DUR	1MLV|23DMG|4aAART|5CDMG|6DUR|7ZMB|8RCR|9VULN
46	12213 46521	   	211.74	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1AART|2DUR|345VULN|6MDPS|7RCR|8ASPD|9DMG|aCGEN
47	12213 46522	   	211.74	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1AART|2DUR|345VULN|6MDPS|7RCR|8ASPD|9DMG|aLWND
48	21232 41215	   	211.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1MLV|23DMG|4DUST|5CDMG|6RCR|7ZMB|8AART|9aVULN
49	31262 41215	   	211.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ERES|23DMG|4BEXP|5CDMG|6RCR|7ZMB|8AART|9aVULN
50	41232 41215	   	211.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AME|23DMG|4DUST|5CDMG|6RCR|7ZMB|8AART|9aVULN
51	12213 46523	   	211.64	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1AART|2DUR|345VULN|6MDPS|7RCR|8ASPD|9DMG|aERES
52	31232 41215	   	211.61	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ERES|23DMG|4DUST|5CDMG|6RCR|7ZMB|8AART|9aVULN
53	13516 53213	   	211.57	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|29VULN|3RCVC|4ASPD|5DMG|6CDMG|7RMIN|8RCR|aDUR
54	14213 32516	 * 	211.22	DCR|3VULN|2AART|1NUKE|1AAC|1ZMB	16AART|2LHND|345VULN|7ZMB|8RCR|9AAC|aNUKE
55	12611 62213	   	211.03	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1AART|2aDUR|37DMG|4CDMG|5DMSP|69VULN|8RCR
56	12615 62213	   	211.03	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1AART|2aDUR|37DMG|4CDMG|5AELBLL|69VULN|8RCR
57	13216 53222	   	210.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2aVULN|3AELBLL|4ASPD|5DMG|6CDMG|7RMIN|8RCR|9ZMB
58	13416 53221	   	210.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|23VULN|3BPWR|4ASPD|5DMG|6CDMG|7aRMIN|8RCR|9ZMB
59	13416 53223	   	210.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|23VULN|3BPWR|4ASPD|5DMG|6CDMG|7RMIN|8RCR|9ZMB|aBEXP
60	12211 13126	   	209.98	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1aAART|2DUR|34VULN|5TSLFST|6FEWX|7RCR|8DMG|9ASPD
61	11611 53532	   	209.90	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG	15AART|2CGEN|3DMG|48ASPD|6RCVC|7VULN|9RCR|aCDMG
62	13423 16522	 * 	209.78	DCR|3VULN|2AART|1MDPS|1ASPD|1ZMB	15AART|236VULN|3BPWR|4MDPS|7RCR|8AELBLL|9ASPD|aZMB
63	12211 53125	   	209.26	DCR|3VULN|2DMG|1AART|1DUR	1AART|2DUR|34aVULN|5TSLFST|6LWND|7RCR|89DMG
64	11611 43531	   	209.20	DCR|2AART|2DMG|2ASPD|1VULN	15AART|2CGEN|36DMG|48ASPD|7VULN|9RCR|aRMIN
65	11611 64213	   	209.20	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|2DUR	15AART|2CGEN|3DMG|4ASPD|6CDMG|7aDUR|8RCR|9VULN
66	13216 53213	   	208.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|29VULN|3AELBLL|4ASPD|5DMG|6CDMG|7RMIN|8RCR|aDUR
67	13416 53231	   	208.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|23VULN|3BPWR|4ASPD|5DMG|6CDMG|7RMIN|8RCR|9DUR|aLHND
68	13416 53232	   	208.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|23VULN|3BPWR|4ASPD|5DMG|6CDMG|7RMIN|8RCR|9DUR|aCGEN
69	13416 53233	   	208.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|23VULN|3BPWR|4ASPD|5DMG|6CDMG|7RMIN|8RCR|9DUR|aFEWX
70	14231 36222	   	208.21	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	1AART|2LHND|356VULN|4DMG|7ERES|8RCR|9ASPD|aAAC
71	13423 56232	 * 	208.20	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG|1ZMB	15AART|23VULN|3BPWR|4MDPS|6DMG|7RCR|8BEXP|9CDMG|aZMB
72	13416 34313	   	208.11	DCR|2VULN|2AART|1ASPD|1DMG|1ZMB	1aAART|23VULN|3BPWR|4ASPD|5DMG|6DMSP|7LWND|8ZMB|9RCR
73	13416 35313	   	208.11	DCR|2VULN|2AART|1ASPD|1DMG|1ZMB	1aAART|23VULN|3BPWR|4ASPD|5DMG|6DMSP|7LHND|8ZMB|9RCR
74	13413 15313	   	208.01	DCR|2VULN|2AART|1ASPD|1DMG|1ZMB	1aAART|23VULN|3BPWR|4ASPD|5ERES|6CGEN|7DMG|8ZMB|9RCR
