0	Index      	 *	Score 	Summary	Detail	
1	53232 51221	 * 	227.92	DCR|2VULN|2DMG|1MDPS|2ASPD|1AART|1DUR	1aDMG|2BEXP|3aASPD|4MDPS|5AART|6RCR|7DUR|8LWND|9aVULN|aBPWR
2	33511 35326	 * 	224.09	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	19AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RMIN|aCDMG
3	65153 22312	 * 	223.18	DCR|2VULN|2DMG|1MDPS|2ASPD|1CDMG	1RCVC|2aVULN|3RMIN|4aDMG|5MDPS|6RCR|7CGEN|8CDMG|9aASPD|aBPWR
4	33511 35125	 * 	222.69	DCR|3VULN|2AART|1ASPD|1DMG	19AART|2DMG|37aVULN|4BASARM|5ASPD|6RCR|8RCVC
5	33511 35215	   	219.93	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	19AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8LIT|aCDMG
6	53232 52221	   	219.61	DCR|2VULN|2DMG|1MDPS|2ASPD|1AART	1aDMG|2BEXP|3aASPD|4MDPS|5AART|6RCR|7FEWX|8LWND|9aVULN|aBPWR
7	53232 53241	   	219.51	DCR|2VULN|2DMG|1MDPS|2ASPD|1AART	1aDMG|2BEXP|3aASPD|4MDPS|5AART|6RCR|7DUST|8LWND|9aVULN|aBPWR
8	25153 22312	   	219.02	DCR|2VULN|2DMG|1MDPS|2ASPD|1CDMG	1DMSP|2aVULN|3RMIN|4aDMG|5MDPS|6RCR|7CGEN|8CDMG|9aASPD|aBPWR
9	25153 24312	   	218.92	DCR|2VULN|1MDPS|2DMG|2ASPD|1CDMG	1DMSP|2aVULN|3RMIN|4aDMG|5MDPS|6RCR|7TLV|8CDMG|9aASPD|aBPWR
10	14151 33333	   	218.89	DCR|2VULN|1MDPS|2DMG|2ASPD|1ZMB	1CGEN|23VULN|45DMG|6ZMB|78ASPD|9RCR|aMDPS
11	14151 33334	 * 	217.90	DCR|3VULN|2DMG|2ASPD|1ZMB	1CGEN|23aVULN|45DMG|6ZMB|78ASPD|9RCR
12	35536 31333	 * 	217.57	DCR|4VULN|1AART|1ASPD|1CDMG	1AART|2MLV|3478VULN|5CDMG|6RCR|9LIT|aASPD
13	33511 32315	 * 	217.13	DCR|2AART|2DMG|1VULN|1ASPD|1CDMG	19AART|28DMG|3VULN|4BASARM|5ASPD|6RCR|7LIT|aCDMG
14	33511 35633	   	215.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2DMG|37aVULN|4BASARM|5ASPD|6RCR|8FEWX|9ZMB
15	33511 35533	   	215.67	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2DMG|37aVULN|4BASARM|5ASPD|6RCR|8DUST|9ZMB
16	14341 61213	 * 	215.39	DCR|4VULN|2AART|1DMG	1CGEN|2459VULN|3LIT|6DMG|7RCR|8aAART
17	33511 35123	   	215.19	DCR|2VULN|2AART|1ASPD|1DMG|1ZMB	19AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RCVC|aZMB
18	54211 11224	 * 	214.17	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1DMG|29VULN|37ASPD|4FEWX|5LIT|6CDMG|8RCR|aAART
19	14341 61212	 * 	213.58	DCR|5VULN|1AART|1DMG	1CGEN|2459aVULN|3LIT|6DMG|7RCR|8AART
20	33534 12114	 * 	213.31	DCR|3VULN|2DMG|1AART|1CDMG	1AART|26DMG|34aVULN|5BEXP|7MLV|8CDMG|9RCR
21	33532 12114	   	213.21	DCR|3VULN|2DMG|1AART|1CDMG	1AART|26DMG|34aVULN|5LEGI|7MLV|8CDMG|9RCR
22	33535 12114	   	213.21	DCR|3VULN|2DMG|1AART|1CDMG	1AART|26DMG|34aVULN|5DUST|7MLV|8CDMG|9RCR
23	54352 32113	   	212.99	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|247VULN|3FEWX|5RMIN|6AART|8CDMG|9RCR|aZMB
24	33536 31433	   	212.22	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|347VULN|5CDMG|6LHND|8RCR|9RMIN|aZMB
25	54352 32112	 * 	212.02	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG	1DMG|247VULN|3FEWX|5RMIN|6AART|8CDMG|9RCR|aMDPS
26	33536 31114	 * 	211.47	DCR|4VULN|1AART|1DMG|1CDMG	1AART|2DMG|347aVULN|5CDMG|6LHND|8TLV|9RCR
27	33536 31432	   	211.25	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG	1AART|2DMG|347VULN|5CDMG|6LHND|8RCR|9RMIN|aMDPS
28	54352 31113	   	211.24	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1DMG|24VULN|3FEWX|5RMIN|67AART|8CDMG|9RCR|aZMB
29	54352 31112	 * 	210.26	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG	1DMG|24VULN|3FEWX|5RMIN|67AART|8CDMG|9RCR|aMDPS
30	33535 16113	   	209.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|26DMG|34VULN|5DUST|7RMIN|8CDMG|9RCR|aZMB
31	33511 35313	   	209.60	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2DMG|37aVULN|4BASARM|5ASPD|6RCR|8RMIN|9LHND
32	33511 35353	   	209.60	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2DMG|37aVULN|4BASARM|5ASPD|6RCR|8RMIN|9FEWX
33	62263 51221	 * 	209.03	ACR|3DMG|2VULN|2ASPD|2CDMG|1AAC	1RCVC|29ASPD|34VULN|5RCR|6AAC|79aDMG|89CDMG|9BPWR
34	33511 32111	 * 	208.94	DCR|3AART|2VULN|1ASPD|1DMG	189AART|2DMG|3aVULN|4BASARM|5ASPD|6RCR|7LIT
