0	Index      	 *	Score 	Summary	Detail	
1	36235 41321	 * 	208.20	DCR|3DMG|1VULN|1AART|1CDMG|2ZMB|1AAC	1AAC|23ZMB|46aDMG|5AART|7RCR|8CDMG|9VULN
2	43241 14733	 * 	205.34	DCR|3VULN|2ASPD|1AART|2DUR	19LHND|28DUR|379VULN|49ASPD|5MBVNT|6AART|9BPWR|aRCR
3	16223 51523	 * 	203.93	DCR|2VULN|2DMG|1MDPS|1AART|3DUR	1aCGEN|2AART|3MDPS|457DUR|6RCR|8aVULN|9aDMG|aBPWR
4	16223 56133	   	203.93	DCR|2VULN|2DMG|1MDPS|1AART|3DUR	1aCGEN|2AART|3MDPS|459DUR|6RCR|7aVULN|8aDMG|aBPWR
5	36235 41323	   	200.85	DCR|2DMG|1VULN|1AART|1CDMG|2ZMB|1AAC|1DUR	1AAC|23ZMB|46DMG|5AART|7RCR|8CDMG|9VULN|aDUR
6	36241 33316	 * 	200.23	DCR|3ASPD|2VULN|1AART|2ZMB|1AAC	1AAC|23ZMB|4AART|579ASPD|68VULN|aRCR
7	42132 23541	 * 	198.20	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2DUST|3ZMB|46aVULN|5DUR|7RCR|8AART|9CDMG
8	42212 23541	   	198.20	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2DUST|36aVULN|4ZMB|5DUR|7RCR|8AART|9CDMG
9	21635 33321	 * 	196.78	DCR|2AART|2DMG|1VULN|1ASPD	1ERES|2TLV|3RCVC|47DMG|59AART|6VULN|8RCR|aASPD
10	42133 23531	 * 	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1LHND|2DUST|3ZMB|46VULN|5BEXP|7RCR|8AART|9DMG|aASPD
11	42213 23531	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1LHND|2DUST|36VULN|4ZMB|5BEXP|7RCR|8AART|9DMG|aASPD
12	36233 32614	 * 	195.70	DCR|2VULN|2DMG|1MDPS|3ZMB|1CDMG|1AAC	1AAC|239ZMB|49DMG|5CDMG|6LWND|79VULN|8MDPS|9BPWR|aRCR
13	36235 33351	   	195.05	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|2ZMB	1AAC|23ZMB|4DMG|5AART|68VULN|7ASPD|9RCR|aTLV
14	36235 33352	   	195.05	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB|1AAC|1MSE	1AAC|23ZMB|4DMG|5AART|68VULN|7ASPD|9RCR|aMSE
15	36235 33353	   	195.05	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|2ZMB	1AAC|23ZMB|4DMG|5AART|68VULN|7ASPD|9RCR|aDUST
16	16121 31366	 * 	194.03	DCR|2VULN|2AART|2ASPD	13aCGEN|27AART|3aBPWR|4TLV|5aASPD|6aVULN|8RCR|9RCVC
17	16121 34326	   	194.03	DCR|2VULN|2AART|2ASPD	137aCGEN|29AART|3aBPWR|4TLV|5aASPD|6aVULN|8RCR
18	16121 35326	   	194.03	DCR|2VULN|2AART|2ASPD	13aCGEN|29AART|3aBPWR|4TLV|5aASPD|6aVULN|7DMSP|8RCR
19	42133 23534	   	193.46	DCR|2VULN|2DMG|1AART|1ZMB	1LHND|2DUST|3ZMB|46VULN|5BEXP|7RCR|8AART|9aDMG
20	42213 23534	   	193.46	DCR|2VULN|2DMG|1AART|1ZMB	1LHND|2DUST|36VULN|4ZMB|5BEXP|7RCR|8AART|9aDMG
21	32245 62121	 * 	193.46	DCR|2AART|2ASPD|1VULN|1CDMG|1AAC|1SELL	1AAC|2CDMG|3RCVC|4SELL|59AART|6RCR|7VULN|8aASPD
22	56332 32421	 * 	193.07	ACR|2VULN|2AART|2DMG|1ASPD	1MLV|29AART|35VULN|4RCR|6CGEN|78DMG|aASPD
23	56331 32421	   	193.07	ACR|2VULN|2AART|2DMG|1ASPD	1MLV|29AART|36VULN|4RCR|5CGEN|78DMG|aASPD
24	36243 62122	 * 	193.03	DCR|2AART|1VULN|1ASPD|1CDMG|2ZMB|1AAC	1AAC|23ZMB|49AART|5DMSP|6RCR|7VULN|8ASPD|aCDMG
25	56333 32421	   	192.97	ACR|2VULN|2AART|2DMG|1ASPD	1MLV|29AART|36VULN|4RCR|5TLV|78DMG|aASPD
26	36235 41322	   	192.44	DCR|2DMG|1AART|1VULN|1CDMG|1AAC|2ZMB	1AAC|23ZMB|46DMG|5AART|7RCR|8CDMG|9VULN|aERES
27	21635 33325	 * 	192.37	DCR|3DMG|2AART|1VULN	1ERES|2TLV|3RCVC|47aDMG|59AART|6VULN|8RCR
28	42133 23532	 * 	192.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2DUST|3ZMB|46VULN|5BEXP|7RCR|8AART|9DMG|aCDMG
29	42213 23532	   	192.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2DUST|36VULN|4ZMB|5BEXP|7RCR|8AART|9DMG|aCDMG
30	42241 17333	   	191.59	DCR|3VULN|2ASPD|1AART	19LHND|28DUST|379VULN|49ASPD|5MBVNT|6AART|9BPWR|aRCR
31	36243 62121	   	191.00	DCR|2AART|2ASPD|1VULN|2ZMB|1AAC	1AAC|23ZMB|49AART|5DMSP|6RCR|7VULN|8aASPD
32	32321 45332	 * 	190.80	DCR|2ASPD|1AART|1VULN|2CDMG|2DUR|1AAC	1AAC|27CDMG|37DUR|4FEWX|5LIT|67ASPD|7BPWR|8VULN|9AART|aRCR
33	32341 45332	   	190.80	DCR|2ASPD|1AART|1VULN|2CDMG|2DUR|1AAC	1AAC|27CDMG|37DUR|4BEXP|5LIT|67ASPD|7BPWR|8VULN|9AART|aRCR
34	32436 22214	 * 	190.74	DCR|4VULN|3CDMG|1AAC|1ZMB	1AAC|268CDMG|3MLV|48AME|5678VULN|68BPWR|9ZMB|aRCR
35	32141 23256	 * 	190.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3RPLT|4aVULN|5ZMB|6RCR|7DMG|8ASPD|9LIT
36	32141 23251	 * 	190.09	DCR|1VULN|1ASPD|1DMG|1NUKE|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3RPLT|4VULN|5ZMB|6RCR|7DMG|8ASPD|9LIT|aNUKE
37	42133 23541	   	189.89	DCR|3VULN|1AART|1CDMG|1ZMB	1LHND|2DUST|3ZMB|46aVULN|5BEXP|7RCR|8AART|9CDMG
38	42213 23541	   	189.89	DCR|3VULN|1AART|1CDMG|1ZMB	1LHND|2DUST|36aVULN|4ZMB|5BEXP|7RCR|8AART|9CDMG
39	42241 14833	   	189.83	DCR|2VULN|2AART|2ASPD	19LHND|27DUST|39VULN|49ASPD|5MBVNT|68AART|9BPWR|aRCR
40	32245 62321	   	189.57	DCR|2AART|1VULN|1ASPD|1CDMG|1AAC|1ZMB|1SELL	1AAC|2CDMG|3RCVC|4SELL|59AART|6RCR|7VULN|8ZMB|aASPD
41	65313 36221	 * 	189.53	DCR|2VULN|2DMG|2ASPD	1RCVC|2aVULN|346DUST|5LEGI|7aASPD|8aDMG|9RCR|aBPWR
42	56332 51323	 * 	189.50	ACR|3VULN|2AART|1ASPD|1CDMG	1MLV|27AART|359VULN|4RCR|6CDMG|8DMSP|aASPD
43	36235 33151	 * 	188.89	DCR|2ASPD|1VULN|1AART|1DMG|1AAC|2ZMB	1AAC|23ZMB|4DMG|5AART|6VULN|78ASPD|9RCR|aTLV
44	36235 33152	   	188.89	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB|1AAC|1MSE	1AAC|23ZMB|4DMG|5AART|6VULN|78ASPD|9RCR|aMSE
45	36235 33153	   	188.89	DCR|2ASPD|1VULN|1AART|1DMG|1AAC|2ZMB	1AAC|23ZMB|4DMG|5AART|6VULN|78ASPD|9RCR|aDUST
46	32142 21255	 * 	187.70	DCR|2VULN|2CDMG|1ASPD|1DMG|1AAC	1AAC|28CDMG|3RPLT|48VULN|5RCVC|6RCR|78AME|8BPWR|9ASPD|aDMG
47	32141 23255	 * 	187.61	DCR|2DMG|1VULN|1ASPD|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3RPLT|4VULN|5ZMB|6RCR|7aDMG|8ASPD|9LIT
48	32141 26215	   	187.61	DCR|2VULN|1AART|1CDMG|2DUR|1AAC|1ZMB	1AAC|2CDMG|3RPLT|48VULN|5ZMB|6RCR|79DUR|aAART
49	16211 56331	 * 	187.60	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	15CGEN|2AART|3MDPS|4LHND|6RCR|78VULN|9DMG|aASPD
50	36241 53132	 * 	187.46	DCR|2ASPD|1AART|1DMG|1CDMG|2ZMB|1AAC	1AAC|23ZMB|4AART|58ASPD|6RCR|7RMIN|9DMG|aCDMG
51	32336 33511	   	187.11	DCR|3VULN|1AART|1CDMG|2DUR|1AAC	1AAC|2CDMG|35DUR|457VULN|5BPWR|6LIT|8AART|9DUST|aRCR
52	32245 62122	 * 	186.67	DCR|2AART|1VULN|2CDMG|1ASPD|1AAC|1SELL	1AAC|2aCDMG|3RCVC|4SELL|59AART|6RCR|7VULN|8ASPD
53	36241 42311	 * 	186.44	4VULN|2DMG|3ZMB|1AART|1ASPD|1AAC	1AAC|23aZMB|4AART|5ASPD|6aDMG|789aVULN|aBPWR
54	32141 23356	   	186.28	DCR|2VULN|2CDMG|1DMG|1AAC|1ZMB|1DUR	1AAC|29CDMG|3RPLT|49VULN|5ZMB|6RCR|7DMG|89FEWX|9BPWR|aDUR
55	16225 21133	 * 	185.75	DCR|1MDPS|2ASPD|1AART|1VULN|1DMG|1DUR	1CGEN|2AART|3MDPS|4DUR|5VULN|6LIT|79ASPD|8RCR|aDMG
56	16241 41133	   	185.75	DCR|1MDPS|2ASPD|1AART|1VULN|1DMG|1DUR	1CGEN|2AART|3MDPS|4LIT|5VULN|6DUR|79ASPD|8RCR|aDMG
57	56225 21133	   	185.75	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1DUR	1MLV|2AART|3MDPS|4DUR|5VULN|6LIT|79ASPD|8RCR|aDMG
58	43212 33541	   	185.71	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1LHND|25DUR|3aVULN|4ZMB|6FEWX|7RCR|8AART|9CDMG
59	42132 23542	   	185.61	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1LHND|2DUST|3ZMB|46VULN|5aDUR|7RCR|8AART|9CDMG
60	42212 23542	   	185.61	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1LHND|2DUST|36VULN|4ZMB|5aDUR|7RCR|8AART|9CDMG
