0	Index      	 *	Score 	Summary	Detail	
1	21125 44337	 * 	275.24	橙2易伤2矿等1等级1伤害1技能	18毒液对冰2技能3多重对愈48矿等5加一68易伤7核8序列升级9伤害a等级
2	12612 63234	 * 	271.44	橙4易伤3矿等	1赏金塔278低血量敌人378矿等4赏金邻近5立即金币6789易伤78序列升级a核
3	21125 44315	   	271.43	橙2易伤2矿等1等级1技能1攻速	18毒液对冰2技能3多重对愈48矿等5加一68易伤7核8序列升级9等级a攻速
4	12533 16163	 * 	268.10	橙橙2易伤1伤害	1赏金塔2低血量敌人3伤害4时间5散射对甲6双倍秒伤78核9a易伤
5	31512 33522	 * 	266.10	橙橙2矿等2随机技能	1最后敌人2金币生成34矿等58随机技能6全技能7时间9a核
6	31512 33422	   	266.03	橙橙2矿等2时间	1最后敌人2金币生成34矿等5随机技能6全技能78时间9a核
7	11433 21346	 * 	262.48	紫橙3易伤2伤害	1赏金塔28伤害3a核4雷电589易伤6加一78挖尘8序列升级
8	61433 21346	   	262.48	紫橙3易伤2伤害	1赏金邻近28伤害3a核4雷电589易伤6加一78挖尘8序列升级
9	21125 44314	   	262.12	橙2易伤2矿等1等级1技能	18毒液对冰2技能3多重对愈48矿等5加一68易伤7核8序列升级9等级a随机技能
10	11323 16164	   	259.80	橙橙2易伤1伤害	1赏金塔2伤害3最后敌人4低血量敌人5散射对甲6双倍秒伤78核9a易伤
11	11223 16163	   	259.70	橙橙2易伤1伤害	1赏金塔2伤害3挖尘4低血量敌人5散射对甲6双倍秒伤78核9a易伤
12	61223 16163	   	259.70	橙橙2易伤1伤害	1赏金邻近2伤害3挖尘4低血量敌人5散射对甲6双倍秒伤78核9a易伤
13	31512 33122	   	259.48	橙橙2矿等	18最后敌人2金币生成34矿等5随机技能6全技能7时间9a核
14	21125 44335	   	259.40	橙2易伤2矿等1伤害1技能1攻速	18毒液对冰2技能3多重对愈48矿等5加一68易伤7核8序列升级9伤害a攻速
15	21126 12124	 * 	259.01	橙橙1易伤1矿等1技能	1毒液对冰2技能3多重对愈4矿等5金币生成6a核7易伤8最后敌人9雷电
16	12533 16136	   	258.79	橙橙1易伤1伤害1技能	1赏金塔2低血量敌人3伤害4时间5散射对甲6双倍秒伤78核9技能a易伤
17	24321 13253	 * 	255.29	橙橙1矿等1伤害1技能	1毒液对冰2时间3额外掉落4雷电5伤害6技能7矿等8雷电减费9a核
18	21125 44311	   	255.18	橙2易伤2矿等1等级1技能	18毒液对冰2技能3多重对愈48矿等5加一68易伤7核8序列升级9等级a平台
19	21125 44312	   	255.18	橙2易伤2矿等1等级1技能	18毒液对冰2技能3多重对愈48矿等5加一68易伤7核8序列升级9等级a技能点
20	21125 44317	   	255.18	橙2易伤2矿等1等级1技能	18毒液对冰2技能3多重对愈48矿等5加一68易伤7核8序列升级9等级a雷电
21	21125 44377	   	255.18	橙2易伤2矿等1等级1技能	18毒液对冰2技能3多重对愈48矿等5加一68易伤7核8序列升级9策反a等级
22	21125 44313	   	255.08	橙2易伤2矿等1等级1技能	18毒液对冰2技能3多重对愈48矿等5加一68易伤7核8序列升级9等级a挖尘
23	21125 44316	   	255.08	橙2易伤2矿等1等级1技能	18毒液对冰2技能3多重对愈48矿等5加一68易伤7核8序列升级9等级a挖青
24	21125 44318	   	255.08	橙2易伤2矿等1等级1技能	18毒液对冰2技能3多重对愈48矿等5加一68易伤7核8序列升级9等级a基地爆炸
25	21226 23144	   	252.38	橙橙1易伤1技能2随机技能	1毒液对冰2技能3时间4易伤58随机技能6赏金邻近7a核9金币生成
26	21226 23244	   	252.22	橙橙1易伤1技能2时间	1毒液对冰2技能39时间4易伤5随机技能6赏金邻近7a核8掉矿
27	41334 12623	 * 	251.71	橙2矿等2等级1伤害1技能1暴击	1a暴雪减费2伤害3额外掉落4技能5a矿等6随机技能7暴击8a等级9核a序列升级
28	51334 12623	   	251.71	橙2矿等2等级1伤害1技能1暴击	1a毒气减费2伤害3额外掉落4技能5a矿等6随机技能7暴击8a等级9核a序列升级
29	31512 35122	   	251.18	橙橙2矿等	18最后敌人2金币生成34矿等5随机技能6全技能7敌人爆炸9a核
30	14231 15221	 * 	250.58	橙橙1等级1伤害1技能	1赏金塔2立即金币34策反4序列升级5伤害6等级7a核8技能9雷电
31	64231 15221	   	250.58	橙橙1等级1伤害1技能	1赏金邻近2立即金币34策反4序列升级5伤害6等级7a核8技能9雷电
32	14211 15221	   	250.48	橙橙1等级1伤害1技能	1赏金塔2立即金币3策反4毒气减费5伤害6等级7a核8技能9雷电
33	64211 15221	   	250.48	橙橙1等级1伤害1技能	1赏金邻近2立即金币3策反4毒气减费5伤害6等级7a核8技能9雷电
34	11223 16136	   	250.38	橙橙1易伤1伤害1技能	1赏金塔2伤害3挖尘4低血量敌人5散射对甲6双倍秒伤78核9技能a易伤
35	61223 16136	   	250.38	橙橙1易伤1伤害1技能	1赏金邻近2伤害3挖尘4低血量敌人5散射对甲6双倍秒伤78核9技能a易伤
36	21125 44334	   	250.09	橙2易伤2矿等1伤害1技能	18毒液对冰2技能3多重对愈48矿等5加一68易伤7核8序列升级9伤害a随机技能
37	11323 16165	   	249.84	橙橙1易伤1伤害1攻速	1赏金塔2伤害3最后敌人4低血量敌人5散射对甲6双倍秒伤78核9易伤a攻速
38	11223 16165	   	249.74	橙橙1易伤1伤害1攻速	1赏金塔2伤害3挖尘4低血量敌人5散射对甲6双倍秒伤78核9易伤a攻速
39	21125 44237	   	249.23	橙2易伤1等级1矿等1伤害1技能	1毒液对冰2技能3多重对愈4矿等5加一68易伤7核9伤害a等级
40	13515 21324	   	248.86	橙橙1易伤1矿等	1赏金塔23掉矿4毒气减费5随机技能6矿等79核8赏金邻近a易伤
41	11433 22326	   	248.85	紫橙2易伤2伤害	1赏金塔28伤害3a核4雷电58易伤6加一78最后敌人8序列升级9时间
42	61433 22326	   	248.85	紫橙2易伤2伤害	1赏金邻近28伤害3a核4雷电58易伤6加一78最后敌人8序列升级9时间
43	21125 44342	   	246.53	橙3矿等2易伤1技能	18毒液对冰2技能3多重对愈48a矿等5加一68易伤7核8序列升级9双倍秒伤
44	21226 23234	   	245.57	橙橙1易伤1技能	1毒液对冰2技能3时间4易伤5随机技能6赏金邻近7a核89掉矿
45	12124 12165	 * 	245.52	橙橙1易伤1等级	1赏金塔24低血量敌人3掉矿5雷电减费6金币生成7等级8易伤9a核
46	12124 32165	   	245.52	橙橙1易伤1等级	1赏金塔24低血量敌人3掉矿5雷电减费6技能点7等级8易伤9a核
47	12134 12165	   	245.52	橙橙1易伤1等级	1赏金塔2低血量敌人3掉矿4立即金币5雷电减费6金币生成7等级8易伤9a核
48	12134 32165	   	245.52	橙橙1易伤1等级	1赏金塔2低血量敌人3掉矿4立即金币5雷电减费6技能点7等级8易伤9a核
49	13324 12165	   	245.52	橙橙1易伤1等级	1赏金塔2掉矿34低血量敌人5雷电减费6金币生成7等级8易伤9a核
50	13324 32165	   	245.52	橙橙1易伤1等级	1赏金塔2掉矿34低血量敌人5雷电减费6技能点7等级8易伤9a核
51	13334 12165	   	245.52	橙橙1易伤1等级	1赏金塔2掉矿3低血量敌人4立即金币5雷电减费6金币生成7等级8易伤9a核
52	13334 32165	   	245.52	橙橙1易伤1等级	1赏金塔2掉矿3低血量敌人4立即金币5雷电减费6技能点7等级8易伤9a核
53	21125 44215	   	245.42	橙2易伤1等级1矿等1技能1攻速	1毒液对冰2技能3多重对愈4矿等5加一68易伤7核9等级a攻速
54	13434 43816	   	245.28	橙橙1易伤1技能2时间	1赏金塔28掉矿3技能4加一58雷电68时间7a核8序列升级9易伤
