0	Index      	 *	Score 	Summary	Detail	
1	64484 32344	 * 	293.99	橙橙2伤害1易伤1等级1时间1暴击	1加一2等级34伤害5暴击6易伤7平台8a核9时间
2	64484 22354	   	280.34	橙橙2伤害1易伤1等级1暴击	1加一2等级34伤害5暴击6低血量敌人7平台8a核9易伤
3	64484 32314	   	280.34	橙橙2伤害1易伤1等级1暴击	1加一2等级34伤害5暴击6易伤7平台8a核9基地爆炸
4	23253 46123	 * 	276.30	橙橙2易伤1伤害1时间1暴击	17易伤2电塔对黄3金币生成4伤害5时间69核8挖尘a暴击
5	64824 32344	   	276.30	橙橙1易伤1等级1伤害1时间1暴击	1加一2等级3烈焰减费4伤害5暴击6易伤7平台8a核9时间
6	22262 23163	 * 	275.11	橙橙2易伤2时间1伤害	14易伤2赏金邻近3敌人爆炸5a时间6雷电减费78核9伤害
7	22662 33163	   	275.11	橙橙2易伤2时间1伤害	14易伤2赏金邻近3挖尘5a时间6基地爆炸78核9伤害
8	22662 23163	   	275.01	橙橙2易伤2时间1伤害	14易伤2赏金邻近3挖尘5a时间6雷电减费78核9伤害
9	22262 23162	   	269.59	橙橙2易伤1伤害1时间	14易伤2赏金邻近3敌人爆炸5时间6雷电减费78核9伤害a攻速
10	22662 33162	   	269.59	橙橙2易伤1伤害1时间	14易伤2赏金邻近3挖尘5时间6基地爆炸78核9伤害a攻速
11	22662 23162	   	269.49	橙橙2易伤1伤害1时间	14易伤2赏金邻近3挖尘5时间6雷电减费78核9伤害a攻速
12	26123 43123	 * 	268.79	橙橙2易伤1等级1时间	19易伤2金币生成3时间4最后敌人5赏金塔6掉矿78核a等级
13	22331 43123	   	268.69	橙橙2易伤1等级1时间	19易伤2赏金邻近3金币生成4时间5雷电减费6掉矿78核a等级
14	22662 23133	   	268.59	橙橙2易伤1等级1时间	14易伤2赏金邻近39挖尘5时间6雷电减费78核a等级
15	62484 32344	   	267.79	橙橙2伤害1易伤1时间1暴击	1加一2金币生成34伤害5暴击6易伤7平台8a核9时间
16	22262 23126	 * 	264.73	橙橙3易伤1时间	14a易伤2赏金邻近3敌人爆炸5时间6雷电减费78核9基地爆炸
17	22662 33126	   	264.73	橙橙3易伤1时间	14a易伤2赏金邻近3挖尘5时间6基地爆炸78核9敌人爆炸
18	22262 23136	   	264.63	橙橙3易伤1时间	14a易伤2赏金邻近3敌人爆炸5时间6雷电减费78核9挖尘
19	22662 23126	   	264.63	橙橙3易伤1时间	14a易伤2赏金邻近3挖尘5时间6雷电减费78核9敌人爆炸
