0	Index      	 *	Score 	Summary	Detail	
1	41343 24213	 * 	306.28	橙3雷电2矿等2易伤2攻速	125雷电2a序列升级3额外掉落4a攻速6最后敌人7核8a易伤9a矿等
2	43531 23152	 * 	302.56	橙2雷电2矿等2易伤2伤害	17雷电2掉矿37矿等4低血量敌人5等级67伤害7序列升级89易伤a核
3	43532 23152	   	302.56	橙2雷电2矿等2易伤2伤害	17雷电2掉矿37矿等4低血量敌人5金币生成67伤害7序列升级89易伤a核
4	31352 14314	 * 	291.89	橙2雷电2矿等2易伤1喷火对甲	1低血量敌人2a矿等3挖尘4喷火对甲5a雷电6立即金币7核8金币生成9a易伤a序列升级
5	41313 32431	   	288.56	橙3雷电2易伤1矿等2攻速	129雷电29序列升级3额外掉落48挖尘59易伤6核79攻速a矿等
6	42323 33122	 * 	284.93	橙2雷电4易伤2伤害	17雷电2时间37伤害4578易伤6随机矿7序列升级9最后敌人a核
7	42563 33122	   	284.93	橙2雷电4易伤2伤害	17雷电2时间3578易伤47伤害6随机矿7序列升级9最后敌人a核
8	42563 33112	   	284.83	橙2雷电4易伤2伤害	17雷电2时间3578易伤47伤害6随机矿7序列升级9挖尘a核
9	42323 33112	   	284.83	橙2雷电4易伤2伤害	17雷电2时间37伤害4578易伤6随机矿7序列升级9挖尘a核
10	43356 23121	 * 	284.82	紫3雷电4易伤2伤害	17a雷电2掉矿3核4578易伤67伤害7序列升级9低血量敌人
11	43356 23131	   	284.82	紫3雷电4易伤2伤害	179雷电2掉矿3核4578易伤67伤害7序列升级a最后敌人
12	43356 23132	   	284.82	紫3雷电4易伤2伤害	179雷电2掉矿3核4578易伤67伤害7序列升级a低血量敌人
13	43356 23111	   	284.72	紫3雷电4易伤2伤害	17a雷电2掉矿3核4578易伤67伤害7序列升级9挖尘
14	43356 23133	   	284.72	紫3雷电4易伤2伤害	179雷电2掉矿3核4578易伤67伤害7序列升级a时间
15	31636 43132	 * 	284.29	橙4易伤2矿等1雷电	17低血量敌人27矿等3策反4雷电5678易伤7序列升级9基地爆炸a核
16	31636 43112	   	284.14	橙4易伤2矿等1雷电	17低血量敌人27矿等3策反4雷电5678易伤7序列升级9挖尘a核
17	11165 43332	 * 	279.30	橙2雷电2矿等3易伤	17敌人爆炸27矿等3时间48雷电5随机矿679易伤7序列升级a核
18	11625 43332	   	279.30	橙2雷电2矿等3易伤	17敌人爆炸27矿等38雷电4时间5随机矿679易伤7序列升级a核
19	43351 23151	 * 	277.57	紫2雷电3易伤3伤害1暴击	17雷电25掉矿3核478易伤67a伤害7序列升级9暴击
