0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61261 33233	3	 * 	275.75	橙5易伤1等级1伤害1时间	13掉矿23478易伤3序列升级5伤害6等级9核a时间
2	61261 33314	3	 * 	271.99	橙4易伤2时间1等级1伤害	13掉矿2347易伤3序列升级5伤害6等级89时间a核
3	61261 33232	3	   	267.80	橙5易伤1等级1伤害	13掉矿23478易伤3序列升级5伤害6等级9核a攻速
4	61132 46113	6	 * 	267.59	橙3易伤2伤害1等级1时间1暴击	18掉矿268易伤3时间4暴击58伤害7赏金邻近8序列升级9等级a核
5	21324 33233	5	   	263.99	橙5易伤1等级1时间	1攻速2掉矿34578易伤6等级9核a时间
6	61224 33233	5	   	263.99	橙5易伤1等级1时间	13掉矿23578易伤3序列升级4攻速6等级9核a时间
7	55343 23333	9	   	262.50	橙5易伤1时间2雷电1全技能	14雷电2全技能34567易伤4序列升级8时间9攻速a核
8	11143 63522	8	 * 	261.95	橙3易伤3伤害1等级	158基地爆炸2挖尘378易伤458伤害58序列升级6核9攻速a等级
9	21111 23144	1	   	260.33	橙4易伤2时间1等级	1攻速2矿等3579易伤46时间8等级a核
10	21324 33314	5	   	260.23	橙4易伤2时间1等级	1攻速2掉矿3457易伤6等级89时间a核
11	61224 33314	5	   	260.23	橙4易伤2时间1等级	13掉矿2357易伤3序列升级4攻速6等级89时间a核
12	31242 34153	10	   	259.83	橙4易伤2时间1伤害1暴击	139金币生成2389易伤39序列升级4平台5伤害6暴击79时间a核
13	61261 33231	3	   	259.40	橙5易伤1等级1伤害	13掉矿23478易伤3序列升级5伤害6等级9核a挖尘
14	61261 33234	3	   	259.40	橙5易伤1等级1伤害	13掉矿23478易伤3序列升级5伤害6等级9核a赏金邻近
15	61261 33236	3	   	259.40	橙5易伤1等级1伤害	13a掉矿23478易伤3序列升级5伤害6等级9核
16	61261 32413	3	   	257.40	橙4易伤1等级1伤害1时间	13掉矿2348易伤3序列升级5伤害6等级7最后敌人9时间a核
17	61261 33351	3	   	257.40	橙4易伤1等级1伤害1时间	13掉矿2347易伤3序列升级5伤害6等级8时间9额外掉落a核
18	31123 54321	8	 * 	257.36	橙2易伤3时间2伤害1等级	17金币生成27易伤38a时间4等级5额外掉落67伤害7序列升级9核
19	11143 63521	8	 * 	256.80	橙4易伤3伤害	158基地爆炸2挖尘378a易伤458伤害58序列升级6核9攻速
20	55342 13211	9	   	255.59	橙3易伤2时间1等级2雷电1全技能	14雷电2全技能34a易伤4序列升级5金币生成67时间8等级9核
21	21324 33232	5	   	255.58	橙5易伤1等级2攻速	1a攻速2掉矿34578易伤6等级9核
22	61224 33232	5	   	255.58	橙5易伤1等级2攻速	13掉矿23578易伤3序列升级4a攻速6等级9核
23	31242 41213	5	   	254.79	橙4易伤2伤害1暴击	13金币生成236a易伤36序列升级4平台56伤害7核8雷电9暴击
24	61242 41213	5	   	254.59	橙4易伤2伤害1暴击	13掉矿236a易伤36序列升级4平台56伤害7核8雷电9暴击
25	31242 41161	5	   	254.24	橙3易伤2伤害1等级1时间	13金币生成236易伤36序列升级4平台56伤害7核8最后敌人9时间a等级
26	55343 21323	8	   	254.20	橙5易伤1时间2雷电1全技能	14雷电2全技能34569易伤4序列升级7金币生成8时间a核
27	55343 22323	8	   	254.20	橙5易伤1时间2雷电1全技能	14雷电2全技能34569易伤4序列升级7随机矿8时间a核
28	31123 54152	8	   	254.14	橙3易伤2伤害1等级1时间	17金币生成279易伤3时间4等级5额外掉落67伤害7序列升级8掉矿a核
29	11143 63512	9	   	253.64	橙3易伤3伤害1等级	158基地爆炸2挖尘378易伤458伤害58序列升级6核9金币生成a等级
30	11143 63522	9	   	253.64	橙3易伤3伤害1等级	158基地爆炸2挖尘378易伤458伤害58序列升级6核9策反a等级
31	11143 63533	8	   	253.35	橙3易伤3伤害1时间1全技能	158基地爆炸2挖尘378易伤458伤害58序列升级6核9时间a全技能
32	31243 41631	4	 * 	252.90	橙3易伤2等级2时间1暴击	13金币生成236易伤36序列升级4平台56等级7核89时间a暴击
33	25224 14113	1	 * 	252.60	橙3易伤1等级2暴击2攻速1时间	18攻速28暴击3时间4金币生成5赏金塔678易伤8序列升级9等级a核
34	31123 54323	8	   	252.44	橙2易伤2伤害2时间1等级	17金币生成27易伤38时间4等级5额外掉落67伤害7序列升级9核a攻速
35	31123 54352	8	   	252.44	橙2易伤2伤害2时间1等级	17金币生成27易伤38时间4等级5额外掉落67伤害7序列升级9攻速a核
36	31123 54352	9	   	252.44	橙2易伤2伤害2时间1等级	17金币生成27易伤38时间4等级5额外掉落67伤害7序列升级9攻速a核
37	31123 54121	7	 * 	252.21	橙2易伤2伤害2等级2时间	17金币生成27易伤3a时间48等级5额外掉落67伤害7序列升级9核
38	31121 13114	7	   	252.02	橙4易伤2时间1等级	1金币生成2567易伤39时间4等级8矿等a核
39	31121 13114	6	   	252.02	橙4易伤2时间1等级	1金币生成2567易伤39时间4等级8矿等a核
40	31121 13514	8	   	252.02	橙4易伤2时间1等级	1金币生成2567易伤39时间4等级8矿等a核
41	15111 23144	1	   	252.02	橙4易伤2时间1等级	1基地爆炸2立即金币3579易伤46时间8等级a核
42	31121 12144	7	   	252.02	橙4易伤2时间1等级	1金币生成2569易伤37时间4等级8矿等a核
43	31121 12544	8	   	252.02	橙4易伤2时间1等级	1金币生成2569易伤37时间4等级8矿等a核
44	31121 23144	4	   	252.02	橙4易伤2时间1等级	1金币生成2579易伤36时间4等级8矿等a核
45	31121 23144	5	   	252.02	橙4易伤2时间1等级	1金币生成2579易伤36时间4等级8矿等a核
46	31121 63144	6	   	252.02	橙4易伤2时间1等级	1金币生成2579易伤36时间4等级8矿等a核
47	31121 63144	7	   	252.02	橙4易伤2时间1等级	1金币生成2579易伤36时间4等级8矿等a核
48	11143 63532	8	   	252.00	橙3易伤3伤害1时间	158基地爆炸2挖尘378易伤458伤害58序列升级6核9时间a攻速
49	31121 15314	8	   	251.92	橙4易伤2时间1等级	1金币生成2568易伤39时间4等级7掉矿a核
50	31121 15414	6	   	251.92	橙4易伤2时间1等级	1金币生成2568易伤39时间4等级7掉矿a核
51	31121 15414	7	   	251.92	橙4易伤2时间1等级	1金币生成2568易伤39时间4等级7掉矿a核
52	31242 41531	5	   	251.64	橙3易伤2伤害1等级1暴击	13金币生成236易伤36序列升级4平台56伤害7核8等级9策反a暴击
53	31243 41213	4	 * 	251.43	橙4易伤2等级1暴击	13金币生成236a易伤36序列升级4平台56等级7核8雷电9暴击
54	31261 31414	3	   	251.14	橙3易伤2时间1等级1伤害	137金币生成234易伤3序列升级5伤害6等级89时间a核
55	11121 11522	3	 * 	251.08	橙5易伤2伤害	1a基地爆炸2挖尘3457a易伤6额外掉落8a伤害9核a序列升级
56	31121 12651	6	   	251.04	橙3易伤2时间1等级1伤害	1金币生成256易伤3a时间4等级7最后敌人8伤害9核
57	31121 14651	7	   	251.04	橙3易伤2时间1等级1伤害	1金币生成256易伤3a时间4等级7最后敌人8伤害9核
58	31121 16651	6	   	251.04	橙3易伤2时间1等级1伤害	1金币生成256易伤3a时间4等级7基地爆炸8伤害9核
59	32121 56151	8	   	251.04	橙3易伤2时间1等级1伤害	1金币生成2低血量敌人3a时间4等级578易伤6伤害9核
60	31121 11631	7	   	250.94	橙3易伤2时间1等级1伤害	1金币生成256易伤3a时间4等级7挖尘8伤害9核
61	31121 14651	6	   	250.94	橙3易伤2时间1等级1伤害	1金币生成256易伤3a时间4等级7挖青8伤害9核
62	61213 22651	7	   	250.94	橙3易伤2时间1等级1伤害	13掉矿236易伤3序列升级4低血量敌人5a时间7等级8伤害9核
63	61361 33314	3	   	250.94	橙3易伤2时间1等级1伤害	1掉矿247易伤3立即金币5伤害6等级89时间a核
64	61361 33314	2	   	250.84	橙3易伤2时间1等级1伤害	13掉矿247易伤5伤害6等级89时间a核
65	31242 41215	5	   	249.99	橙3易伤2伤害1时间1暴击	13金币生成236易伤36序列升级4平台56伤害7核8雷电9暴击a时间
66	31242 43153	10	   	249.74	橙5易伤1伤害1时间	13金币生成2369a易伤3序列升级4平台5伤害7核8时间
67	31242 43533	8	   	249.66	橙4易伤1等级1伤害	13金币生成2368易伤3序列升级4平台5伤害7核9攻速a等级
68	31243 41413	4	 * 	249.53	橙4易伤2等级1伤害	138金币生成2369易伤36序列升级4平台56等级7核a伤害
69	31243 41351	4	   	249.43	橙4易伤2等级1伤害	13金币生成236a易伤36序列升级4平台56等级7核8赏金邻近9伤害
70	61221 11413	9	   	249.36	橙4易伤1等级1伤害	135掉矿2369易伤3序列升级4攻速7等级8核a伤害
71	61132 36113	6	 * 	249.21	橙2易伤2伤害1等级2暴击1时间	18掉矿28易伤3时间46暴击58伤害7赏金邻近8序列升级9等级a核
72	31242 42112	5	   	248.59	橙4易伤3伤害	138金币生成2368易伤368序列升级4平台568伤害7赏金塔9额外掉落a核
73	31242 46112	5	   	248.59	橙4易伤3伤害	138金币生成2368易伤368序列升级4平台568伤害7赏金邻近9额外掉落a核
74	11143 63511	9	   	248.49	橙4易伤3伤害	158基地爆炸2挖尘378a易伤458伤害58序列升级6核9金币生成
75	11143 63521	9	   	248.49	橙4易伤3伤害	158基地爆炸2挖尘378a易伤458伤害58序列升级6核9策反
76	31242 41413	5	   	248.49	橙4易伤3伤害	138金币生成2369易伤36序列升级4平台56a伤害7核
77	31242 41613	5	   	248.49	橙4易伤3伤害	13金币生成2369易伤36序列升级48平台56a伤害7核
78	31242 43413	8	   	248.39	橙4易伤3伤害	13金币生成2369易伤3序列升级4平台58a伤害7核
79	61132 11121	4	   	248.35	橙2易伤2等级1伤害1时间2雷电1暴击	1掉矿2a易伤3时间4暴击5a雷电6核7伤害8a等级9双倍物品a序列升级
80	61134 11121	5	   	248.35	橙2易伤2等级1伤害1时间2雷电1暴击	1掉矿2a易伤3时间4暴击5a雷电6核7伤害8a等级9双倍物品a序列升级
81	11143 63111	10	   	248.29	橙4易伤3伤害	15基地爆炸2挖尘378a易伤459伤害5序列升级6核
82	52345 32338	1	   	248.11	橙2易伤3时间1等级2雷电1暴击	17雷电2暴击3加一457时间67易伤7序列升级8等级9金币生成a核
83	31222 34153	10	   	248.08	橙4易伤2时间1暴击	139金币生成2389易伤39序列升级4攻速5平台6暴击79时间a核
84	52345 32328	1	   	248.01	橙2易伤3时间1等级2雷电1暴击	17雷电2暴击3加一457时间67易伤7序列升级8等级9掉矿a核
85	11121 23415	3	   	247.74	橙5易伤1等级	1基地爆炸2挖尘34567易伤8等级9雷电a核
86	61221 11415	9	   	247.64	橙5易伤1等级	135掉矿2369a易伤3序列升级4攻速7等级8核
87	21324 33231	5	   	247.64	橙5易伤1等级	1攻速2掉矿34578易伤6等级9核a挖尘
88	21324 33234	5	   	247.64	橙5易伤1等级	1攻速2掉矿34578易伤6等级9核a赏金邻近
89	21324 33236	5	   	247.64	橙5易伤1等级	1攻速2a掉矿34578易伤6等级9核
90	61224 33231	5	   	247.64	橙5易伤1等级	13掉矿23578易伤3序列升级4攻速6等级9核a挖尘
91	61224 33234	5	   	247.64	橙5易伤1等级	13掉矿23578易伤3序列升级4攻速6等级9核a赏金邻近
92	61224 33236	5	   	247.64	橙5易伤1等级	13a掉矿23578易伤3序列升级4攻速6等级9核
93	31243 41632	4	   	247.56	橙3易伤2等级2时间	13金币生成236易伤36序列升级4平台56等级7核89时间a雷电
94	21324 44113	4	   	246.88	橙3易伤2时间1等级2攻速1卖塔	18攻速2掉矿348易伤5赏金邻近68时间7卖塔8序列升级9等级a核
95	31243 41215	4	   	246.63	橙3易伤2等级1时间1暴击	13金币生成236易伤36序列升级4平台56等级7核8雷电9暴击a时间
96	31242 41433	5	   	246.30	橙3易伤2伤害1等级	138金币生成236易伤36序列升级4平台56伤害7核9攻速a等级
97	31242 41522	5	   	246.30	橙3易伤2伤害1等级	13金币生成236易伤36序列升级4平台56伤害7核8等级9攻速a敌人爆炸
98	31242 41532	5	   	246.30	橙3易伤2伤害1等级	13金币生成236易伤36序列升级4平台56伤害7核8等级9策反a雷电
99	31242 41633	5	   	246.30	橙3易伤2伤害1等级	13金币生成236易伤36序列升级48平台56伤害7核9攻速a等级
100	55343 23133	9	   	246.25	橙5易伤2雷电1全技能	14雷电2全技能34567易伤4序列升级8低血量敌人9攻速a核
101	55343 23233	9	   	246.25	橙5易伤2雷电1全技能	14雷电2全技能34567易伤4序列升级8最后敌人9攻速a核
102	55343 23311	7	   	246.25	橙5易伤2雷电1全技能	14雷电2全技能34567易伤4序列升级8攻速9核a矿等
103	55343 23312	7	   	246.25	橙5易伤2雷电1全技能	14雷电2全技能34567易伤4序列升级8攻速9核a基地爆炸
104	55343 23313	7	   	246.25	橙5易伤2雷电1全技能	14雷电2全技能34567易伤4序列升级8攻速9核a随机矿
105	31242 41521	5	   	246.20	橙3易伤2伤害1等级	13金币生成236易伤36序列升级4平台56伤害7核8等级9攻速a加一
106	31242 43433	8	   	246.20	橙3易伤2伤害1等级	13金币生成236易伤3序列升级4平台58伤害7核9攻速a等级
107	31121 32312	4	   	246.11	橙3易伤1等级2暴击1时间1全技能	1a金币生成25a易伤3时间4等级6挖青7全技能8a暴击9核a序列升级
108	31121 32312	5	   	246.11	橙3易伤1等级2暴击1时间1全技能	1a金币生成25a易伤3时间4等级6挖青7全技能8a暴击9核a序列升级
109	13611 23353	4	 * 	246.07	橙3易伤2伤害2等级	18基地爆炸2低血量敌人38等级4金币生成56a易伤78伤害8序列升级9核
110	13611 23353	5	   	246.07	橙3易伤2伤害2等级	18基地爆炸2低血量敌人38等级4金币生成56a易伤78伤害8序列升级9核
111	13611 33353	6	   	246.07	橙3易伤2伤害2等级	18基地爆炸2低血量敌人38等级4金币生成56a易伤78伤害8序列升级9核
112	16611 23353	4	   	246.07	橙3易伤2伤害2等级	18基地爆炸2最后敌人38等级4金币生成56a易伤78伤害8序列升级9核
113	16611 23353	5	   	246.07	橙3易伤2伤害2等级	18基地爆炸2最后敌人38等级4金币生成56a易伤78伤害8序列升级9核
114	11142 53325	7	   	246.01	橙3易伤1等级1伤害1时间1全技能	1基地爆炸2挖尘37a易伤4伤害5全技能6核8时间9等级
115	31242 43151	10	   	245.98	橙4易伤2时间1伤害	13金币生成2369易伤3序列升级4平台5伤害7核8a时间
116	11611 53333	7	   	245.97	橙3易伤2伤害2等级	18基地爆炸2挖尘38等级4金币生成57a易伤68伤害8序列升级9核
117	31123 54123	7	   	245.93	橙2易伤2伤害2等级1时间	17金币生成27易伤3时间48等级5额外掉落67伤害7序列升级9核a攻速
118	31123 54152	7	   	245.93	橙2易伤2伤害2等级1时间	17金币生成27易伤3时间48等级5额外掉落67伤害7序列升级9攻速a核
119	61131 32312	3	   	245.91	橙3易伤1等级2暴击1时间1全技能	1a掉矿24a易伤3时间5等级6挖青7全技能8a暴击9核a序列升级
120	31121 13414	7	   	245.75	橙4易伤1等级1时间	1金币生成2567易伤3时间4等级8双倍矿9攻速a核
121	31121 13414	6	   	245.75	橙4易伤1等级1时间	1金币生成2567易伤3时间4等级8双倍矿9攻速a核
122	31121 13614	8	   	245.75	橙4易伤1等级1时间	1金币生成2567易伤3时间4等级8立即金币9攻速a核
