0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61333 12625	9	 * 	285.20	橙3易伤2伤害2时间1暴击1全技能	1双倍矿29伤害3全技能479易伤5暴击6雷电89时间9序列升级a核
2	61332 51225	9	   	277.17	橙3易伤2伤害1时间2雷电1暴击1全技能	1双倍矿29伤害3全技能459易伤6暴击7时间89雷电9序列升级a核
3	61332 12625	9	 * 	274.49	橙5易伤2伤害1全技能	1双倍矿29伤害3全技能4569a易伤7额外掉落8核9序列升级
4	63452 18131	2	 * 	271.66	橙4易伤3时间3等级	1双倍矿2加一3789易伤478等级578时间6赏金塔78序列升级a核
5	61332 12622	10	   	271.20	橙4易伤2伤害1时间1全技能	1双倍矿29伤害3全技能4569易伤7额外掉落8核9序列升级a时间
6	61332 12314	6	   	271.10	橙4易伤2伤害1时间1全技能	1双倍矿29伤害3全技能4567易伤8时间a核
7	61332 62314	5	   	271.10	橙4易伤2伤害1时间1全技能	1双倍矿29伤害3全技能4567易伤8时间a核
8	63422 68224	2	   	269.84	橙4易伤2伤害1暴击1攻速	1双倍矿2加一3467易伤57伤害7序列升级8攻速9暴击a核
9	25363 32513	2	 * 	269.65	橙3易伤3时间3攻速1全技能	1全技能279攻速39敌人爆炸479易伤578时间6赏金邻近79序列升级a核
10	64332 12632	9	 * 	269.45	橙4易伤2时间2攻速1全技能	1双倍矿2a攻速3全技能456a易伤7额外掉落8核9a时间a序列升级
11	61621 31125	4	 * 	269.25	橙4易伤3伤害	1双倍矿245伤害349a易伤4序列升级6策反7雷电8核
12	61623 31623	9	 * 	269.24	橙3易伤3伤害2时间	1双倍矿24a伤害34a易伤4a序列升级5策反6矿等7a时间8核9挖青
13	61332 12626	9	   	268.60	橙4易伤2伤害1暴击1全技能	1双倍矿29伤害3全技能4569易伤7额外掉落8核9序列升级a暴击
14	61221 12643	9	   	266.99	橙3易伤2伤害2时间1暴击1卖塔	1双倍矿2a伤害3a时间4矿等5暴击6卖塔79a易伤8核a序列升级
15	21523 32514	1	 * 	265.32	橙2易伤3伤害3时间1全技能	1全技能279基地爆炸39易伤479伤害578时间6赏金邻近79序列升级a核
16	23323 32514	2	   	265.32	橙2易伤3伤害3时间1全技能	1全技能279敌人爆炸39易伤479伤害578时间6赏金邻近79序列升级a核
17	32231 32514	3	   	265.32	橙2易伤3伤害3时间1全技能	179基地爆炸29易伤379伤害478时间5全技能6赏金邻近79序列升级a核
18	32236 32514	3	   	265.32	橙2易伤3伤害3时间1全技能	179基地爆炸29易伤379伤害478时间5赏金邻近6全技能79序列升级a核
19	23323 32614	2	   	265.32	橙2易伤3伤害3时间1全技能	1全技能278敌人爆炸39易伤479伤害579时间6赏金邻近79序列升级a核
20	51431 33363	8	 * 	265.11	橙4易伤2伤害2暴击1卖塔	1卖塔2689易伤3随机矿4敌人爆炸58暴击78伤害8序列升级a核
21	32521 63141	9	   	264.83	橙5易伤2伤害	1基地爆炸24569易伤34最后敌人4序列升级7a伤害8核
22	42121 63141	9	   	264.83	橙5易伤2伤害	1低血量敌人24569易伤34基地爆炸4序列升级7a伤害8核
23	42521 22341	8	   	264.83	橙5易伤2伤害	1低血量敌人24578易伤34最后敌人4序列升级6核9a伤害
24	12121 63141	9	   	264.73	橙5易伤2伤害	1挖尘24569易伤34基地爆炸4序列升级7a伤害8核
25	12321 63141	9	   	264.73	橙5易伤2伤害	1挖尘24569易伤34低血量敌人4序列升级7a伤害8核
26	12521 63141	9	   	264.73	橙5易伤2伤害	1挖尘24569易伤34最后敌人4序列升级7a伤害8核
27	32621 63141	9	   	264.73	橙5易伤2伤害	14基地爆炸24569易伤3挖青4序列升级7a伤害8核
28	42321 22541	9	   	264.73	橙5易伤2伤害	14低血量敌人24579易伤3挖青4序列升级6核8a伤害
29	42321 22541	7	   	264.73	橙5易伤2伤害	14低血量敌人24578易伤3挖青4序列升级6核9a伤害
30	42321 63141	9	   	264.73	橙5易伤2伤害	14低血量敌人24569易伤3挖青4序列升级7a伤害8核
31	12621 63141	9	   	264.53	橙5易伤2伤害	14挖尘24569易伤3挖青4序列升级7a伤害8核
32	41123 13261	5	 * 	263.57	橙3易伤3时间3暴击	1低血量敌人289暴击3敌人爆炸4挖尘589时间6雷电789易伤89序列升级a核
33	42521 22361	8	   	263.49	橙5易伤1伤害1等级	1低血量敌人24578易伤34最后敌人4序列升级6核9等级a伤害
34	42321 22561	7	   	263.39	橙5易伤1伤害1等级	14低血量敌人24578易伤3挖青4序列升级6核9等级a伤害
35	61332 12625	10	   	263.26	橙4易伤2伤害1全技能	1双倍矿29伤害3全技能4569易伤7额外掉落8核9序列升级a雷电
36	61335 22621	6	   	263.14	橙3易伤2伤害2时间1全技能	1双倍矿28伤害3全技能478易伤58时间6加一8序列升级9核a矿等
37	61335 22623	6	   	263.14	橙3易伤2伤害2时间1全技能	1双倍矿28伤害3全技能478易伤58时间6加一8序列升级9核a额外掉落
38	61335 22624	6	   	263.14	橙3易伤2伤害2时间1全技能	1双倍矿28伤害3全技能478易伤58时间6加一8序列升级9核a低血量敌人
39	63422 82621	2	   	263.14	橙3易伤2伤害2时间1全技能	1双倍矿2加一348易伤58伤害68时间7全技能8序列升级9核a矿等
40	63422 82623	2	   	263.14	橙3易伤2伤害2时间1全技能	1双倍矿2加一348易伤58伤害68时间7全技能8序列升级9核a额外掉落
41	63422 82624	2	   	263.14	橙3易伤2伤害2时间1全技能	1双倍矿2加一348易伤58伤害68时间7全技能8序列升级9核a低血量敌人
42	61342 22621	6	   	263.14	橙3易伤2伤害2时间1全技能	1双倍矿28伤害3全技能48时间578易伤6加一8序列升级9核a矿等
43	61342 22623	6	   	263.14	橙3易伤2伤害2时间1全技能	1双倍矿28伤害3全技能48时间578易伤6加一8序列升级9核a额外掉落
44	61342 22624	6	   	263.14	橙3易伤2伤害2时间1全技能	1双倍矿28伤害3全技能48时间578易伤6加一8序列升级9核a低血量敌人
45	61335 22622	6	   	263.04	橙3易伤2伤害2时间1全技能	1双倍矿28伤害3全技能478易伤58时间6加一8序列升级9核a挖尘
46	63422 82622	2	   	263.04	橙3易伤2伤害2时间1全技能	1双倍矿2加一348易伤58伤害68时间7全技能8序列升级9核a挖尘
47	61342 22622	6	   	263.04	橙3易伤2伤害2时间1全技能	1双倍矿28伤害3全技能48时间578易伤6加一8序列升级9核a挖尘
48	61621 31122	4	   	262.86	橙3易伤3伤害1等级	1双倍矿245伤害349易伤4序列升级6策反7雷电8核a等级
49	61621 31124	4	   	262.86	橙3易伤3伤害1时间	1双倍矿245伤害349易伤4序列升级6策反7雷电8核a时间
50	61332 11524	6	   	262.82	橙4易伤2伤害2全技能	1双倍矿28伤害39全技能4568易伤78最后敌人8序列升级a核
51	61332 13524	6	   	262.82	橙4易伤2伤害2全技能	1双倍矿28伤害39全技能4568易伤78低血量敌人8序列升级a核
52	61332 32524	5	   	262.82	橙4易伤2伤害2全技能	1双倍矿28伤害39全技能4578易伤68最后敌人8序列升级a核
53	61622 31121	10	   	262.76	橙3易伤3伤害1时间	1双倍矿246伤害347易伤4序列升级5挖尘8时间9雷电a核
54	21556 42423	2	   	262.52	橙4易伤2伤害2全技能	1a全技能28挖尘3678易伤4加一58伤害8序列升级9核
55	31526 31412	1	   	261.71	橙3易伤3伤害1暴击1全技能	18基地爆炸2平台368伤害468易伤5赏金塔68序列升级7全技能9暴击a核
56	31541 31412	1	   	261.71	橙3易伤3伤害1暴击1全技能	18基地爆炸2平台368伤害4赏金邻近568易伤68序列升级7全技能9暴击a核
57	32246 31412	3	   	261.71	橙3易伤3伤害1暴击1全技能	18基地爆炸268易伤368伤害4平台5赏金塔68序列升级7全技能9暴击a核
58	42121 63163	10	   	261.54	橙4易伤2伤害1时间	1低血量敌人2456易伤34基地爆炸4序列升级79伤害8核a时间
