0	Index      	Bounty	 *	Score 	Summary	Detail	
1	66531 21313	1	 * 	295.08	橙3易伤3时间2伤害2等级	189易伤28伤害3雷电47等级568时间8序列升级a核
2	11442 42313	4	   	291.37	橙3易伤3时间2伤害1等级	1双倍矿28伤害348时间5等级6雷电789易伤8序列升级a核
3	11322 24334	9	 * 	289.45	橙4易伤3时间2伤害	1双倍矿27伤害3最后敌人457时间678a易伤7序列升级9核
4	12167 34484	7	   	289.45	橙4易伤3时间2伤害	1双倍矿2569易伤359时间4加一59序列升级79伤害8平台a核
5	11232 34334	9	   	289.35	橙4易伤3时间2伤害	1双倍矿27伤害3挖尘478a易伤567时间7序列升级9核
6	11242 24334	9	   	289.35	橙4易伤3时间2伤害	1双倍矿27伤害3挖尘457时间678a易伤7序列升级9核
7	61423 23521	1	 * 	289.20	橙3易伤3伤害2时间2暴击	18a易伤2赏金塔36暴击4随机矿56a伤害6a序列升级7核9a时间
8	11542 24333	10	   	283.06	橙3易伤3时间2伤害1等级	1双倍矿27伤害3敌人爆炸457时间678易伤7序列升级9核a等级
9	61221 44233	1	   	282.86	橙3易伤3时间2伤害1等级	19a易伤2赏金塔359时间4等级6核7掉矿89伤害9序列升级
10	11435 24123	10	 * 	281.18	橙5易伤2伤害1时间	1双倍矿29伤害3时间4569a易伤7核89金币生成9序列升级
11	61423 23513	1	 * 	280.66	橙3易伤3伤害3暴击1等级	189易伤2赏金塔369暴击4随机矿569伤害69序列升级7核a等级
12	11322 24335	9	   	277.81	橙3易伤3时间2伤害1攻速	1双倍矿27伤害3最后敌人457时间678易伤7序列升级9核a攻速
13	12134 16212	7	 * 	277.80	橙4易伤3时间3暴击	1双倍矿279a易伤359时间459暴击59序列升级6核8赏金塔
14	12414 16212	7	   	277.80	橙4易伤3时间3暴击	1双倍矿279a易伤359暴击459时间59序列升级6核8赏金塔
15	62134 16212	7	   	277.80	橙4易伤3时间3暴击	179a易伤2双倍矿359时间459暴击59序列升级6核8赏金塔
16	11232 34335	9	   	277.71	橙3易伤3时间2伤害1攻速	1双倍矿27伤害3挖尘478易伤567时间7序列升级9核a攻速
17	11242 24335	9	   	277.71	橙3易伤3时间2伤害1攻速	1双倍矿27伤害3挖尘457时间678易伤7序列升级9核a攻速
18	11432 24123	10	   	276.22	橙4易伤2伤害2时间	1双倍矿29伤害35时间469a易伤7核89金币生成9序列升级
19	23612 31341	1	 * 	276.16	橙4易伤2伤害2暴击1攻速	1挖青279a易伤3攻速4a伤害5赏金邻近6核8a暴击a序列升级
20	12134 16216	7	 * 	275.23	橙3易伤3时间3暴击1伤害	1双倍矿279易伤359时间459暴击59序列升级6核8赏金塔a伤害
21	11432 26243	6	   	275.12	橙3易伤3时间2伤害	1双倍矿27伤害357时间467易伤7序列升级8金币生成9雷电a核
22	11441 42313	5	   	275.12	橙3易伤3时间2伤害	1双倍矿28伤害348时间5矿等6雷电789易伤8序列升级a核
23	11441 62313	6	   	275.12	橙3易伤3时间2伤害	1双倍矿28伤害348时间5矿等6雷电789易伤8序列升级a核
24	12112 16313	5	   	275.12	橙3易伤3时间2伤害	1双倍矿289易伤358时间4金币生成6雷电78伤害8序列升级a核
25	12113 16313	4	   	275.12	橙3易伤3时间2伤害	1双倍矿289易伤358时间4金币生成6雷电78伤害8序列升级a核
26	12121 16313	4	   	275.12	橙3易伤3时间2伤害	1双倍矿289易伤348时间5金币生成6雷电78伤害8序列升级a核
27	12121 16313	3	   	275.12	橙3易伤3时间2伤害	1双倍矿289易伤348时间5金币生成6雷电78伤害8序列升级a核
28	12126 16313	5	   	275.12	橙3易伤3时间2伤害	1双倍矿289易伤348时间5矿等6雷电78伤害8序列升级a核
29	12133 16313	3	   	275.12	橙3易伤3时间2伤害	1双倍矿289易伤358时间4矿等6雷电78伤害8序列升级a核
30	12321 16313	2	   	275.12	橙3易伤3时间2伤害	1双倍矿289易伤348时间5金币生成6雷电78伤害8序列升级a核
31	12333 16313	2	   	275.12	橙3易伤3时间2伤害	1双倍矿289易伤358时间4矿等6雷电78伤害8序列升级a核
32	62112 16313	5	   	275.12	橙3易伤3时间2伤害	189易伤2双倍矿358时间4金币生成6雷电78伤害8序列升级a核
33	62113 16313	4	   	275.12	橙3易伤3时间2伤害	189易伤2双倍矿358时间4金币生成6雷电78伤害8序列升级a核
34	62121 16313	4	   	275.12	橙3易伤3时间2伤害	189易伤2双倍矿348时间5金币生成6雷电78伤害8序列升级a核
35	62121 16313	3	   	275.12	橙3易伤3时间2伤害	189易伤2双倍矿348时间5金币生成6雷电78伤害8序列升级a核
36	62126 16313	5	   	275.12	橙3易伤3时间2伤害	189易伤2双倍矿348时间5矿等6雷电78伤害8序列升级a核
37	62133 16313	3	   	275.12	橙3易伤3时间2伤害	189易伤2双倍矿358时间4矿等6雷电78伤害8序列升级a核
38	62321 16313	2	   	275.12	橙3易伤3时间2伤害	189易伤2双倍矿348时间5金币生成6雷电78伤害8序列升级a核
39	62333 16313	2	   	275.12	橙3易伤3时间2伤害	189易伤2双倍矿358时间4矿等6雷电78伤害8序列升级a核
40	66112 16313	5	   	275.12	橙3易伤3时间2伤害	189易伤2立即金币358时间4金币生成6雷电78伤害8序列升级a核
41	66113 16313	4	   	275.12	橙3易伤3时间2伤害	189易伤2立即金币358时间4金币生成6雷电78伤害8序列升级a核
42	66121 16313	4	   	275.12	橙3易伤3时间2伤害	189易伤2立即金币348时间5金币生成6雷电78伤害8序列升级a核
43	66121 16313	3	   	275.12	橙3易伤3时间2伤害	189易伤2立即金币348时间5金币生成6雷电78伤害8序列升级a核
44	66133 16313	3	   	275.12	橙3易伤3时间2伤害	189易伤2立即金币358时间4矿等6雷电78伤害8序列升级a核
45	66321 16313	2	   	275.12	橙3易伤3时间2伤害	189易伤2立即金币348时间5金币生成6雷电78伤害8序列升级a核
46	66333 16313	2	   	275.12	橙3易伤3时间2伤害	189易伤2立即金币358时间4矿等6雷电78伤害8序列升级a核
47	66511 23313	1	   	275.12	橙3易伤3时间2伤害	189易伤28伤害3雷电47金币生成568时间8序列升级a核
48	11432 26343	6	   	275.02	橙3易伤3时间2伤害	1双倍矿27伤害357时间467易伤7序列升级8掉矿9雷电a核
49	12121 24414	10	 * 	274.80	橙3易伤2伤害2时间2攻速	1双倍矿26a易伤34时间5a攻速7核8平台9a伤害a序列升级
50	65412 23222	8	 * 	273.45	橙3易伤2伤害2时间3雷电	17a易伤29a雷电37掉矿47时间5双倍矿6核7a序列升级8a伤害
51	65331 16111	8	 * 	273.43	橙4易伤2攻速2等级2雷电1全技能	159a易伤26雷电3全技能4a等级7a攻速8核a序列升级
52	12167 14484	5	 * 	273.01	橙4易伤3时间2攻速	1双倍矿2579易伤359时间4加一59序列升级69攻速8平台a核
53	14322 24334	9	   	273.01	橙4易伤3时间2攻速	1双倍矿27攻速3最后敌人457时间678a易伤7序列升级9核
54	14232 34334	9	   	272.91	橙4易伤3时间2攻速	1双倍矿27攻速3挖尘478a易伤567时间7序列升级9核
55	12326 34124	10	   	271.96	橙4易伤3时间1伤害	1双倍矿2579易伤3随机矿479时间6核79序列升级89金币生成a伤害
56	12326 34123	10	 * 	271.44	橙5易伤3时间	1双倍矿2579a易伤3随机矿479时间6核79序列升级89金币生成
57	62326 34123	10	   	271.44	橙5易伤3时间	1579a易伤2双倍矿3随机矿479时间6核79序列升级89金币生成
58	11442 12313	4	   	271.01	橙2易伤3时间2伤害1等级2雷电	1双倍矿28伤害348时间5等级69易伤78雷电8序列升级a核
59	11435 24122	10	   	269.95	橙4易伤2伤害1时间	1双倍矿29伤害3时间4569易伤7核89金币生成9序列升级a雷电
60	12134 16253	10	   	269.09	橙3易伤3时间1伤害2暴击	1双倍矿27a易伤359时间45暴击5序列升级6核8伤害
61	11435 22336	5	   	268.44	橙3易伤2伤害2时间2雷电	1双倍矿28伤害38时间45a易伤6金币生成78雷电8序列升级9核
62	11436 32336	6	   	268.44	橙3易伤2伤害2时间2雷电	1双倍矿28伤害38时间46a易伤5金币生成78雷电8序列升级9核
63	11633 42336	2	   	268.44	橙3易伤2伤害2时间2雷电	1双倍矿28伤害38雷电45时间6金币生成78a易伤8序列升级9核
64	63524 32112	6	 * 	268.35	紫5易伤3伤害3雷电	1679a易伤2掉矿3核479伤害567雷电679序列升级89低血量敌人
65	12226 52214	10	   	267.13	橙3易伤2伤害2时间1暴击	1双倍矿27a易伤3掉矿4a时间5低血量敌人6核8暴击9a伤害a序列升级
66	12442 11321	9	   	267.04	橙3易伤2时间2攻速1等级1暴击	1双倍矿29a易伤3暴击49攻速5等级6核7策反89时间9序列升级
67	62442 11321	9	   	267.04	橙3易伤2时间2攻速1等级1暴击	19a易伤2双倍矿3暴击49攻速5等级6核7策反89时间9序列升级
68	12122 54122	10	   	267.01	橙3易伤3时间2伤害	1双倍矿279易伤349时间57最后敌人67伤害79序列升级89金币生成a核
69	12124 54122	10	   	267.01	橙3易伤3时间2伤害	1双倍矿279易伤349时间57低血量敌人67伤害79序列升级89金币生成a核
70	12125 54122	10	   	267.01	橙3易伤3时间2伤害	1双倍矿279易伤349时间57敌人爆炸67伤害79序列升级89金币生成a核
71	62122 54122	10	   	267.01	橙3易伤3时间2伤害	179易伤2双倍矿349时间57最后敌人67伤害79序列升级89金币生成a核
72	12321 34414	10	   	266.91	橙3易伤3时间2伤害	1双倍矿27a易伤35随机矿47a时间6核7a序列升级8平台9a伤害
73	12333 34414	10	   	266.91	橙3易伤3时间2伤害	14双倍矿27a易伤3随机矿57a时间6核7a序列升级8平台9a伤害
74	65231 21631	2	   	266.90	橙3易伤2时间1伤害1等级2雷电	147易伤28雷电35时间6伤害9核a等级
75	11322 24331	10	   	266.81	橙3易伤3时间2伤害	1双倍矿27伤害3a最后敌人457时间678易伤7序列升级9核
76	11322 24332	9	   	266.81	橙3易伤3时间2伤害	1双倍矿27伤害3最后敌人457时间678易伤7序列升级9核a敌人爆炸
77	11322 24333	10	   	266.81	橙3易伤3时间2伤害	1双倍矿27伤害3最后敌人457时间678易伤7序列升级9核a随机矿
78	11322 24336	9	   	266.81	橙3易伤3时间2伤害	1双倍矿27伤害3a最后敌人457时间678易伤7序列升级9核
79	11542 24331	10	   	266.81	橙3易伤3时间2伤害	1双倍矿27伤害3敌人爆炸457时间678易伤7序列升级9核a最后敌人
80	11542 24332	9	   	266.81	橙3易伤3时间2伤害	1双倍矿27伤害3a敌人爆炸457时间678易伤7序列升级9核
81	11542 24333	9	   	266.81	橙3易伤3时间2伤害	1双倍矿27伤害3敌人爆炸457时间678易伤7序列升级9核a策反
82	11142 24352	10	   	266.81	橙3易伤3时间2伤害	1双倍矿27伤害3基地爆炸457时间678易伤7序列升级9随机矿a核
