0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24223 53125	9	 * 	291.40	橙5易伤3时间1伤害	1策反24579易伤345时间45序列升级6平台8伤害a核
2	64263 12213	5	   	291.07	橙4易伤3时间1伤害1攻速	1攻速2457易伤356时间5序列升级8伤害9核a雷电
3	64263 32213	6	   	291.07	橙4易伤3时间1伤害1攻速	1攻速2457易伤356时间5序列升级8伤害9核a雷电
4	24223 16133	5	   	287.79	橙5易伤3时间1等级	18策反24589易伤345时间458序列升级68矿等7核a等级
5	24223 66132	5	   	287.79	橙5易伤3时间1等级	18策反24589易伤345时间458序列升级68金币生成7核a等级
6	24223 35325	7	   	287.59	橙5易伤3时间1等级	1策反24568易伤345时间45序列升级7双倍矿9等级a核
7	24223 22241	9	   	286.92	橙4易伤3时间1伤害2雷电	19策反2459易伤345时间459序列升级6最后敌人7伤害89雷电a核
8	24223 62241	9	   	286.92	橙4易伤3时间1伤害2雷电	19策反2459易伤345时间459序列升级6敌人爆炸7伤害89雷电a核
9	64263 12212	5	   	282.77	橙4易伤3时间1伤害1攻速	1攻速2457易伤356时间5序列升级8伤害9核a双倍矿
10	64263 32212	6	   	282.77	橙4易伤3时间1伤害1攻速	1攻速2457易伤356时间5序列升级8伤害9核a双倍矿
11	64263 12211	5	   	282.67	橙4易伤3时间1伤害1攻速	1攻速2457易伤356时间5序列升级8伤害9核a掉矿
12	64263 32211	6	   	282.67	橙4易伤3时间1伤害1攻速	1攻速2457易伤356时间5序列升级8伤害9核a掉矿
13	24223 31355	6	   	282.34	橙5易伤3时间1攻速	1策反24569易伤345时间45序列升级7攻速8平台a核
14	62333 22461	5	 * 	281.56	橙4易伤2伤害2攻速2雷电	17攻速25伤害3578易伤4随机矿57序列升级67雷电9核a平台
15	62333 22462	5	   	281.56	橙4易伤2伤害2攻速2雷电	17攻速25伤害3578易伤4随机矿57序列升级67雷电9核a低血量敌人
16	62333 22463	5	   	281.46	橙4易伤2伤害2攻速2雷电	17攻速25伤害3578易伤4随机矿57序列升级67雷电9核a掉矿
17	24223 15251	7	   	280.17	橙4易伤3时间1伤害	1策反2459易伤345时间45序列升级6额外掉落7核8雷电a伤害
18	24223 35213	7	   	280.17	橙4易伤3时间1伤害	1策反2456易伤345时间45序列升级7双倍矿8伤害9核a雷电
19	24263 62213	6	   	280.07	橙4易伤3时间1伤害	1策反2456易伤357时间5序列升级8伤害9核a雷电
20	24223 33652	9	   	279.85	橙5易伤3时间	18策反24568易伤345时间458序列升级78最后敌人9雷电a核
21	24223 31652	9	   	279.65	橙5易伤3时间	18策反24568易伤345时间458序列升级78挖尘9雷电a核
22	62632 13213	7	 * 	279.51	橙3易伤3伤害1时间1暴击1攻速	1攻速29a伤害3暴击4最后敌人59a易伤6时间7核89a敌人爆炸9a序列升级
23	62632 13313	8	   	279.51	橙3易伤3伤害1时间1暴击1攻速	1攻速29a伤害3暴击4最后敌人59a易伤6时间7核89a低血量敌人9a序列升级
24	62612 13313	8	   	279.41	橙3易伤3伤害1时间1暴击1攻速	1攻速29a伤害3暴击4挖尘59a易伤6时间7核89a最后敌人9a序列升级
25	62632 13213	8	   	279.21	橙3易伤3伤害1时间1暴击1攻速	1攻速29a伤害3暴击4最后敌人59a易伤6时间7核89a挖尘9a序列升级
26	64263 11213	5	 * 	278.64	橙3易伤3时间2攻速1伤害	17攻速245易伤356时间5序列升级8伤害9核a雷电
27	64263 31213	6	   	278.64	橙3易伤3时间2攻速1伤害	17攻速245易伤356时间5序列升级8伤害9核a雷电
28	54262 13333	4	   	277.98	橙5易伤2时间1伤害	1金币生成2457a易伤36时间8核9伤害
29	24223 53412	9	   	277.71	橙4易伤3时间1等级1全技能	1策反2457易伤345时间45序列升级6平台8全技能9等级a核
30	24223 23523	10	   	276.45	橙4易伤3时间1暴击1攻速	1策反245a易伤345时间45序列升级6最后敌人7核8攻速9暴击
31	24223 63523	10	   	276.45	橙4易伤3时间1暴击1攻速	1策反245a易伤345时间45序列升级6敌人爆炸7核8攻速9暴击
32	63343 33136	8	 * 	275.87	橙3易伤3伤害2攻速1时间	18攻速28低血量敌人346伤害58a易伤7核8序列升级9时间
33	24223 36513	5	 * 	275.12	橙3易伤3时间2伤害	18策反245易伤345时间45序列升级67伤害9核a雷电
34	24223 66323	5	   	275.12	橙3易伤3时间2伤害	1策反245易伤345时间45序列升级6金币生成7核89伤害a雷电
35	62361 11234	3	   	275.07	橙3易伤2伤害2攻速1时间2雷电	1a攻速29伤害34a易伤5金币生成6时间7a雷电8核a序列升级
36	12326 62333	6	   	274.69	橙4易伤2时间1伤害1等级	1立即金币2等级37时间456a易伤8核9伤害
37	24223 23525	9	   	273.88	橙3易伤3时间1伤害1暴击1攻速	1策反245易伤345时间45序列升级6最后敌人7核8攻速9暴击a伤害
38	62333 33251	9	   	273.76	橙3易伤2伤害2攻速1时间1暴击	19攻速25伤害359易伤4随机矿59序列升级6暴击7时间89掉矿a核
39	62343 34112	8	   	273.11	橙3易伤2伤害1时间1暴击1攻速1全技能	1攻速24伤害357易伤6全技能8核9时间a暴击
40	24223 16121	5	   	272.66	橙4易伤3时间1攻速1全技能	18策反2458易伤345时间458序列升级68矿等7核9全技能a攻速
41	24223 66121	5	   	272.66	橙4易伤3时间1攻速1全技能	18策反2458易伤345时间458序列升级68金币生成7核9全技能a攻速
42	24223 41122	9	   	272.53	橙3易伤3时间1伤害1暴击1全技能	1策反245易伤345时间45序列升级6暴击7最后敌人8伤害9全技能a核
43	24223 44322	9	   	272.53	橙3易伤3时间1伤害1暴击1全技能	1策反245易伤345时间45序列升级6暴击7伤害8最后敌人9全技能a核
44	64263 32113	8	   	272.26	橙4易伤3时间1攻速1全技能	1攻速2458易伤356时间5序列升级7掉矿9核a全技能
45	24223 16115	5	   	272.06	橙4易伤3时间1伤害	18策反2458易伤345时间458序列升级68矿等7核9立即金币a伤害
46	24223 16214	5	 * 	271.86	橙4易伤3时间2暴击	1a策反245a易伤345时间45a序列升级6矿等7核8掉矿9a暴击
47	24223 23264	9	   	271.86	橙4易伤3时间2暴击	1a策反245a易伤345时间45a序列升级6最后敌人7核8挖尘9a暴击
48	24223 35212	7	   	271.86	橙4易伤3时间1伤害	1策反2456易伤345时间45序列升级7a双倍矿8伤害9核
49	24223 35214	7	   	271.86	橙4易伤3时间1伤害	1策反2456易伤345时间45序列升级7双倍矿8伤害9核a金币生成
50	24223 35215	7	   	271.86	橙4易伤3时间1伤害	1a策反2456易伤345时间45序列升级7双倍矿8伤害9核
51	24223 35216	7	   	271.86	橙4易伤3时间1伤害	1策反2456易伤345时间45序列升级7双倍矿8伤害9核a基地爆炸
52	24223 62136	10	   	271.86	橙4易伤3时间1伤害	1策反2458易伤345时间45序列升级6敌人爆炸7伤害9矿等a核
53	24223 16317	5	   	271.76	橙4易伤3时间1伤害	1策反245a易伤345时间45序列升级6矿等7核8伤害9加一
54	24223 22135	8	   	271.76	橙4易伤3时间1伤害	1策反2458易伤345时间45序列升级6最后敌人7伤害9赏金邻近a核
55	24223 22145	8	   	271.76	橙4易伤3时间1伤害	1策反2458易伤345时间45序列升级6最后敌人7伤害9赏金塔a核
56	24223 35211	7	   	271.76	橙4易伤3时间1伤害	1策反2456易伤345时间45序列升级7双倍矿8伤害9核a掉矿
57	24263 62212	6	   	271.76	橙4易伤3时间1伤害	1策反2456易伤357时间5序列升级8伤害9核a双倍矿
58	24223 31635	7	   	271.66	橙4易伤3时间1伤害	1策反2456易伤345时间45序列升级7挖尘8伤害9赏金邻近a核
59	24263 62211	6	   	271.66	橙4易伤3时间1伤害	1策反2456易伤357时间5序列升级8伤害9核a掉矿
60	24223 16131	5	   	271.54	橙5易伤3时间	18策反24589易伤345时间458序列升级68矿等7核a基地爆炸
61	24223 16136	5	   	271.54	橙5易伤3时间	18策反24589易伤345时间458序列升级68矿等7核a低血量敌人
62	24223 66131	5	   	271.54	橙5易伤3时间	18策反24589易伤345时间458序列升级68金币生成7核a基地爆炸
63	24223 16132	5	   	271.44	橙5易伤3时间	18策反24589易伤345时间458序列升级68矿等7核a赏金塔
64	24223 23435	10	   	271.34	橙5易伤3时间	1策反2459a易伤345时间45序列升级6最后敌人7核8低血量敌人
