0	Index      	 *	Score 	Summary	Detail	
1	11436 13168	 * 	301.70	橙橙4易伤	1基础对甲2加一3平台469a易伤5基地爆炸78核
2	11436 13134	   	301.61	橙橙3易伤1伤害	1基础对甲2加一3平台46a易伤5基地爆炸78核9伤害
3	11436 13138	 * 	295.74	橙橙2易伤2伤害	1基础对甲2加一3平台46易伤5基地爆炸78核9a伤害
4	11436 13161	   	289.86	橙橙3易伤	1基础对甲2加一3平台469易伤5基地爆炸78核a时间
5	11436 63134	   	283.35	橙橙2易伤1伤害2平台	1基础对甲2加一36平台4a易伤5基地爆炸78核9伤害
6	11436 13144	   	281.55	橙橙3易伤	1基础对甲2加一3平台46a易伤5基地爆炸78核9等级
7	11436 13164	   	281.55	橙橙3易伤	1基础对甲2加一3平台469易伤5基地爆炸78核a低血量敌人
8	11436 13167	   	281.55	橙橙3易伤	1基础对甲2加一3平台469易伤5基地爆炸78核a最后敌人
9	11436 13174	   	281.55	橙橙3易伤	1基础对甲2加一3平台46a易伤5基地爆炸78核9金币生成
10	11436 13183	   	281.55	橙橙3易伤	1基础对甲2加一3平台46a易伤5基地爆炸78核9赏金邻近
11	11436 43168	   	281.55	橙橙3易伤	1基础对甲2加一3平台49a易伤5基地爆炸6立即金币78核
12	11436 13154	   	281.45	橙橙3易伤	1基础对甲2加一3平台46a易伤5基地爆炸78核9技能点
13	11436 13162	   	281.45	橙橙3易伤	1基础对甲2加一3平台469易伤5基地爆炸78核a激光减费
14	11436 13163	   	281.45	橙橙3易伤	1基础对甲2加一3平台469易伤5基地爆炸78核a技能点
15	11436 13165	   	281.45	橙橙3易伤1策反	1基础对甲2加一3平台469易伤5基地爆炸78核a策反
16	11436 13166	   	281.45	橙橙3易伤	1基础对甲2加一3平台469易伤5基地爆炸78核a多重对愈
17	11436 13133	   	278.15	橙橙2易伤1伤害	1基础对甲2加一3平台46易伤5基地爆炸78核9伤害a寒冰对甲
18	11436 13135	   	278.15	橙橙2易伤1伤害	1基础对甲2加一3平台46易伤5基地爆炸78核9伤害a技能
19	11436 13136	   	278.15	橙橙2易伤1伤害	1基础对甲2加一3平台46易伤5基地爆炸78核9伤害a最后敌人
20	11436 13148	   	278.15	橙橙2易伤1伤害	1基础对甲2加一3平台46易伤5基地爆炸78核9等级a伤害
21	11436 13178	   	278.15	橙橙2易伤1伤害	1基础对甲2加一3平台46易伤5基地爆炸78核9金币生成a伤害
22	11436 43134	   	278.15	橙橙2易伤1伤害	1基础对甲2加一3平台4a易伤5基地爆炸6立即金币78核9伤害
23	11436 13131	   	278.05	橙橙2易伤1伤害	1基础对甲2加一3平台46易伤5基地爆炸78核9伤害a技能点
24	11436 13132	   	278.05	橙橙2易伤1伤害	1基础对甲2加一3平台46易伤5基地爆炸78核9伤害a掉矿
25	11436 13137	   	278.05	橙橙2易伤1伤害	1基础对甲2加一3平台46易伤5基地爆炸78核9伤害a散射对甲
26	11436 13158	   	278.05	橙橙2易伤1伤害	1基础对甲2加一3平台46易伤5基地爆炸78核9技能点a伤害
27	11436 13141	   	275.62	橙橙2易伤1矿等	1基础对甲2加一3平台46易伤5基地爆炸78核9等级a矿等
28	11436 13171	   	275.62	橙橙2易伤1矿等	1基础对甲2加一3平台46易伤5基地爆炸78核9金币生成a矿等
29	11436 13151	   	275.52	橙橙2易伤1矿等	1基础对甲2加一3平台46易伤5基地爆炸78核9技能点a矿等
30	21426 53233	 * 	275.05	橙5易伤3伤害	149技能2367a易伤567伤害67序列升级8核
31	21426 53211	   	274.95	橙5易伤3伤害	14技能2367a易伤567伤害67序列升级8核9加一
32	11436 63138	   	272.86	橙橙2伤害1易伤2平台	1基础对甲2加一36平台4易伤5基地爆炸78核9a伤害
33	21461 13224	   	271.89	橙橙3易伤	1技能235易伤45等级5序列升级6挖尘7a核8技能点9多重对甲
