0	Index      	 *	Score 	Summary	Detail	
1	43331 14221	 * 	278.51	橙3易伤2伤害3时间1攻速1暴击1平台	15a易伤2平台35a时间4额外掉落5a序列升级6暴击7攻速8核9a伤害
2	12412 32521	 * 	273.04	橙橙2易伤2时间1平台	1赏金塔26时间3挖尘4防空对甲56易伤6序列升级7平台89核a雷电
3	12412 32522	   	273.04	橙橙2易伤2时间1平台	1赏金塔26时间3挖尘4防空对甲56易伤6序列升级7平台89核a随机矿
4	12412 32523	   	273.04	橙橙2易伤2时间1平台	1赏金塔26时间3挖尘4防空对甲56易伤6序列升级7平台89核a低血量敌人
5	12134 11524	   	273.04	橙橙2易伤2时间1平台	1赏金塔2a时间3平台4导弹对绿5a易伤6a技能点7随机矿89核a序列升级
6	12134 21524	   	273.04	橙橙2易伤2时间1平台	1赏金塔2a时间3平台4导弹对绿5a易伤6a掉矿7随机矿89核a序列升级
7	12161 31524	   	273.04	橙橙2易伤2时间1平台	1赏金塔2a时间3平台4掉矿5a易伤6a毒液对黄7随机矿89核a序列升级
8	12412 32524	   	272.94	橙橙2易伤2时间1平台	1赏金塔26时间3挖尘4防空对甲56易伤6序列升级7平台89核a激光对愈
9	12412 32525	   	272.94	橙橙2易伤2时间1平台1策反	1赏金塔26时间3挖尘4防空对甲56易伤6序列升级7平台89核a策反
10	12412 32526	   	272.94	橙橙2易伤2时间1平台	1赏金塔26时间3挖尘4防空对甲56易伤6序列升级7平台89核a技能点
11	43331 14262	 * 	272.15	橙3易伤2攻速2暴击1矿等2时间1平台	159易伤2平台35时间4额外掉落59序列升级69暴击79攻速8核a矿等
12	43323 44321	 * 	268.04	橙橙1易伤2暴击1全技能1平台	1易伤2平台3时间49暴击5等级6a核7全技能8加农对毒
13	13512 32521	   	266.59	橙橙2易伤1平台	1赏金塔26基地爆炸3时间4防空对甲56易伤6序列升级7平台89核a雷电
14	13512 32522	   	266.59	橙橙2易伤1平台	1赏金塔26基地爆炸3时间4防空对甲56易伤6序列升级7平台89核a随机矿
15	13512 32523	   	266.59	橙橙2易伤1平台	1赏金塔26基地爆炸3时间4防空对甲56易伤6序列升级7平台89核a低血量敌人
16	13512 32524	   	266.49	橙橙2易伤1平台	1赏金塔26基地爆炸3时间4防空对甲56易伤6序列升级7平台89核a激光对愈
17	13512 32525	   	266.49	橙橙2易伤1平台1策反	1赏金塔26基地爆炸3时间4防空对甲56易伤6序列升级7平台89核a策反
18	13512 32526	   	266.49	橙橙2易伤1平台	1赏金塔26基地爆炸3时间4防空对甲56易伤6序列升级7平台89核a技能点
19	12265 14311	   	266.49	橙橙1易伤1矿等2时间1暴击	1赏金塔23时间3序列升级4双倍物品5矿等68核7易伤9等级a暴击
20	12265 14331	   	266.39	橙橙1易伤1矿等2时间1暴击	1赏金塔23时间3序列升级4双倍物品5矿等68核7易伤9掉矿a暴击
21	12265 14321	   	262.50	橙橙1易伤1矿等2时间1全技能	1赏金塔23时间3序列升级4双倍物品5矿等68核7易伤9寒冰对冰a全技能
22	43332 12536	 * 	258.58	橙橙1易伤1伤害1平台	1易伤2平台3时间4额外掉落5敌人爆炸6赏金塔7a核8伤害9赏金邻近
23	13161 31524	   	258.19	橙橙2易伤1平台	1赏金塔2a基地爆炸3平台4掉矿5a易伤6a毒液对黄7随机矿89核a序列升级
24	13412 32521	   	258.19	橙橙2易伤1平台	1赏金塔26基地爆炸3挖尘4防空对甲56易伤6序列升级7平台89核a雷电
25	13412 32522	   	258.19	橙橙2易伤1平台	1赏金塔26基地爆炸3挖尘4防空对甲56易伤6序列升级7平台89核a随机矿
26	13412 32523	   	258.19	橙橙2易伤1平台	1赏金塔26基地爆炸3挖尘4防空对甲56易伤6序列升级7平台89核a低血量敌人
27	13412 32524	   	258.09	橙橙2易伤1平台	1赏金塔26基地爆炸3挖尘4防空对甲56易伤6序列升级7平台89核a激光对愈
28	13412 32525	   	258.09	橙橙2易伤1平台1策反	1赏金塔26基地爆炸3挖尘4防空对甲56易伤6序列升级7平台89核a策反
29	13412 32526	   	258.09	橙橙2易伤1平台	1赏金塔26基地爆炸3挖尘4防空对甲56易伤6序列升级7平台89核a技能点
30	12114 32214	   	255.80	橙橙1易伤1矿等1平台1卖塔	1赏金塔2时间3平台4基地爆炸5易伤6a核7矿等8卖塔9赏金邻近
31	12144 32214	   	255.80	橙橙1易伤1矿等1平台1卖塔	1赏金塔2时间3平台4低血量敌人5易伤6a核7矿等8卖塔9赏金邻近
32	43331 14241	   	254.62	橙3易伤2攻速2暴击2时间1平台	15a易伤2平台35时间4额外掉落5a序列升级6a暴击7a攻速8核9随机矿
33	43331 14261	   	254.62	橙3易伤2攻速2暴击2时间1平台	159易伤2平台35时间4额外掉落59序列升级69暴击79攻速8核a基地爆炸
34	43331 14263	   	254.62	橙3易伤2攻速2暴击2时间1平台	159易伤2平台35时间4额外掉落59序列升级69暴击79攻速8核a等级
35	12265 14312	   	252.84	橙橙1易伤1矿等2时间	1赏金塔23时间3序列升级4双倍物品5矿等68核7易伤9等级a金币生成
36	12265 14322	   	252.84	橙橙1易伤1矿等2时间	1赏金塔23时间3序列升级4双倍物品5矿等68核7易伤9寒冰对冰a金币生成
37	12265 14323	   	252.84	橙橙1易伤1矿等2时间	1赏金塔23时间3序列升级4双倍物品5矿等68核7易伤9寒冰对冰a雷电
38	12265 14313	   	252.74	橙橙1易伤1矿等2时间	1赏金塔23时间3序列升级4双倍物品5矿等68核7易伤9等级a导弹对毒
39	12265 14332	   	252.74	橙橙1易伤1矿等2时间	1赏金塔23时间3序列升级4双倍物品5矿等68核7易伤9掉矿a金币生成
40	32341 36421	 * 	252.65	紫橙3易伤1平台	1金币生成2导弹对毒3双倍秒伤49核5平台6等级78a易伤
41	12265 14333	   	252.64	橙橙1易伤1矿等2时间	1赏金塔23时间3序列升级4双倍物品5矿等68核7易伤9掉矿a导弹对毒
42	43323 43135	   	251.82	橙橙1易伤1暴击1平台1策反	1易伤2平台3时间4暴击5等级6a核7策反8金币生成9挖青
43	13265 14311	   	251.63	橙橙1易伤1矿等1暴击	1赏金塔23基地爆炸3序列升级4双倍物品5矿等68核7易伤9等级a暴击
44	13265 14331	   	251.53	橙橙1易伤1矿等1暴击	1赏金塔23基地爆炸3序列升级4双倍物品5矿等68核7易伤9掉矿a暴击
45	16122 25224	   	250.17	橙橙1易伤1伤害1全技能	1赏金塔2雷电3技能点4赏金邻近5易伤68核7全技能9伤害a最后敌人
46	16122 25225	   	250.17	橙橙1易伤1伤害1全技能	1赏金塔2雷电3技能点4赏金邻近5易伤68核7全技能9伤害a金币生成
47	16122 25226	   	250.17	橙橙1易伤1伤害1全技能	1赏金塔2雷电3技能点4赏金邻近5易伤68核7全技能9伤害a敌人爆炸
48	16122 25221	   	250.07	橙橙1易伤1伤害1全技能	1赏金塔2雷电3技能点4赏金邻近5易伤68核7全技能9伤害a挖尘
49	16122 25222	   	250.07	橙橙1易伤1伤害1全技能1挖怪	1赏金塔2雷电3技能点4赏金邻近5易伤68核7全技能9伤害a挖怪
50	16122 25223	   	250.07	橙橙1易伤1伤害1全技能	1赏金塔2雷电3技能点4赏金邻近5易伤68核7全技能9伤害a掉矿
51	43331 14226	   	249.84	橙2易伤2伤害2时间1攻速1暴击1平台	15易伤2平台35时间4额外掉落5序列升级6暴击7攻速8核9a伤害
52	43162 43245	 * 	249.34	橙2易伤2矿等2攻速1伤害1平台	1a易伤2平台3a矿等4伤害5加一6敌人爆炸7赏金邻近8a攻速9核a序列升级
53	13262 14325	   	248.53	橙橙2易伤	1赏金塔23基地爆炸3序列升级4双倍物品5金币生成68核7a易伤9寒冰对冰
54	13262 14331	   	248.53	橙橙2易伤	1赏金塔23基地爆炸3序列升级4双倍物品5金币生成68核79易伤a双倍矿
