0	Index      	 *	Score 	Summary	Detail	
1	42513 13242	 * 	294.54	紫橙5易伤1暴击	17核2最后敌人3458a易伤6挖尘9暴击
2	42513 13241	   	290.54	紫橙4易伤1攻速1暴击	17核2最后敌人3458易伤6挖尘9暴击a攻速
3	42513 63222	   	289.05	紫橙5易伤1卖塔	17核2最后敌人3458a易伤6时间9卖塔
4	42513 63221	   	285.05	紫橙4易伤1攻速1卖塔	17核2最后敌人3458易伤6时间9卖塔a攻速
5	42513 63223	   	285.05	紫橙4易伤1暴击1卖塔	17核2最后敌人3458易伤6时间9卖塔a暴击
6	42513 13243	 * 	283.20	紫橙4易伤2暴击	17核2最后敌人3458易伤6挖尘9a暴击
7	42513 63212	   	281.30	紫橙4易伤1平台	17核2最后敌人3458易伤6时间9低血量敌人a平台
8	42513 63232	   	281.20	紫橙4易伤1平台	17核2最后敌人3458易伤6时间9挖尘a平台
9	33263 26313	 * 	280.93	橙3易伤2伤害2矿等2攻速	1赏金塔2a矿等35攻速45a易伤5a序列升级6敌人爆炸7雷电8a伤害9核
10	33563 26313	   	280.93	橙3易伤2伤害2矿等2攻速	1赏金塔2a矿等35伤害45a易伤5a序列升级6敌人爆炸7雷电8a攻速9核
11	42513 13263	   	280.77	紫橙4易伤1矿等	17核2最后敌人3458易伤6挖尘9喷火对甲a矿等
12	42513 53222	   	280.74	紫橙5易伤1卖塔	17核2最后敌人3458a易伤6敌人爆炸9卖塔
13	42513 13222	   	280.64	紫橙5易伤1卖塔	17核2最后敌人3458a易伤6挖尘9卖塔
14	42513 62323	   	278.79	紫橙3易伤1攻速1暴击	1a核2最后敌人345易伤6时间7技能8暴击9攻速
15	42522 33242	   	276.98	紫橙4易伤1暴击	17核2最后敌人358a易伤46基地爆炸9暴击
16	42513 53221	   	276.74	紫橙4易伤1攻速1卖塔	17核2最后敌人3458易伤6敌人爆炸9卖塔a攻速
17	42513 53223	   	276.74	紫橙4易伤1暴击1卖塔	17核2最后敌人3458易伤6敌人爆炸9卖塔a暴击
18	42513 13221	   	276.64	紫橙4易伤1攻速1卖塔	17核2最后敌人3458易伤6挖尘9卖塔a攻速
19	42513 13223	   	276.64	紫橙4易伤1暴击1卖塔	17核2最后敌人3458易伤6挖尘9卖塔a暴击
20	15122 63241	   	274.56	紫橙3易伤1攻速1平台1策反	1时间2策反369易伤4低血量敌人57核8攻速a平台
21	15132 63241	   	274.56	紫橙3易伤1攻速1平台1策反	1时间2策反369易伤4最后敌人57核8攻速a平台
22	42513 53212	   	273.00	紫橙4易伤1平台	17核2最后敌人3458易伤6敌人爆炸9低血量敌人a平台
