0	Index      	 *	Score 	Summary	Detail	
1	32423 32236	 * 	304.92	橙橙4易伤1伤害1卖塔	1卖塔248a易伤3基地爆炸5挖尘69核7伤害
2	32425 32236	 * 	303.44	橙橙3易伤2伤害1卖塔	1卖塔24a易伤3基地爆炸5低血量敌人69核78伤害
3	32625 32236	 * 	303.34	橙橙3易伤2伤害1卖塔	1卖塔24a易伤3挖青5低血量敌人69核78伤害
4	32623 32236	 * 	303.24	橙橙3易伤2伤害1卖塔	1卖塔24a易伤3挖青5挖尘69核78伤害
5	32424 32235	 * 	300.71	橙橙3易伤1伤害2时间1卖塔	1卖塔248易伤3基地爆炸5a时间69核7伤害
6	32423 36236	 * 	298.51	橙橙4易伤1攻速1卖塔	1卖塔248a易伤3基地爆炸5挖尘69核7攻速
7	51112 25141	 * 	294.20	紫橙3易伤3矿等	169易伤2加一369矿等4立即金币5a核69序列升级79低血量敌人8平台
8	32424 32231	 * 	294.16	橙橙3易伤1伤害1卖塔	1卖塔248易伤3基地爆炸5时间69核7伤害a金币生成
9	32424 32236	 * 	294.16	橙橙3易伤1伤害1卖塔	1卖塔248易伤3基地爆炸5时间69核7伤害a激光对冰
10	32423 32235	 * 	294.06	橙橙3易伤1伤害1卖塔	1卖塔248易伤3基地爆炸5挖尘69核7伤害a时间
11	32424 32232	 * 	294.06	橙橙3易伤1伤害1卖塔	1卖塔248易伤3基地爆炸5时间69核7伤害a散射对甲
12	32424 32233	 * 	294.06	橙橙3易伤1伤害1卖塔1挖怪	1卖塔248易伤3基地爆炸5时间69核7伤害a挖怪
13	32424 32234	 * 	294.06	橙橙3易伤1伤害1卖塔	1卖塔248易伤3基地爆炸5时间69核7伤害a双倍秒伤
14	32425 32235	 * 	289.61	橙橙2易伤2伤害1卖塔	1卖塔24易伤3基地爆炸5低血量敌人69核78伤害a时间
15	32625 32235	 * 	289.51	橙橙2易伤2伤害1卖塔	1卖塔24易伤3挖青5低血量敌人69核78伤害a时间
16	32623 32235	 * 	289.41	橙橙2易伤2伤害1卖塔	1卖塔24易伤3挖青5挖尘69核78伤害a时间
17	32623 32133	 * 	289.35	橙橙2易伤1伤害1矿等1卖塔	1卖塔24易伤3挖青5挖尘69核7伤害8时间a矿等
18	32424 36231	 * 	287.75	橙橙3易伤1攻速1卖塔	1卖塔248易伤3基地爆炸5时间69核7攻速a金币生成
19	32423 36235	 * 	287.65	橙橙3易伤1攻速1卖塔	1卖塔248易伤3基地爆炸5挖尘69核7攻速a时间
20	32424 36232	 * 	287.65	橙橙3易伤1攻速1卖塔	1卖塔248易伤3基地爆炸5时间69核7攻速a散射对甲
21	32424 36233	 * 	287.65	橙橙3易伤1攻速1卖塔1挖怪	1卖塔248易伤3基地爆炸5时间69核7攻速a挖怪
22	32423 32231	 * 	285.75	橙橙3易伤1伤害1卖塔	1卖塔248易伤3基地爆炸5挖尘69核7伤害a金币生成
23	21322 32134	 * 	285.72	橙橙2易伤1伤害1暴击	1金币生成2暴击3挖尘4a易伤5掉矿69核7伤害8时间
24	32423 32232	 * 	285.65	橙橙3易伤1伤害1卖塔	1卖塔248易伤3基地爆炸5挖尘69核7伤害a散射对甲
25	32423 32233	 * 	285.65	橙橙3易伤1伤害1卖塔1挖怪	1卖塔248易伤3基地爆炸5挖尘69核7伤害a挖怪
26	32423 32234	 * 	285.65	橙橙3易伤1伤害1卖塔	1卖塔248易伤3基地爆炸5挖尘69核7伤害a双倍秒伤
27	32624 32135	   	283.48	橙橙2易伤3时间1伤害1卖塔	1卖塔24易伤3挖青58a时间69核7伤害
28	51134 34672	   	283.19	橙橙2易伤1矿等1攻速	1a易伤2加一3矿等4时间5加农对毒69核7攻速8激光对冰
29	51134 34472	   	283.09	橙橙2易伤1矿等1攻速	1a易伤2加一3矿等4时间5加农对毒69核7攻速8激光对绿
30	51173 34472	   	283.09	橙橙2易伤1矿等1攻速	1a易伤2加一3矿等4机枪对壮5时间69核7攻速8激光对绿
31	32623 36133	   	282.94	橙橙2易伤1矿等1攻速1卖塔	1卖塔24易伤3挖青5挖尘69核7攻速8时间a矿等
32	32623 32135	   	281.48	橙橙2易伤1伤害1卖塔	1卖塔24易伤3挖青5挖尘69核7伤害8时间a平台
33	51434 34381	 * 	281.45	橙橙2易伤2伤害	17易伤2加一3双倍秒伤4多重对甲578最后敌人67伤害7序列升级9a核
34	32425 32231	   	281.30	橙橙2易伤2伤害1卖塔	1卖塔24易伤3基地爆炸5低血量敌人69核78伤害a金币生成
35	32625 32231	   	281.20	橙橙2易伤2伤害1卖塔	1卖塔24易伤3挖青5低血量敌人69核78伤害a金币生成
36	32425 32232	   	281.20	橙橙2易伤2伤害1卖塔	1卖塔24易伤3基地爆炸5低血量敌人69核78伤害a散射对甲
37	32425 32233	   	281.20	橙橙2易伤2伤害1卖塔1挖怪	1卖塔24易伤3基地爆炸5低血量敌人69核78伤害a挖怪
38	32425 32234	   	281.20	橙橙2易伤2伤害1卖塔	1卖塔24易伤3基地爆炸5低血量敌人69核78伤害a双倍秒伤
39	32623 32231	   	281.10	橙橙2易伤2伤害1卖塔	1卖塔24易伤3挖青5挖尘69核78伤害a金币生成
40	32625 32232	   	281.10	橙橙2易伤2伤害1卖塔	1卖塔24易伤3挖青5低血量敌人69核78伤害a散射对甲
41	32625 32233	   	281.10	橙橙2易伤2伤害1卖塔1挖怪	1卖塔24易伤3挖青5低血量敌人69核78伤害a挖怪
42	32625 32234	   	281.10	橙橙2易伤2伤害1卖塔	1卖塔24易伤3挖青5低血量敌人69核78伤害a双倍秒伤
43	32623 32232	   	281.00	橙橙2易伤2伤害1卖塔	1卖塔24易伤3挖青5挖尘69核78伤害a散射对甲
44	32623 32233	   	281.00	橙橙2易伤2伤害1卖塔1挖怪	1卖塔24易伤3挖青5挖尘69核78伤害a挖怪
45	32623 32234	   	281.00	橙橙2易伤2伤害1卖塔	1卖塔24易伤3挖青5挖尘69核78伤害a双倍秒伤
46	51112 27381	   	280.17	紫橙2易伤3矿等	16易伤2加一367矿等4立即金币5a核6序列升级8平台9时间
47	32423 36231	 * 	279.34	橙橙3易伤1攻速1卖塔	1卖塔248易伤3基地爆炸5挖尘69核7攻速a金币生成
48	21322 36134	   	279.30	橙橙2易伤1攻速1暴击	1金币生成2暴击3挖尘4a易伤5掉矿69核7攻速8时间
49	32423 36232	 * 	279.24	橙橙3易伤1攻速1卖塔	1卖塔248易伤3基地爆炸5挖尘69核7攻速a散射对甲
50	32423 36233	 * 	279.24	橙橙3易伤1攻速1卖塔1挖怪	1卖塔248易伤3基地爆炸5挖尘69核7攻速a挖怪
51	32423 36234	 * 	279.24	橙橙3易伤1攻速1卖塔	1卖塔248易伤3基地爆炸5挖尘69核7攻速a双倍秒伤
52	32624 32131	   	278.47	橙橙2易伤1伤害2时间1卖塔	1卖塔24易伤3挖青58时间69核7伤害a金币生成
53	32624 32136	   	278.47	橙橙2易伤1伤害2时间1卖塔	1卖塔24易伤3挖青58时间69核7伤害a激光对冰
54	32624 32132	   	278.37	橙橙2易伤1伤害2时间1卖塔	1卖塔24易伤3挖青58时间69核7伤害a散射对甲
55	32624 32133	   	278.37	橙橙2易伤1伤害2时间1卖塔1挖怪	1卖塔24易伤3挖青58时间69核7伤害a挖怪
56	32624 32134	   	278.37	橙橙2易伤1伤害2时间1卖塔	1卖塔24易伤3挖青58时间69核7伤害a双倍秒伤
57	53143 12163	   	277.97	紫橙3易伤1矿等1暴击	15a易伤2基地爆炸3矿等49核6暴击7全技能8最后敌人
58	51613 34532	 * 	275.50	橙橙3易伤	135易伤2加一3序列升级4全技能6立即金币7a核8寒冰对冰9电塔对黄
59	32623 36135	   	275.07	橙橙2易伤1攻速1卖塔	1卖塔24易伤3挖青5挖尘69核7攻速8时间a平台
