0	Index      	 *	Score 	Summary	Detail	
1	23245 36323	 * 	310.40	紫橙4易伤3矿等1卖塔	145矿等2a核3456易伤456序列升级7金币生成8挖尘9卖塔
2	23243 16312	 * 	308.05	紫橙3易伤2矿等1暴击	14矿等2a核348易伤4序列升级5平台6金币生成7时间9暴击
3	23243 15312	   	299.74	紫橙3易伤2矿等1暴击	14矿等2a核348易伤4序列升级5平台6金币生成7敌人爆炸9暴击
4	23243 52312	   	299.74	紫橙3易伤2矿等1暴击	14矿等2a核348易伤4序列升级5平台6随机矿7低血量敌人9暴击
5	23243 25312	   	299.64	紫橙3易伤2矿等1暴击	14矿等2a核348易伤4序列升级5平台6挖青7等级9暴击
6	21215 12156	 * 	295.98	橙橙2易伤1伤害1矿等	1矿等26易伤3赏金塔46敌人爆炸5平台6序列升级7伤害8a核9基地爆炸
7	23243 16412	   	291.13	紫橙2易伤2矿等2时间1暴击	14矿等2a核34易伤4序列升级5平台6金币生成78时间9暴击
8	23242 41632	   	290.80	紫橙2易伤2矿等2暴击	14矿等2a核34易伤4序列升级5时间69暴击7技能点8平台
9	23242 42622	   	289.78	紫橙2易伤2矿等2平台1暴击	14矿等2a核34易伤4序列升级5时间6暴击7等级89平台
10	23241 63163	 * 	289.77	紫4易伤3矿等2伤害3时间	147矿等2核347a易伤47a序列升级5全技能678时间9a伤害
11	23242 42612	   	284.58	紫橙2易伤2矿等1暴击	14矿等2a核34易伤4序列升级5时间6暴击79等级8平台
12	23242 42632	   	284.58	紫橙2易伤2矿等1暴击	14矿等2a核34易伤4序列升级5时间6暴击7等级8平台9双倍矿
13	23243 16512	   	284.58	紫橙2易伤2矿等1暴击	14矿等2a核34易伤4序列升级5平台68金币生成7时间9暴击
14	23242 21345	   	284.53	紫橙3易伤2矿等	14矿等29核34a易伤4序列升级5时间6技能7掉矿8加农对甲
15	23243 43412	   	284.48	紫橙2易伤2矿等1暴击	14矿等2a核34易伤4序列升级5平台6激光减费7时间8等级9暴击
16	21332 53541	 * 	284.05	橙橙1易伤2攻速1伤害1矿等	1矿等2易伤3挖青4技能点58攻速69核7寒冰对甲a伤害
17	23231 14662	   	284.03	紫橙3易伤1矿等1暴击	1矿等2a核357易伤4暴击6低血量敌人8金币生成9平台
18	23231 24562	   	283.93	紫橙3易伤1矿等1暴击	1矿等2a核357易伤4暴击6最后敌人8技能点9平台
19	43231 14162	   	283.93	紫橙3易伤1矿等1暴击	1技能点2a核357易伤4暴击6低血量敌人8矿等9平台
20	43231 24162	   	283.93	紫橙3易伤1矿等1暴击	1技能点2a核357易伤4暴击6最后敌人8矿等9平台
21	23243 56332	   	282.49	紫橙2易伤2矿等2暴击	14矿等2a核34易伤4序列升级5平台6随机矿79暴击8挖尘
22	23243 53112	   	281.47	紫橙2易伤2矿等2平台1暴击	14矿等2a核34易伤4序列升级57平台6随机矿8低血量敌人9暴击
23	23243 53412	   	281.47	紫橙2易伤2矿等2平台1暴击	14矿等2a核34易伤4序列升级57平台6随机矿8敌人爆炸9暴击
24	23243 53212	   	281.37	紫橙2易伤2矿等2平台1暴击	14矿等2a核34易伤4序列升级57平台6随机矿8挖尘9暴击
25	23242 21341	   	281.13	紫橙2易伤2矿等1伤害	14矿等29核34易伤4序列升级5时间6技能7掉矿8加农对甲a伤害
