0	Index      	 *	Score 	Summary	Detail	
1	62334 13152	 * 	281.25	橙橙2易伤1伤害1矿等1策反	1伤害2雷电3赏金塔4策反5矿等69核7a易伤8立即金币
2	62334 13252	 * 	281.00	橙橙2易伤1伤害1矿等2策反	1伤害2雷电3赏金塔48策反5矿等69核7a易伤
3	62343 17232	 * 	272.68	橙橙2伤害1易伤1矿等	14伤害2雷电3赏金塔5加一69核7导弹对绿8矿等a易伤
4	62334 12152	   	272.63	橙橙2伤害1易伤1矿等1策反	17伤害2雷电3赏金塔4策反5矿等69核8基地爆炸a易伤
5	62334 13153	 * 	270.65	橙橙2矿等1易伤1伤害1策反	1伤害2雷电3赏金塔4策反5a矿等69核7易伤8立即金币
6	62334 13253	 * 	270.41	橙橙2矿等1易伤1伤害2策反	1伤害2雷电3赏金塔48策反5a矿等69核7易伤
7	22121 21566	 * 	266.19	紫橙2易伤2伤害1攻速	1随机矿27伤害39核4等级57挖尘67易伤7序列升级8双倍秒伤a攻速
8	22111 21566	   	266.09	紫橙2易伤2伤害1攻速	1随机矿27伤害39核4掉矿57挖尘67易伤7序列升级8双倍秒伤a攻速
9	62131 13152	 * 	263.72	橙橙2易伤1伤害1策反	1伤害2雷电3等级4策反5赏金塔69核7a易伤8立即金币
10	63324 12381	 * 	263.66	橙橙2易伤1伤害	1伤害2等级3低血量敌人46易伤5加一7掉矿8a核9喷火对黄
11	12231 13152	   	263.61	橙橙2易伤1伤害1策反	1掉矿2雷电3伤害4策反5赏金塔69核7a易伤8立即金币
12	12231 13652	   	263.52	橙橙2易伤1伤害1策反	18掉矿2雷电3伤害4策反5赏金塔69核7a易伤
13	62131 13252	   	263.47	橙橙2易伤1伤害2策反	1伤害2雷电3等级48策反5赏金塔69核7a易伤
14	12231 13252	   	263.37	橙橙2易伤1伤害2策反	1掉矿2雷电3伤害48策反5赏金塔69核7a易伤
15	34313 43251	   	258.44	橙橙1易伤1矿等1暴击1平台	1等级2平台3低血量敌人4立即金币5导弹对黄6a核7矿等8暴击9易伤
16	14333 14111	   	258.24	橙橙1易伤1矿等1暴击1平台	1掉矿2平台3矿等4挖尘5多重对愈6易伤7a核8暴击9双倍矿
