0	Index      	 *	Score 	Summary	Detail	
1	32311 51265	 * 	233.91	DCR|2VULN|2ASPD|1AART|2CDMG|1DMG|1DUR	12CDMG|2BPWR|3DUR|4DMG|59ASPD|6RCR|7aVULN|8AART
2	32311 51261	 * 	231.11	DCR|2DMG|2ASPD|1VULN|1AART|2CDMG|1DUR	12CDMG|2BPWR|3DUR|4aDMG|59ASPD|6RCR|7VULN|8AART
3	31531 51633	 * 	229.35	DCR|3DMG|2VULN|2CDMG|1ASPD|1DUR	19CDMG|2MLV|389DMG|4CGEN|5ASPD|6RCR|79VULN|9BPWR|aDUR
4	56613 11111	 * 	225.02	DCR|3VULN|3DMG|1AART|1DUR	129DMG|3AART|49ERES|5LIT|6DUR|7RCR|89aVULN|9BPWR
5	32311 51512	   	223.83	DCR|2VULN|2DMG|2CDMG|1ASPD|1ZMB|1DUR	12CDMG|2BPWR|3DUR|4aDMG|5ASPD|6RCR|78VULN|9ZMB
6	31531 51533	 * 	223.22	DCR|3VULN|2DMG|2CDMG|1ASPD	19CDMG|2MLV|39DMG|4CGEN|5ASPD|6RCR|789VULN|9BPWR|aRMIN
7	31531 51531	   	223.12	DCR|3VULN|2DMG|2CDMG|1ASPD|1MSE	19CDMG|2MLV|39DMG|4CGEN|5ASPD|6RCR|789VULN|9BPWR|aMSE
8	31531 51532	   	223.12	DCR|3VULN|2DMG|2CDMG|1ASPD	19CDMG|2MLV|39DMG|4CGEN|5ASPD|6RCR|789VULN|9BPWR|aERES
9	32311 51266	 * 	222.89	DCR|1MDPS|2ASPD|1VULN|1AART|2CDMG|1DMG|1DUR	12CDMG|2BPWR|3DUR|4DMG|59ASPD|6RCR|7VULN|8AART|aMDPS
10	32411 51261	   	222.81	DCR|2DMG|2ASPD|1VULN|1AART|2CDMG	12CDMG|2BPWR|3LWND|4aDMG|59ASPD|6RCR|7VULN|8AART
11	32311 54531	 * 	222.26	DCR|2VULN|2DMG|3CDMG|1ASPD|1DUR	12aCDMG|2aBPWR|3DUR|4aDMG|5ASPD|6RCR|7RCVC|8TSLFST|9aVULN
12	32311 51354	   	222.14	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD|2DUR	12CDMG|2BPWR|38DUR|49DMG|5ASPD|6RCR|7VULN|aAART
13	31531 51631	   	221.04	DCR|3DMG|2VULN|2CDMG|1ASPD	19CDMG|2MLV|389DMG|4CGEN|5ASPD|6RCR|79VULN|9BPWR|aLWND
14	31531 51632	   	221.04	DCR|3DMG|2VULN|2CDMG|1ASPD	19CDMG|2MLV|389DMG|4CGEN|5ASPD|6RCR|79VULN|9BPWR|aLIT
15	32311 51531	   	220.75	DCR|2VULN|2DMG|3CDMG|1ASPD|1DUR	12aCDMG|2aBPWR|3DUR|4aDMG|5ASPD|6RCR|78VULN|9aMULARM
16	32311 51511	   	220.46	DCR|2VULN|2ASPD|2CDMG|1DMG|1ZMB|1DUR	12CDMG|2BPWR|3DUR|4DMG|5aASPD|6RCR|78VULN|9ZMB
17	32311 51223	   	219.69	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	12CDMG|2BPWR|3DUR|4DMG|5ASPD|6RCR|7aVULN|8AART|9LWND
18	32311 51241	   	219.69	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	12CDMG|2BPWR|3DUR|4DMG|5ASPD|6RCR|7aVULN|8AART|9BELT
19	32311 51612	   	219.10	DCR|3DMG|1VULN|2CDMG|1ASPD|1ZMB|1DUR	12CDMG|2BPWR|3DUR|48aDMG|5ASPD|6RCR|7VULN|9ZMB
20	31111 51265	   	218.17	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1CDMG|2MLV|3AME|4DMG|59ASPD|6RCR|7aVULN|8AART
21	56341 23221	   	217.72	DCR|3DMG|2VULN|1ASPD|1CDMG|1DUR	127DMG|3LWND|4CDMG|5ASPD|6aVULN|8RCR|9DUR
22	32311 51611	   	217.67	DCR|2DMG|2ASPD|1VULN|2CDMG|1ZMB|1DUR	12CDMG|2BPWR|3DUR|48DMG|5aASPD|6RCR|7VULN|9ZMB
23	32536 13152	   	216.92	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD|1ZMB	12CDMG|2BPWR|3ASPD|4LHND|5aDMG|6AART|7RCR|8ZMB|9VULN
24	32311 51212	   	216.89	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD|1DUR	12CDMG|2BPWR|3DUR|4aDMG|5ASPD|6RCR|7VULN|8AART|9MLV
25	32311 51252	   	216.89	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD|1DUR	12CDMG|2BPWR|3DUR|4aDMG|5ASPD|6RCR|7VULN|8AART|9RMIN
26	32311 51232	   	216.79	DCR|2DMG|1VULN|2CDMG|1AART|1ASPD|1DUR	12CDMG|2BPWR|3DUR|4aDMG|5ASPD|6RCR|7VULN|8AART|9ERES
27	32314 51262	   	216.79	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD|1AAC|1DUR	12CDMG|2BPWR|3DUR|4aDMG|5AAC|6RCR|7VULN|8AART|9ASPD
28	32311 51631	 * 	216.02	DCR|3DMG|3CDMG|1VULN|1ASPD|1DUR	12aCDMG|2aBPWR|3DUR|48aDMG|5ASPD|6RCR|7VULN|9aMULARM
29	32411 51512	   	215.52	DCR|2VULN|2DMG|2CDMG|1ASPD|1ZMB	12CDMG|2BPWR|3LWND|4aDMG|5ASPD|6RCR|78VULN|9ZMB
30	32311 51254	 * 	215.38	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG|1DUR	12CDMG|2BPWR|3DUR|4DMG|5ASPD|6RCR|7VULN|8aAART|9RMIN
31	31111 51261	   	215.38	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	1CDMG|2MLV|3AME|4aDMG|59ASPD|6RCR|7VULN|8AART
32	31531 51261	   	215.38	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	1CDMG|2MLV|3aDMG|4CGEN|59ASPD|6RCR|7VULN|8AART
33	36111 51261	   	215.38	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	1CDMG|2CGEN|3AME|4aDMG|59ASPD|6RCR|7VULN|8AART
34	32361 13552	   	214.89	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD|1DUR	12CDMG|2BPWR|3DUR|4CGEN|5ASPD|6AART|7RCR|8aDMG|9VULN
35	32161 13552	   	214.79	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD|1DUR	12CDMG|2BPWR|3TLV|4DUR|5ASPD|6AART|7RCR|8aDMG|9VULN
36	32311 51653	   	214.01	DCR|3DMG|1VULN|2CDMG|1ASPD|2DUR	12CDMG|2BPWR|3aDUR|489DMG|5ASPD|6RCR|7VULN
37	31111 51534	   	213.94	DCR|3VULN|2CDMG|1ASPD|1DMG|1DUR	19CDMG|2MLV|39AME|4DMG|5ASPD|6RCR|789VULN|9BPWR|aDUR
38	32311 51263	   	213.85	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG|1DUR	12CDMG|2BPWR|3DUR|4DMG|59ASPD|6RCR|7VULN|8AART|aRCVC
39	32311 51526	   	213.74	DCR|3VULN|2CDMG|1ASPD|1DMG|1DUR	12CDMG|2BPWR|3DUR|4DMG|5ASPD|6RCR|78aVULN|9FEWX
40	32311 52525	   	213.74	DCR|3VULN|2CDMG|1ASPD|1DMG|1DUR	12CDMG|2BPWR|3DUR|4DMG|5ASPD|6RCR|7MLV|89aVULN
41	31111 51634	   	213.70	DCR|2VULN|2DMG|2CDMG|1ASPD|1DUR	19CDMG|2MLV|39AME|48DMG|5ASPD|6RCR|79VULN|9BPWR|aDUR
42	36212 46233	 * 	213.64	ACR|3VULN|3ASPD|3CDMG|1DMG	19aCDMG|25CGEN|3RCR|49aVULN|6DMG|7ERES|89aASPD|9aBPWR
43	56341 23213	 * 	213.59	DCR|3DMG|2ASPD|1VULN|1CDMG|1ZMB	127DMG|3LWND|4CDMG|5aASPD|6VULN|8RCR|9ZMB
44	32311 51262	   	213.52	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG|1DUR	12CDMG|2BPWR|3DUR|4DMG|59ASPD|6RCR|7VULN|8AART|aLHND
45	32311 53265	   	213.52	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG|1DUR	12CDMG|2BPWR|3DUR|4DMG|59ASPD|6RCR|7LHND|8AART|aVULN
46	32311 51553	   	213.50	DCR|2VULN|2DMG|2CDMG|1ASPD|1DUR	12CDMG|2BPWR|3DUR|49DMG|5ASPD|6RCR|78VULN|aRMIN
47	32311 51626	   	213.50	DCR|2VULN|2DMG|2CDMG|1ASPD|1DUR	12CDMG|2BPWR|3DUR|48DMG|5ASPD|6RCR|7aVULN|9FEWX
48	32311 52522	   	213.50	DCR|2VULN|2DMG|2CDMG|1ASPD|1DUR	12CDMG|2BPWR|3DUR|4aDMG|5ASPD|6RCR|7MLV|89VULN
49	32361 51622	   	213.50	DCR|2VULN|2DMG|2CDMG|1ASPD|1DUR	12CDMG|2BPWR|3DUR|4CGEN|5ASPD|6RCR|79VULN|8aDMG
50	32311 51264	   	213.42	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG|1DUR|1MSE	12CDMG|2BPWR|3DUR|4DMG|59ASPD|6RCR|7VULN|8AART|aMSE
51	32161 51622	   	213.40	DCR|2VULN|2DMG|2CDMG|1ASPD|1DUR	12CDMG|2BPWR|3TLV|4DUR|5ASPD|6RCR|79VULN|8aDMG
52	32311 51551	   	213.40	DCR|2VULN|2DMG|2CDMG|1ASPD|1DUR|1MSE	12CDMG|2BPWR|3DUR|49DMG|5ASPD|6RCR|78VULN|aMSE
53	32311 51552	   	213.40	DCR|2VULN|2DMG|2CDMG|1ASPD|1DUR	12CDMG|2BPWR|3DUR|49DMG|5ASPD|6RCR|78VULN|aERES
54	31531 23636	   	212.94	DCR|3DMG|2VULN|2CDMG|1ASPD	19CDMG|2MLV|379DMG|4CGEN|5ASPD|69VULN|8LEGI|9BPWR|aRCR
55	32311 51356	   	212.58	DCR|2DMG|2ASPD|1VULN|2CDMG|2DUR	12CDMG|2BPWR|38DUR|49DMG|5aASPD|6RCR|7VULN
56	32411 51531	   	212.44	DCR|2VULN|2DMG|3CDMG|1ASPD	12aCDMG|2aBPWR|3LWND|4aDMG|5ASPD|6RCR|78VULN|9aMULARM
57	32312 61331	 * 	212.28	DCR|2DMG|3CDMG|1VULN|1AART|3DUR	126CDMG|29BPWR|389DUR|49DMG|5AART|7RCR|aVULN
58	32411 51511	   	212.15	DCR|2VULN|2ASPD|2CDMG|1DMG|1ZMB	12CDMG|2BPWR|3LWND|4DMG|5aASPD|6RCR|78VULN|9ZMB
59	34511 51122	   	211.97	DCR|3DMG|2VULN|2CDMG|1ZMB	1aCDMG|2ZMB|34aDMG|5LEGI|6RCR|7aVULN|8BELT|9RCVC|aBPWR
60	34513 51223	 * 	211.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|2ZMB|34DMG|5LHND|6RCR|7aVULN|8AART|9LWND
61	66324 21321	 * 	211.80	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1CGEN|2aDMG|3BEXP|4ASPD|5aAME|6DUR|7RCR|8aVULN|9AART|aBPWR
62	34511 51223	   	211.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|2ZMB|34DMG|5LEGI|6RCR|7aVULN|8AART|9LWND
63	26324 21321	   	211.70	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1TLV|2aDMG|3BEXP|4ASPD|5aAME|6DUR|7RCR|8aVULN|9AART|aBPWR
64	26326 21321	   	211.70	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1TLV|2aDMG|3BEXP|4ASPD|5aCGEN|6DUR|7RCR|8aVULN|9AART|aBPWR
65	42425 21221	   	211.70	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1FEWX|2aAME|3ERES|4ASPD|5aDMG|6DUR|7RCR|8aVULN|9AART|aBPWR
66	26224 61321	   	211.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1TLV|2aDMG|3DUST|4ASPD|5aAME|6DUR|7RCR|8aVULN|9AART|aBPWR
67	26226 61321	   	211.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1TLV|2aDMG|3DUST|4ASPD|5aCGEN|6DUR|7RCR|8aVULN|9AART|aBPWR
68	32361 13641	   	211.52	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG|1DUR	12CDMG|2BPWR|3DUR|4CGEN|58ASPD|6AART|7RCR|9VULN|aDMG
69	34513 51212	   	211.49	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|34DMG|5LHND|6RCR|7VULN|8AART|9MLV|aASPD
70	32161 13641	   	211.42	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG|1DUR	12CDMG|2BPWR|3TLV|4DUR|58ASPD|6AART|7RCR|9VULN|aDMG
71	34511 51212	   	211.39	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|34DMG|5LEGI|6RCR|7VULN|8AART|9MLV|aASPD
72	34513 51232	   	211.39	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|34DMG|5LHND|6RCR|7VULN|8AART|9ERES|aASPD
73	32411 51225	   	211.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	12CDMG|2BPWR|39LWND|4DMG|5ASPD|6RCR|7aVULN|8AART
74	32411 51241	   	211.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	12CDMG|2BPWR|3LWND|4DMG|5ASPD|6RCR|7aVULN|8AART|9BELT
75	32536 51223	   	211.38	DCR|2VULN|1AART|2CDMG|1DMG|1ASPD	12CDMG|2BPWR|3ASPD|4LHND|5DMG|6RCR|7aVULN|8AART|9LWND
76	34511 51232	   	211.29	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|34DMG|5LEGI|6RCR|7VULN|8AART|9ERES|aASPD
77	32411 51612	   	210.80	DCR|3DMG|1VULN|2CDMG|1ASPD|1ZMB	12CDMG|2BPWR|3LWND|48aDMG|5ASPD|6RCR|7VULN|9ZMB
78	31515 11622	 * 	210.71	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1CDMG|2MLV|34aDMG|5DUST|6AART|7ASPD|8VULN|9RCR
79	31266 11611	 * 	210.27	ACR|3VULN|3CDMG|1AART|1ASPD|1DMG	149CDMG|249MLV|3RCR|49BPWR|5DMG|6AART|7ASPD|89aVULN
80	32311 51524	   	210.13	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	12CDMG|2BPWR|3DUR|4DMG|5aASPD|6RCR|78VULN|9FEWX
81	32311 51533	   	210.13	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	12CDMG|2BPWR|3DUR|4DMG|5aASPD|6RCR|78VULN|9MULARM
82	32311 52225	   	210.13	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	12CDMG|2BPWR|3DUR|4DMG|58ASPD|6RCR|7MLV|9aVULN
83	32311 52521	   	210.13	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	12CDMG|2BPWR|3DUR|4DMG|5aASPD|6RCR|7MLV|89VULN
84	32361 51621	   	210.13	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	12CDMG|2BPWR|3DUR|4CGEN|5aASPD|6RCR|79VULN|8DMG
85	32161 51621	   	210.03	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	12CDMG|2BPWR|3TLV|4DUR|5aASPD|6RCR|79VULN|8DMG
86	32536 51122	 * 	209.83	DCR|2VULN|2ASPD|3CDMG|1DMG	12aCDMG|2aBPWR|3aASPD|4LHND|5DMG|6RCR|7aVULN|8BELT|9RCVC
87	33516 51223	   	209.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2RMIN|34DMG|5DUR|6RCR|7aVULN|8AART|9LWND
88	31514 51233	   	209.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2MLV|34DMG|5LHND|6RCR|7aVULN|8AART|9DUR
89	33512 51263	   	209.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2RMIN|34DMG|5LWND|6RCR|7aVULN|8AART|9DUR
90	33513 51263	   	209.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2RMIN|34DMG|5LHND|6RCR|7aVULN|8AART|9DUR
91	33511 51263	   	209.68	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2RMIN|34DMG|5LEGI|6RCR|7aVULN|8AART|9DUR
92	32311 51224	   	209.64	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB|1DUR	12CDMG|2BPWR|3DUR|4DMG|5ASPD|6RCR|7VULN|8AART|9LWND|aZMB
93	31111 13152	   	209.49	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|2MLV|3AME|4aDMG|5ASPD|6AART|7RCR|8ZMB|9VULN
94	31531 13152	   	209.49	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|2MLV|3aDMG|4CGEN|5ASPD|6AART|7RCR|8ZMB|9VULN
95	33111 13152	   	209.49	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|2RMIN|3AME|4aDMG|5ASPD|6AART|7RCR|8ZMB|9VULN
96	33561 13152	   	209.49	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1ZMB	1CDMG|2RMIN|3aDMG|4CGEN|5ASPD|6AART|7RCR|8ZMB|9VULN
97	33562 33152	   	209.49	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1ZMB	1CDMG|2RMIN|3aDMG|4CGEN|5AART|6ASPD|7RCR|8ZMB|9VULN
98	36111 13152	   	209.49	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|2CGEN|3AME|4aDMG|5ASPD|6AART|7RCR|8ZMB|9VULN
99	33516 51212	   	209.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1CDMG|2RMIN|34DMG|5DUR|6RCR|7VULN|8AART|9MLV|aASPD
100	56341 23231	   	209.41	DCR|3DMG|2VULN|1ASPD|1CDMG	127DMG|3aLWND|4CDMG|5ASPD|69VULN|8RCR
101	56341 23232	   	209.41	DCR|3DMG|2VULN|1ASPD|1CDMG	127DMG|3LWND|4CDMG|5ASPD|69VULN|8RCR|aCGEN
102	31111 13545	   	209.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	18CDMG|2MLV|3AME|4DMG|5ASPD|6AART|7RCR|9aVULN
103	33111 13545	   	209.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	18CDMG|2RMIN|3AME|4DMG|5ASPD|6AART|7RCR|9aVULN
