0	Index      	 *	Score 	Summary	Detail	
1	12636 16221	 * 	241.61	ACR|1SPLARM|3DMG|3ASPD|2VULN|1CDMG	167DMG|2MLV|379ASPD|4RCR|57VULN|7BPWR|8CDMG|aSPLARM
2	16341 65414	 * 	233.14	DCR|3VULN|2DMG|1AART|2CDMG|1DUR	19DMG|2MBVNT|3BEXP|49CDMG|5AART|689VULN|7RCR|9BPWR|aDUR
3	15142 36212	 * 	231.86	DCR|2VULN|2DMG|2ASPD|1AART|1CDMG	19DMG|29VULN|3AART|4CDMG|5CGEN|69ASPD|7MBVNT|8RCR|9BPWR|aBELT
4	15142 36214	   	231.86	DCR|2VULN|2DMG|2ASPD|1AART|1CDMG	19DMG|29VULN|3AART|4CDMG|5CGEN|69ASPD|7MBVNT|8RCR|9BPWR|aLHND
5	15143 36212	   	231.86	DCR|2VULN|2DMG|2ASPD|1AART|1CDMG	19DMG|29VULN|3AART|4CDMG|5MLV|69ASPD|7MBVNT|8RCR|9BPWR|aBELT
6	15143 36214	   	231.86	DCR|2VULN|2DMG|2ASPD|1AART|1CDMG	19DMG|29VULN|3AART|4CDMG|5MLV|69ASPD|7MBVNT|8RCR|9BPWR|aLHND
7	15142 36211	   	231.76	DCR|2VULN|2DMG|2ASPD|1AART|1CDMG	19DMG|29VULN|3AART|4CDMG|5CGEN|69ASPD|7MBVNT|8RCR|9BPWR|aDUST
8	15142 36213	   	231.76	DCR|2VULN|2DMG|2ASPD|1AART|1CDMG	19DMG|29VULN|3AART|4CDMG|5CGEN|69ASPD|7MBVNT|8RCR|9BPWR|aBASFIG
9	15143 36211	   	231.76	DCR|2VULN|2DMG|2ASPD|1AART|1CDMG	19DMG|29VULN|3AART|4CDMG|5MLV|69ASPD|7MBVNT|8RCR|9BPWR|aDUST
10	15143 36213	   	231.76	DCR|2VULN|2DMG|2ASPD|1AART|1CDMG	19DMG|29VULN|3AART|4CDMG|5MLV|69ASPD|7MBVNT|8RCR|9BPWR|aBASFIG
11	16231 65414	   	225.71	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	19DMG|2MBVNT|3CDMG|49FEWX|5AART|689VULN|7RCR|9BPWR|aDUR
12	16341 65412	   	224.84	DCR|3VULN|2DMG|1AART|2CDMG	19DMG|2MBVNT|3BEXP|49CDMG|5AART|689VULN|7RCR|9BPWR|aBELT
13	16341 65413	   	224.84	DCR|3VULN|2DMG|1AART|2CDMG	19DMG|2MBVNT|3BEXP|49CDMG|5AART|689VULN|7RCR|9BPWR|aMLV
14	16341 65411	   	224.74	DCR|3VULN|2DMG|1AART|2CDMG	19DMG|2MBVNT|3BEXP|49CDMG|5AART|689VULN|7RCR|9BPWR|aDUST
15	12636 13612	 * 	223.32	ACR|3DMG|2VULN|2ASPD|1AART|1CDMG	169DMG|2MLV|39ASPD|4RCR|59VULN|7RPLT|8AART|9BPWR|aCDMG
16	15314 43232	 * 	218.71	DCR|3VULN|3DMG|1AART	159DMG|279VULN|3DUST|45FEWX|59BPWR|6RCR|89TLV|aAART
17	56331 61323	 * 	217.78	DCR|1SPLARM|3CDMG|1VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|239CDMG|4SPLARM|5DMG|6VULN|7DUR|8AART|aRCR
18	16231 65412	   	217.41	DCR|3VULN|2DMG|1AART|1CDMG	19DMG|2MBVNT|3CDMG|49FEWX|5AART|689VULN|7RCR|9BPWR|aBELT
19	16231 65413	   	217.41	DCR|3VULN|2DMG|1AART|1CDMG	19DMG|2MBVNT|3CDMG|49FEWX|5AART|689VULN|7RCR|9BPWR|aMLV
20	16231 65411	   	217.31	DCR|3VULN|2DMG|1AART|1CDMG	19DMG|2MBVNT|3CDMG|49FEWX|5AART|689VULN|7RCR|9BPWR|aDUST
21	16241 65412	   	217.21	DCR|3VULN|2DMG|1AART|1CDMG	19DMG|2MBVNT|3CDMG|49DUST|5AART|689VULN|7RCR|9BPWR|aFEWX
22	16241 65413	   	217.21	DCR|3VULN|2DMG|1AART|1CDMG	19DMG|2MBVNT|3CDMG|49DUST|5AART|689VULN|7RCR|9BPWR|aLIT
23	16241 65414	   	217.21	DCR|3VULN|2DMG|1AART|1CDMG	19DMG|2MBVNT|3CDMG|49DUST|5AART|689VULN|7RCR|9BPWR|aBEXP
24	16241 65411	   	217.11	DCR|3VULN|2DMG|1AART|1CDMG	19DMG|2MBVNT|3CDMG|49aDUST|5AART|689VULN|7RCR|9BPWR
25	12332 56531	 * 	215.29	DCR|4VULN|3DMG|1DUR	19aDMG|29MLV|3BEXP|4DUR|5679VULN|8RCR|9BPWR
26	12331 51532	 * 	214.07	DCR|3DMG|2VULN|1ASPD|3DUR	156DMG|29MLV|3BEXP|469DUR|69BPWR|7RCR|89VULN|aASPD
27	16472 47121	 * 	213.97	DCR|3VULN|2DMG|2ASPD|1DUR	17DMG|2MBVNT|3CGEN|457VULN|67ASPD|7BPWR|8DUR|9LIT|aRCR
28	12531 51532	   	213.97	DCR|3DMG|2VULN|1ASPD|3DUR	156DMG|29MLV|3DUST|469DUR|69BPWR|7RCR|89VULN|aASPD
29	16473 27144	   	213.61	DCR|2VULN|2DMG|2ASPD|1AART	1aDMG|2MBVNT|3aCGEN|48VULN|5AART|6LWND|7aASPD|9RCR|aBPWR
30	16473 23444	   	213.61	DCR|2VULN|2DMG|2ASPD|1AART	1aDMG|2MBVNT|3CGEN|4aVULN|5AART|6LWND|7AELBLL|8aASPD|9RCR|aBPWR
31	43134 32136	 * 	212.90	DCR|2VULN|2ASPD|3CDMG|1AART|1DUR	17ERES|2DUR|3AART|457CDMG|67ASPD|7BPWR|89VULN|aRCR
32	12636 16222	   	212.37	ACR|3DMG|3ASPD|2VULN|1CDMG	167DMG|2MLV|379ASPD|4RCR|57VULN|7BPWR|8CDMG|aDUST
33	12636 16223	   	212.37	ACR|3DMG|3ASPD|2VULN|1CDMG	167DMG|2MLV|379ASPD|4RCR|57VULN|7BPWR|8CDMG|aBASFIG
