0	Index      	 *	Score 	Summary	Detail	
1	52616 21132	 * 	209.56	ACR|3VULN|2AART|1ASPD|1DMG|1CDMG	17AART|258VULN|3FEWX|4RCR|6CDMG|9DMG|aASPD
2	52416 21112	   	208.14	ACR|3VULN|2AART|1ASPD|1CDMG|1ZMB|1DUR	17AART|258VULN|3DUR|4RCR|6CDMG|9ZMB|aASPD
3	52212 65211	 * 	207.98	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	15AART|26VULN|3TLV|4FEWX|7ASPD|8RCR|9DUR|aDMG
4	52222 65211	   	207.98	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	15AART|26VULN|3TLV|4BEXP|7ASPD|8RCR|9DUR|aDMG
5	52432 23353	 * 	207.90	DCR|2VULN|2AART|2CDMG|1DMG|1DUR	14AART|27VULN|3DUR|57LHND|67CDMG|7BPWR|8DMG|9LIT|aRCR
6	52232 65211	   	207.88	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	15AART|26VULN|3TLV|4DUST|7ASPD|8RCR|9DUR|aDMG
7	52432 23131	 * 	207.67	DCR|3VULN|2AART|2CDMG|1DUR	14AART|278VULN|3DUR|57LHND|67CDMG|7BPWR|9RCR|aFEWX
8	52432 23132	   	207.67	DCR|3VULN|2AART|2CDMG|1DUR	14AART|278VULN|3DUR|57aLHND|67CDMG|7BPWR|9RCR
9	52432 23134	   	207.67	DCR|3VULN|2AART|2CDMG|1DUR	14AART|278VULN|3DUR|57LHND|67CDMG|7BPWR|9RCR|aAME
10	52432 23136	   	207.67	DCR|3VULN|2AART|2CDMG|1DUR	14AART|278VULN|3DUR|57LHND|67CDMG|7BPWR|9RCR|aSPLJET
11	52432 23133	   	207.57	DCR|3VULN|2AART|2CDMG|1DUR	14AART|278VULN|3DUR|57LHND|67CDMG|7BPWR|9RCR|aMSLREG
12	52432 23135	   	207.57	DCR|3VULN|2AART|2CDMG|1DUR	14AART|278VULN|3DUR|57LHND|67CDMG|7BPWR|9RCR|aTLV
13	52432 23122	   	206.42	DCR|3VULN|2AART|2CDMG|1DUR	14AART|278VULN|3DUR|57LHND|67CDMG|7BPWR|9RCVC|aRCR
14	52432 11351	 * 	206.27	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	14AART|2aVULN|3DUR|5LHND|6RPLT|7RCR|8ASPD|9CDMG
15	52633 11351	   	206.27	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	14AART|2aVULN|3FEWX|5DUR|6RPLT|7RCR|8ASPD|9CDMG
16	52432 23632	   	205.67	DCR|3VULN|2AART|2CDMG|1DUR	14AART|279VULN|3DUR|57LHND|67CDMG|7BPWR|8FEWX|aRCR
17	52331 65211	   	205.65	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1AART|26VULN|3RCVC|4BEXP|5ZMB|7ASPD|8RCR|9DUR|aDMG
18	52343 63212	 * 	205.11	DCR|2VULN|2ASPD|1AART|2CDMG	1AART|27VULN|3RCVC|47ASPD|57CDMG|6RMIN|7BPWR|8ERES|9AME|aRCR
19	52354 23133	   	204.31	DCR|3VULN|1AART|2CDMG|2DUR	1AART|278VULN|3RCVC|4LWND|57DUR|67CDMG|7BPWR|9RCR|aRMIN
20	55223 12252	 * 	204.28	DCR|1SPLARM|2VULN|2AART|1DMG|1DUR	14AART|2RCVC|3DUR|5BELT|6SPLARM|7aVULN|8DMG|9RCR
21	55333 51311	 * 	203.33	DCR|3VULN|1MDPS|2ASPD|1AART	1AART|2RCVC|39BASARM|489VULN|59ASPD|6RCR|7MDPS|9BPWR|aCGEN
22	55333 51312	   	203.33	DCR|3VULN|1MDPS|2ASPD|1AART	1AART|2RCVC|39BASARM|489VULN|59ASPD|6RCR|7MDPS|9BPWR|aLWND
23	55333 51313	   	203.33	DCR|3VULN|1MDPS|2ASPD|1AART	1AART|2RCVC|39BASARM|489VULN|59ASPD|6RCR|7MDPS|9BPWR|aBEXP
24	52166 11232	 * 	203.27	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1AART|28VULN|3ERES|4DUR|5ASPD|6RPLT|7RCR|9DMG|aMDPS
25	52266 11232	   	203.27	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1AART|28VULN|3TLV|4DUR|5ASPD|6RPLT|7RCR|9DMG|aMDPS
26	52531 13413	 * 	201.72	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|278VULN|3BELT|47LIT|57ERES|6RCR|7BPWR|9ASPD|aCDMG
27	52111 25432	 * 	201.68	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|29VULN|3ERES|4FEWX|5DUR|6CDMG|78DMG|aRCR
28	52211 25432	   	201.68	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|29VULN|3TLV|4FEWX|5DUR|6CDMG|78DMG|aRCR
29	52316 22153	   	201.42	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1AART|26aVULN|3RCVC|4DUR|5LIT|7ASPD|8ZMB|9RCR
30	52531 13412	 * 	201.32	DCR|4VULN|1AART|1ASPD	1AART|278aVULN|3BELT|47LIT|57ERES|6RCR|7BPWR|9ASPD
31	52624 11233	 * 	201.26	DCR|3VULN|2DMG|1AART	1AART|28aVULN|3aFEWX|4MLV|5CGEN|6RPLT|7RCR|9aDMG|aBPWR
32	52354 23131	   	200.15	DCR|3VULN|1AART|2CDMG|2DUR	1AART|278VULN|3RCVC|4LWND|57DUR|67CDMG|7BPWR|9RCR|aFEWX
33	52354 23132	   	200.15	DCR|3VULN|1AART|2CDMG|2DUR	1AART|278VULN|3RCVC|4LWND|57DUR|67CDMG|7BPWR|9RCR|aLHND
34	52364 23131	   	200.15	DCR|3VULN|1AART|2CDMG|2DUR	1AART|278VULN|3RCVC|4LHND|57DUR|67CDMG|7BPWR|9RCR|aFEWX
35	52364 23132	   	200.15	DCR|3VULN|1AART|2CDMG|2DUR	1AART|278VULN|3RCVC|4aLHND|57DUR|67CDMG|7BPWR|9RCR
36	52364 23133	   	200.05	DCR|3VULN|1AART|2CDMG|2DUR	1AART|278VULN|3RCVC|4LHND|57DUR|67CDMG|7BPWR|9RCR|aMSLREG
37	52616 21112	   	199.84	ACR|3VULN|2AART|1ASPD|1CDMG|1ZMB	17AART|258VULN|3FEWX|4RCR|6CDMG|9ZMB|aASPD
