0	Index      	 *	Score 	Summary	Detail	
1	21532 18452	 * 	223.06	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2aVULN|3MBVNT|4SPLARM|5DMG|6BEXP|7RCR|8AART|9ASPD
2	21333 74571	 * 	220.83	DCR|3VULN|1SPLARM|1AART|1ASPD|1DUR	1DUR|289VULN|3FEWX|4SPLARM|5MBVNT|6AART|7RCR|aASPD
3	21333 74574	 * 	220.83	DCR|3VULN|1SPLARM|1AART|1DMG|1DUR	1DUR|289VULN|3FEWX|4SPLARM|5MBVNT|6AART|7RCR|aDMG
4	11537 13614	 * 	220.68	DCR|1SPLARM|2VULN|2DMG|2ASPD	159DUST|29VULN|3MBVNT|4SPLARM|6aASPD|79DMG|8RCR|9BPWR
5	21332 61512	 * 	220.31	DCR|1SPLARM|3DMG|2VULN|2ZMB|1DUR	1DUR|29VULN|3FEWX|4SPLARM|579DMG|6LWND|89ZMB|9BPWR|aRCR
6	21532 13242	   	220.27	DCR|3VULN|1SPLARM|1AART|1DMG|2DUR	19DUR|289VULN|3MBVNT|4SPLARM|5DMG|69BEXP|7AART|9BPWR|aRCR
7	21532 23242	   	220.27	DCR|3VULN|1SPLARM|1AART|1DMG|2DUR	19DUR|289VULN|3MBVNT|4SPLARM|5DMG|69FEWX|7AART|9BPWR|aRCR
8	21532 18446	 * 	219.07	DCR|1SPLARM|2VULN|2AART|1DMG|1DUR	1DUR|29VULN|3MBVNT|4SPLARM|5DMG|6BEXP|7RCR|8aAART
9	21523 14643	 * 	219.03	DCR|4VULN|2DMG|1CDMG|2DUR	18DUR|278aVULN|3MBVNT|4CDMG|5LWND|68DMG|8BPWR|9RCR
10	21526 14643	   	219.03	DCR|4VULN|2DMG|1CDMG|2DUR	18DUR|278aVULN|3MBVNT|4CDMG|5FEWX|68DMG|8BPWR|9RCR
11	21431 63151	 * 	217.96	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1DUR|289aVULN|3DMG|4ZMB|5FEWX|6AART|7RCR
12	21534 45354	 * 	217.01	DCR|3VULN|1SPLARM|1AART|1CDMG|1DUR	1DUR|289VULN|3MBVNT|4SPLARM|5SPLJET|6CDMG|7RCR|aAART
13	21333 74572	   	217.01	DCR|3VULN|1SPLARM|1AART|1CDMG|1DUR	1DUR|289VULN|3FEWX|4SPLARM|5MBVNT|6AART|7RCR|aCDMG
