0	Index      	 *	Score 	Summary	Detail	
1	61632 63123	 * 	219.76	DCR|3VULN|2DMG|1AART|3DUR	1LWND|249DUR|34DMG|4BPWR|5AART|68aVULN|7RCR
2	21442 22212	 * 	219.31	DCR|4VULN|2DMG|1AART|1DUR	1BELT|2DUR|3467VULN|56DMG|6BPWR|8AART|9MLV|aRCR
3	61632 63121	 * 	218.00	DCR|2VULN|2AART|2DMG|3DUR	1LWND|249DUR|34DMG|4BPWR|5aAART|68VULN|7RCR
4	21442 21313	 * 	215.30	DCR|4VULN|1SPLARM|2DMG|2DUR	1BELT|28DUR|3469VULN|56DMG|6BPWR|7SPLARM|aRCR
5	21442 21213	   	211.24	DCR|4VULN|1SPLARM|2DMG|1DUR	1BELT|2DUR|3469VULN|56DMG|6BPWR|7SPLARM|8RCVC|aRCR
6	25442 22212	   	211.01	DCR|4VULN|2DMG|1AART	1BELT|2BEXP|3467VULN|56DMG|6BPWR|8AART|9MLV|aRCR
7	26442 22212	   	210.91	DCR|4VULN|2DMG|1AART	1BELT|2DUST|3467VULN|56DMG|6BPWR|8AART|9MLV|aRCR
8	23321 11422	 * 	210.81	DCR|3VULN|3DMG|1AART	1BELT|2AELBLL|368VULN|467DMG|5AART|6BPWR|9CGEN|aRCR
9	21442 11513	   	209.96	DCR|4VULN|1SPLARM|2DMG|1DUR	1BELT|2DUR|3469VULN|58DMG|7SPLARM|aRCR
10	21415 63212	 * 	209.34	DCR|3VULN|2ASPD|1AART|2DUR	1BELT|2aDUR|36aVULN|4ERES|5AART|7MLV|8RCR|9aASPD|aBPWR
11	21442 22311	   	207.87	DCR|4VULN|2DMG|1ZMB|1DUR	1BELT|2DUR|3467VULN|56DMG|6BPWR|8ZMB|9RCR|aCGEN
12	21442 22312	   	207.87	DCR|4VULN|2DMG|1ZMB|1DUR	1BELT|2DUR|3467VULN|56DMG|6BPWR|8ZMB|9RCR|aDMSP
13	21442 22313	   	207.87	DCR|4VULN|2DMG|1ZMB|1DUR	1BELT|2DUR|3467VULN|56DMG|6BPWR|8ZMB|9RCR|aFEWX
14	21442 22314	   	207.87	DCR|4VULN|2DMG|1ZMB|1DUR	1BELT|2DUR|3467VULN|56DMG|6BPWR|8ZMB|9RCR|aMLV
15	21442 22315	   	207.87	DCR|4VULN|2DMG|1ZMB|1DUR	1BELT|2DUR|3467VULN|56DMG|6BPWR|8ZMB|9RCR|aLHND
16	21442 22316	   	207.87	DCR|4VULN|2DMG|1ZMB|1DUR	1BELT|2DUR|3467VULN|56DMG|6BPWR|8ZMB|9RCR|aLWND
17	23321 13132	 * 	204.84	DCR|2VULN|1MDPS|2DMG|1AART|1CDMG	1BELT|2AELBLL|36VULN|46DMG|5AART|6BPWR|7ERES|8CDMG|9RCR|aMDPS
18	34622 11161	   	204.58	DCR|3VULN|3DMG|2DUR	124ERES|37aDMG|57AME|67aVULN|7aBPWR|8RCR|9aDUR
19	35322 11161	   	204.58	DCR|3VULN|3DMG|2DUR	134ERES|27aDMG|57AME|67aVULN|7aBPWR|8RCR|9aDUR
20	35361 11161	   	204.58	DCR|3VULN|3DMG|2DUR	135ERES|27aDMG|47MLV|67aVULN|7aBPWR|8RCR|9aDUR
21	21515 31314	 * 	204.20	DCR|3ASPD|1VULN|1AART|1CDMG|2DUR	1BELT|28DUR|358ASPD|48TSLFST|6RCR|7AART|8BPWR|9VULN|aCDMG
22	55211 11532	   	203.36	DCR|3VULN|2DMG|1AART|1DUR	1RMIN|246VULN|3BELT|46BPWR|5AART|78DMG|9DUR|aRCR
23	25442 21213	   	202.93	DCR|4VULN|1SPLARM|2DMG	1BELT|2BEXP|3469VULN|56DMG|6BPWR|7SPLARM|8RCVC|aRCR
24	26442 21213	   	202.83	DCR|4VULN|1SPLARM|2DMG	1BELT|2DUST|3469VULN|56DMG|6BPWR|7SPLARM|8RCVC|aRCR
25	61632 63122	   	201.93	DCR|2VULN|2DMG|1AART|3DUR	1LWND|249DUR|34DMG|4BPWR|5AART|68VULN|7RCR|aLIT
26	21442 12212	   	201.62	DCR|4VULN|1AART|1DMG|1DUR	1BELT|2DUR|3467VULN|5DMG|8AART|9MLV|aRCR
27	25442 12122	 * 	201.49	DCR|5VULN|2DMG	1BELT|28BEXP|34678VULN|58DMG|8BPWR|9DUST|aRCR
28	23321 12524	 * 	201.39	DCR|2VULN|2DMG|1AART|1ASPD	1BELT|2AELBLL|36VULN|46DMG|5AART|6BPWR|7BEXP|8RCR|9CGEN|aASPD
29	23321 12543	   	201.39	DCR|2VULN|2DMG|1AART|1ASPD	1BELT|2AELBLL|36VULN|46DMG|5AART|6BPWR|7BEXP|8RCR|9LIT|aASPD
30	11623 21613	   	200.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|2DUR|3LIT|4CDMG|5DMG|6aVULN|7RCR|8AART|9ZMB
31	21442 22123	 * 	200.38	5VULN|3DMG|1ASPD|1NUKE|2DUR	1BELT|28DUR|34678VULN|568DMG|68BPWR|9ASPD|aNUKE
32	55132 41132	 * 	200.16	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG|2DUR	1RMIN|245VULN|34DUR|4BPWR|6RCR|7DMG|8MDPS|9AART|aASPD
33	25442 22311	   	199.56	DCR|4VULN|2DMG|1ZMB	1BELT|2BEXP|3467VULN|56DMG|6BPWR|8ZMB|9RCR|aCGEN
34	25442 22312	   	199.56	DCR|4VULN|2DMG|1ZMB	1BELT|2BEXP|3467VULN|56DMG|6BPWR|8ZMB|9RCR|aDMSP
35	25442 22313	   	199.56	DCR|4VULN|2DMG|1ZMB	1BELT|2BEXP|3467VULN|56DMG|6BPWR|8ZMB|9RCR|aFEWX
36	26442 22311	   	199.46	DCR|4VULN|2DMG|1ZMB	1BELT|2DUST|3467VULN|56DMG|6BPWR|8ZMB|9RCR|aCGEN
37	26442 22312	   	199.46	DCR|4VULN|2DMG|1ZMB	1BELT|2DUST|3467VULN|56DMG|6BPWR|8ZMB|9RCR|aDMSP
38	26442 22313	   	199.46	DCR|4VULN|2DMG|1ZMB	1BELT|2DUST|3467VULN|56DMG|6BPWR|8ZMB|9RCR|aFEWX
39	21442 21342	   	199.45	DCR|3VULN|1SPLARM|2DMG|2DUR	1BELT|28DUR|346VULN|56DMG|6BPWR|7SPLARM|9BEXP|aRCR
40	21442 21352	   	199.45	DCR|3VULN|1SPLARM|2DMG|2DUR	1BELT|28DUR|346VULN|56DMG|6BPWR|7SPLARM|9LWND|aRCR
