0	Index      	 *	Score 	Summary	Detail	
1	55346 43113	 * 	224.28	DCR|2VULN|2DMG|2ASPD|1AART|1AAC	1AART|29ASPD|3MBVNT|4DUST|5RMIN|69DMG|7RCR|89VULN|9BPWR|aAAC
2	55344 13118	 * 	222.41	DCR|3ASPD|2VULN|2AART|2DUR	15AART|29aASPD|3MBVNT|4DUST|69DUR|7RCR|89VULN|9BPWR
3	55121 33325	 * 	220.84	DCR|3DMG|2VULN|1AART|1ASPD	1AART|2ASPD|38VULN|4ERES|5RPLT|6RCR|79aDMG
4	55363 32113	 * 	220.52	DCR|2VULN|2ASPD|1AART|1DMG|3DUR	1AART|29ASPD|3MBVNT|459DUR|6RCR|7LEGI|89VULN|9BPWR|aDMG
5	55321 13117	   	218.46	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB|1DUR	1AART|29ASPD|3MBVNT|49ERES|5ZMB|6DUR|7RCR|89VULN|9BPWR|aDMG
6	55363 32112	 * 	218.29	DCR|3VULN|2ASPD|1AART|3DUR	1AART|29ASPD|3MBVNT|459DUR|6RCR|7LEGI|89aVULN|9BPWR
7	55346 43111	   	217.51	DCR|2VULN|2DMG|2ASPD|1AART	1AART|29ASPD|3MBVNT|4DUST|5RMIN|69DMG|7RCR|89VULN|9BPWR|aLHND
8	55346 43112	   	217.51	DCR|2VULN|2DMG|2ASPD|1AART	1AART|29ASPD|3MBVNT|4DUST|5RMIN|69DMG|7RCR|89VULN|9BPWR|aDMSP
9	55346 43114	   	217.41	DCR|2VULN|2DMG|2ASPD|1AART	1AART|29ASPD|3MBVNT|4aDUST|5RMIN|69DMG|7RCR|89VULN|9BPWR
10	55363 32111	 * 	216.54	DCR|2VULN|2AART|2ASPD|3DUR	1aAART|29ASPD|3MBVNT|459DUR|6RCR|7LEGI|89VULN|9BPWR
11	55344 13113	   	216.26	DCR|2VULN|2AART|2ASPD|2DUR|1AAC	15AART|29ASPD|3MBVNT|4DUST|69DUR|7RCR|89VULN|9BPWR|aAAC
12	55322 13117	   	213.37	DCR|2VULN|2ASPD|1AART|1DMG|2DUR|1AAC	1AART|29ASPD|3MBVNT|4ERES|5AAC|69DUR|7RCR|89VULN|9BPWR|aDMG
13	55332 13114	 * 	212.23	DCR|2VULN|1MDPS|2ASPD|1AART|2DUR|1AAC	1AART|29ASPD|3MBVNT|4CGEN|5AAC|69DUR|7RCR|89VULN|9BPWR|aMDPS
14	55352 13114	   	212.23	DCR|2VULN|1MDPS|2ASPD|1AART|2DUR|1AAC	1AART|29ASPD|3MBVNT|4MLV|5AAC|69DUR|7RCR|89VULN|9BPWR|aMDPS
15	55322 13114	   	212.13	DCR|2VULN|1MDPS|2ASPD|1AART|2DUR|1AAC	1AART|29ASPD|3MBVNT|4ERES|5AAC|69DUR|7RCR|89VULN|9BPWR|aMDPS
16	63252 63233	 * 	212.07	DCR|3VULN|3ZMB|1AART|1CDMG|1DUR	1DUR|246ZMB|349VULN|4BPWR|5CDMG|7VENFST|8RCR|aAART
17	55121 33323	   	211.96	DCR|2VULN|2DMG|1AART|1ASPD|1AAC	1AART|2ASPD|38VULN|4ERES|5RPLT|6RCR|79DMG|aAAC
18	51153 13481	 * 	211.55	DCR|2VULN|2AART|3ZMB|1CDMG|2DUR	13AART|28VULN|478ZMB|5MBVNT|68DUR|8BPWR|9CDMG|aRCR
19	55331 13118	   	211.52	DCR|3ASPD|2VULN|1AART|1ZMB|1DUR	1AART|29aASPD|3MBVNT|49CGEN|5ZMB|6DUR|7RCR|89VULN|9BPWR
20	63165 32112	   	210.91	DCR|2VULN|2AART|1ASPD|2DUR|2ZMB	19DUR|29ZMB|3ASPD|4CGEN|5aAART|6RCR|7LEGI|89VULN|9BPWR
21	55321 23117	   	210.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1AART|29ASPD|3MBVNT|49ERES|5ZMB|6FEWX|7RCR|89VULN|9BPWR|aDMG
22	55343 15113	 * 	210.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1AART|29ASPD|3MBVNT|49DUST|5RPLT|6DMG|7CDMG|89VULN|9BPWR|aRCR
