0	Index      	 *	Score 	Summary	Detail	
1	14533 33114	 * 	235.00	DCR|3VULN|1SPLARM|2AART|1ASPD|1DUR	1SPLJET|2DUR|3aAART|4SPLARM|569VULN|7ASPD|8RCR
2	14533 23114	 * 	222.43	DCR|1SPLARM|3AART|2VULN|1ASPD|1DUR	1SPLJET|2DUR|36aAART|4SPLARM|59VULN|7ASPD|8RCR
3	14533 33131	 * 	221.16	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG|1DUR	1SPLJET|2DUR|3AART|4SPLARM|56VULN|7ASPD|8RCR|9RPLT|aDMG
4	14533 33111	   	218.93	DCR|3VULN|1SPLARM|1AART|1ASPD|1DUR	1SPLJET|2DUR|3AART|4SPLARM|569VULN|7ASPD|8RCR|aCGEN
5	14533 33113	   	218.93	DCR|3VULN|1SPLARM|1AART|1ASPD|1DUR	1SPLJET|2DUR|3AART|4SPLARM|569VULN|7ASPD|8RCR|aRMIN
6	14533 33116	   	218.93	DCR|3VULN|1SPLARM|1AART|1ASPD|1DUR	1SPLJET|2DUR|3AART|4SPLARM|569VULN|7ASPD|8RCR|aAME
7	14533 33112	   	218.83	DCR|3VULN|1SPLARM|1AART|1ASPD|1DUR	1SPLJET|2DUR|3AART|4SPLARM|569VULN|7ASPD|8RCR|aDUST
8	14533 33115	   	218.83	DCR|3VULN|1SPLARM|1AART|1ASPD|1DUR	1SPLJET|2DUR|3AART|4SPLARM|569VULN|7ASPD|8RCR|aMBVNT
9	14533 33124	   	218.77	DCR|1SPLARM|2VULN|2AART|1ASPD|1DUR	1SPLJET|2DUR|3aAART|4SPLARM|56VULN|7ASPD|8RCR|9RCVC
10	16124 31522	 * 	217.29	DCR|1MDPS|2DMG|2ASPD|1AART|1VULN|1NUKE	18SPLJET|2VULN|3MDPS|48ASPD|58DMG|6AART|7RCR|8BPWR|9AME|aNUKE
11	16124 31512	   	217.19	DCR|1MDPS|2DMG|2ASPD|1AART|1VULN|1NUKE	18SPLJET|2VULN|3MDPS|48ASPD|58DMG|6AART|7RCR|8BPWR|9TLV|aNUKE
12	14533 23111	   	217.17	DCR|1SPLARM|2VULN|2AART|1ASPD|1DUR	1SPLJET|2DUR|36AART|4SPLARM|59VULN|7ASPD|8RCR|aCGEN
13	14533 23113	   	217.17	DCR|1SPLARM|2VULN|2AART|1ASPD|1DUR	1SPLJET|2DUR|36AART|4SPLARM|59VULN|7ASPD|8RCR|aRMIN
14	14533 23116	   	217.17	DCR|1SPLARM|2VULN|2AART|1ASPD|1DUR	1SPLJET|2DUR|36AART|4SPLARM|59VULN|7ASPD|8RCR|aAME
15	14533 23112	   	217.07	DCR|1SPLARM|2VULN|2AART|1ASPD|1DUR	1SPLJET|2DUR|36AART|4SPLARM|59VULN|7ASPD|8RCR|aDUST
16	14533 23115	   	217.07	DCR|1SPLARM|2VULN|2AART|1ASPD|1DUR	1SPLJET|2DUR|36AART|4SPLARM|59VULN|7ASPD|8RCR|aMBVNT
17	14533 23131	 * 	216.85	DCR|1SPLARM|2AART|1VULN|1ASPD|1DMG|1DUR	1SPLJET|2DUR|36AART|4SPLARM|5VULN|7ASPD|8RCR|9RPLT|aDMG
18	16124 31532	 * 	215.08	DCR|2DMG|1MDPS|2ASPD|1VULN|1AART|1CDMG	18SPLJET|2VULN|3MDPS|48ASPD|58DMG|6AART|7RCR|8BPWR|9RCVC|aCDMG
19	16124 31523	   	207.56	DCR|2DMG|1MDPS|2ASPD|1AART|1VULN|1ZMB	18SPLJET|2VULN|3MDPS|48ASPD|58DMG|6AART|7RCR|8BPWR|9AME|aZMB
20	16124 31513	   	207.46	DCR|2DMG|1MDPS|2ASPD|1AART|1VULN|1ZMB	18SPLJET|2VULN|3MDPS|48ASPD|58DMG|6AART|7RCR|8BPWR|9TLV|aZMB
21	14353 23222	   	206.81	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|2DUR	1SPLJET|24DUR|34DMG|4BPWR|5FEWX|6ASPD|7AART|8VULN|9CDMG|aRCR
22	16124 31122	 * 	205.57	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1NUKE	1SPLJET|29VULN|3MDPS|4ASPD|5DMG|6AART|7RCR|8ERES|aNUKE
