0	Index      	 *	Score 	Summary	Detail	
1	24322 33623	 * 	261.05	紫4易伤2攻速2伤害2基地爆炸	1核258a易伤36伤害4a基地爆炸7额外掉落9a攻速a序列升级
2	22624 32521	 * 	252.17	紫3易伤3伤害3基地爆炸1暴击	1核247雷电348易伤478序列升级578伤害678基地爆炸9敌人爆炸a暴击
3	22624 32511	   	252.07	紫3易伤3伤害3基地爆炸1暴击	1核247雷电348易伤478序列升级578伤害678基地爆炸9挖青a暴击
4	34311 82643	 * 	250.07	紫2基础对甲2伤害2基地爆炸1易伤1全技能	1随机矿2全技能3核4加一59基地爆炸6易伤79伤害89基础对甲9序列升级a时间
5	34311 82644	   	250.07	紫2基础对甲2伤害2基地爆炸1易伤1全技能	1随机矿2全技能3核4加一59基地爆炸6易伤79伤害89基础对甲9序列升级a最后敌人
6	34311 82641	   	249.97	紫2基础对甲2伤害2基地爆炸1易伤1全技能	1随机矿2全技能3核4加一59基地爆炸6易伤79伤害89基础对甲9序列升级a防空对甲
7	34311 82642	   	249.97	紫2基础对甲2伤害2基地爆炸1易伤1全技能	1随机矿2全技能3核4加一59基地爆炸6易伤79伤害89基础对甲9序列升级a挖尘
8	34317 12643	 * 	249.81	紫2基础对甲2易伤2伤害1全技能1基地爆炸	1随机矿2全技能3核4加一59易伤6基地爆炸79伤害89基础对甲9序列升级a时间
9	34317 12644	   	249.81	紫2基础对甲2易伤2伤害1基地爆炸1全技能	1随机矿2全技能3核4加一59易伤6基地爆炸79伤害89基础对甲9序列升级a最后敌人
10	34317 12641	   	249.71	紫2基础对甲2易伤2伤害1基地爆炸1全技能	1随机矿2全技能3核4加一59易伤6基地爆炸79伤害89基础对甲9序列升级a防空对甲
11	34317 12642	   	249.71	紫2基础对甲2易伤2伤害1全技能1基地爆炸	1随机矿2全技能3核4加一59易伤6基地爆炸79伤害89基础对甲9序列升级a挖尘
12	26322 21316	 * 	249.04	紫1基础对甲2基地爆炸1易伤1伤害2暴击1全技能	1核24暴击3矿等5全技能6a基地爆炸7易伤8伤害9基础对甲
13	25356 12131	   	248.06	紫3易伤2攻速2基地爆炸1伤害1全技能	1核29基地爆炸3挖尘4额外掉落59攻速679易伤8全技能9序列升级a伤害
14	24522 12521	 * 	247.86	紫1基础对甲1易伤2基地爆炸1攻速1伤害1全技能	1核2易伤3全技能4攻速5敌人爆炸6a基地爆炸7伤害8基础对甲9矿等
15	24523 12521	   	247.86	紫1基础对甲1易伤2基地爆炸1攻速1伤害1全技能	1核2易伤3全技能4攻速5低血量敌人6a基地爆炸7伤害8基础对甲9矿等
16	22624 32531	 * 	246.67	紫4易伤3伤害3基地爆炸	1核247雷电348a易伤478序列升级578伤害678基地爆炸9矿等
17	24322 23623	   	246.11	紫4易伤2攻速2伤害1基地爆炸	1核258a易伤3a伤害4基地爆炸6磁铁减费7额外掉落9a攻速a序列升级
18	24323 22126	 * 	241.69	紫2易伤1基础对甲2伤害2基地爆炸	1核27易伤37伤害48基地爆炸5时间67金币生成7序列升级9掉矿a基础对甲
19	24525 11313	   	241.65	紫3易伤2攻速2基地爆炸1全技能1暴击	1核269易伤3全技能49攻速5雷电7激光对绿89基地爆炸9序列升级a暴击
20	24323 32126	   	241.49	紫2易伤1基础对甲2伤害2基地爆炸	1核27易伤37伤害48基地爆炸5时间67技能点7序列升级9掉矿a基础对甲
21	24323 42126	   	241.49	紫2易伤1基础对甲2伤害2基地爆炸	1核27易伤37伤害48基地爆炸5时间67等级7序列升级9掉矿a基础对甲
