0	Index      	 *	Score 	Summary	Detail	
1	62364 32331	 * 	226.69	紫1基础对甲2攻速1易伤1伤害2暴击	1导弹对毒26攻速36暴击4双倍秒伤5核6序列升级7矿等8易伤9伤害a基础对甲
2	22867 13431	 * 	220.63	橙3易伤2基础对甲2基地爆炸1攻速1全技能	158易伤2加一3攻速48基地爆炸6全技能78基础对甲8序列升级9时间a核
3	22844 46521	 * 	220.57	4易伤3攻速3伤害1全技能1暴击1基地爆炸	148a易伤2加一38a攻速5暴击6基地爆炸78a伤害8a序列升级9全技能
4	22867 13421	   	220.53	橙3易伤2基础对甲2基地爆炸1攻速1全技能	158易伤2加一3攻速48基地爆炸6全技能78基础对甲8序列升级9挖尘a核
5	22724 46521	   	208.16	3易伤3攻速3伤害1全技能1基地爆炸1暴击	18a易伤2加一3磁铁减费48a攻速5暴击6基地爆炸78a伤害8a序列升级9全技能
6	25634 32231	   	205.79	紫1基础对甲1易伤1攻速1伤害1暴击	1易伤2低血量敌人3金币生成4核5狙击对黄6时间7伤害8暴击9攻速a基础对甲
7	25634 33231	   	205.79	紫1基础对甲1易伤1攻速1伤害1暴击	1易伤2低血量敌人3金币生成4核5狙击对黄6时间7攻速8暴击9伤害a基础对甲
8	42632 52231	   	205.79	紫1基础对甲1易伤1攻速1伤害1暴击	1最后敌人2低血量敌人3金币生成4核5导弹对绿6易伤7伤害8暴击9攻速a基础对甲
9	42632 53231	   	205.79	紫1基础对甲1易伤1攻速1伤害1暴击	1最后敌人2低血量敌人3金币生成4核5导弹对绿6易伤7攻速8暴击9伤害a基础对甲
10	22762 63431	 * 	203.53	橙2基础对甲2易伤2伤害1全技能	18易伤2加一3磁铁减费48伤害5全技能6挖青78基础对甲8序列升级9时间a核
11	22762 63421	   	203.43	橙2基础对甲2易伤2伤害1全技能	18易伤2加一3磁铁减费48伤害5全技能6挖青78基础对甲8序列升级9挖尘a核
12	62364 22321	   	200.49	紫1基础对甲1易伤1攻速1伤害1暴击	1导弹对毒2攻速3暴击4双倍秒伤5核6易伤78掉矿9伤害a基础对甲
13	22387 13431	   	197.67	橙3易伤2基础对甲2基地爆炸1全技能	148易伤2加一34基地爆炸48序列升级58策反6全技能78基础对甲9时间a核
14	22387 13421	   	197.57	橙3易伤2基础对甲2基地爆炸1全技能	148易伤2加一34基地爆炸48序列升级58策反6全技能78基础对甲9挖尘a核
15	22387 13462	   	197.57	橙3易伤2基础对甲2基地爆炸1全技能	148易伤2加一34基地爆炸48序列升级58策反6全技能78基础对甲9防空对甲a核
