0	Index      	 *	Score 	Summary	Detail	
1	14225 33382	 * 	281.19	橙橙2易伤2暴击1矿等	1随机矿23暴击4挖尘5加一68易伤7矿等9a核
2	21121 16222	 * 	274.62	橙橙1易伤1伤害1暴击1攻速1全技能	1最后敌人2额外掉落3伤害4全技能5暴击6加一7攻速8易伤9a核
3	14115 13382	   	272.07	橙橙2易伤2暴击	1随机矿24暴击3金币生成5加一68易伤7时间9a核
4	13113 46132	   	268.41	橙橙2易伤2时间1平台	1随机矿29挖尘3平台49易伤5等级6低血量敌人7a核89时间9序列升级
5	64233 13622	 * 	266.03	橙橙1易伤2暴击1伤害	1技能23暴击4伤害59敌人爆炸6易伤7时间8a核
6	64233 13632	   	266.03	橙橙1易伤2暴击1伤害	1技能23暴击4伤害5敌人爆炸6易伤7时间8a核9立即金币
7	13351 33662	 * 	264.29	橙橙2矿等1易伤1暴击	1随机矿2挖尘3技能4核弹5暴击6易伤79矿等8a核
8	14115 11382	   	263.66	橙橙2易伤2暴击	1随机矿24暴击3金币生成5加一68易伤7挖尘9a核
9	14225 34382	   	263.56	橙橙2易伤2暴击	1随机矿23暴击4挖尘5加一68易伤7技能点9a核
10	12145 21152	   	260.97	橙橙1易伤1伤害1攻速1全技能	1随机矿2掉矿3全技能4攻速5易伤6a核7伤害8雷电9额外掉落
11	21121 12222	   	260.97	橙橙1易伤1伤害1暴击1全技能	1最后敌人2额外掉落3伤害4全技能5暴击6加一7技能8易伤9a核
12	64233 43222	   	257.72	橙橙1易伤2暴击1伤害	1技能23暴击4伤害59敌人爆炸6a核7易伤8最后敌人
13	64233 43232	   	257.72	橙橙1易伤2暴击1伤害	1技能23暴击4伤害5敌人爆炸6a核7易伤8最后敌人9立即金币
14	64233 43122	   	257.62	橙橙1易伤2暴击1伤害	1技能23暴击4伤害59敌人爆炸6a核7易伤8挖尘
15	64233 43132	   	257.62	橙橙1易伤2暴击1伤害	1技能23暴击4伤害5敌人爆炸6a核7易伤8挖尘9立即金币
16	36414 22332	 * 	254.57	橙3伤害3矿等1易伤2时间1平台	17时间2核弹367矿等4平台567伤害67序列升级8易伤9双倍矿a核
17	11313 34632	   	253.56	橙橙2易伤1平台	1随机矿2挖青39等级4平台5挖尘69易伤79低血量敌人8a核9序列升级
18	13113 46232	   	253.56	橙橙2易伤1平台	1随机矿29挖尘3平台49易伤5等级6低血量敌人7a核89基地爆炸9序列升级
19	15113 52612	   	253.56	橙橙2易伤1平台	1随机矿2低血量敌人3平台46易伤579金币生成8a核
20	15113 36612	   	253.46	橙橙2易伤1平台	1随机矿2低血量敌人3平台47易伤59金币生成6激光减费8a核
21	14346 21333	   	251.31	橙橙1易伤1伤害1暴击	1随机矿2暴击3赏金塔4双倍矿5双倍物品67核8伤害9雷电a易伤
