0	Index      	 *	Score 	Summary	Detail	
1	31623 11166	 * 	274.15	橙橙2矿等1易伤1暴击1全技能	1随机矿29矿等3基地爆炸4全技能5易伤6a核7技能8暴击
2	24212 21624	 * 	272.30	橙橙2易伤2时间1暴击	1挖尘2雷电34易伤5a时间6暴击7基地爆炸89核
3	24212 21621	   	265.75	橙橙2易伤1暴击	1挖尘2雷电34易伤5时间6暴击7基地爆炸89核a赏金塔
4	24212 21622	   	265.75	橙橙2易伤1暴击	1挖尘2雷电34易伤5时间6暴击7基地爆炸89核a赏金邻近
5	24215 23621	   	265.75	橙橙2易伤1暴击	1挖尘2雷电34易伤5最后敌人6暴击7时间89核a赏金塔
6	24215 23622	   	265.75	橙橙2易伤1暴击	1挖尘2雷电34易伤5最后敌人6暴击7时间89核a赏金邻近
7	24212 21623	   	265.65	橙橙2易伤1暴击	1挖尘2雷电34易伤5时间6暴击7基地爆炸89核a机枪对壮
8	24212 21625	   	265.65	橙橙2易伤1暴击	1挖尘2雷电34易伤5时间6暴击7基地爆炸89核a技能点
9	24212 21626	   	265.65	橙橙2易伤1暴击	1挖尘2雷电34易伤5时间6暴击7基地爆炸89核a导弹对毒
10	24215 23623	   	265.65	橙橙2易伤1暴击	1挖尘2雷电34易伤5最后敌人6暴击7时间89核a机枪对壮
11	31623 11146	   	258.54	橙橙1易伤1矿等1暴击1全技能	1随机矿2矿等39基地爆炸4全技能5易伤6a核7技能8暴击
12	24215 21621	   	257.45	橙橙2易伤1暴击	1挖尘2雷电34易伤5最后敌人6暴击7基地爆炸89核a赏金塔
13	24215 21622	   	257.45	橙橙2易伤1暴击	1挖尘2雷电34易伤5最后敌人6暴击7基地爆炸89核a赏金邻近
14	24215 21623	   	257.35	橙橙2易伤1暴击	1挖尘2雷电34易伤5最后敌人6暴击7基地爆炸89核a机枪对壮
15	46113 12161	 * 	255.52	橙橙1易伤1伤害1全技能	1基地爆炸2时间3伤害4金币生成5全技能6a核7电塔对甲8双倍秒伤9易伤
16	22113 12161	   	247.12	橙橙1易伤1伤害1全技能	1挖尘2基地爆炸3伤害4金币生成5全技能6a核7电塔对甲8双倍秒伤9易伤
17	24231 23624	   	246.10	橙橙1易伤2时间1暴击	1挖尘25雷电3易伤4最后敌人6暴击7a时间89核
18	21311 43642	 * 	245.32	橙橙2攻速1伤害1暴击	1挖尘2额外掉落3雷电4最后敌人57攻速6暴击8伤害9a核
19	31332 25313	 * 	244.95	橙3易伤3矿等2暴击	1随机矿278矿等3掉矿468易伤58暴击8序列升级9最后敌人a核
20	31332 25333	   	244.95	橙3易伤3矿等2暴击	1随机矿278矿等3掉矿468易伤58暴击8序列升级9敌人爆炸a核
21	22163 35333	 * 	244.62	紫橙2易伤1伤害1全技能	1挖尘27基地爆炸3伤害4赏金邻近59核6a易伤8全技能
