0	Index      	 *	Score 	Summary	Detail	
1	21551 63111	 * 	281.73	橙橙2易伤1伤害1全技能	1技能2全技能3伤害4散射对喷气5a易伤67核8时间9挖尘
2	21551 63131	   	273.16	橙橙1易伤1伤害1矿等1全技能	1技能2全技能3伤害4散射对喷气5易伤67核8时间9矿等a雷电
3	21551 63132	   	273.16	橙橙1易伤1伤害1矿等1全技能	1技能2全技能3伤害4散射对喷气5易伤67核8时间9矿等a金币生成
4	21551 63133	   	273.16	橙橙1易伤1伤害1矿等1全技能	1技能2全技能3伤害4散射对喷气5易伤67核8时间9矿等a敌人爆炸
5	21551 63123	   	271.83	橙橙1易伤1伤害2时间1全技能1平台	1技能2全技能3伤害4散射对喷气5易伤67核89时间a平台
6	61325 23214	 * 	268.31	紫橙3易伤1矿等1攻速	134易伤2金币生成5a核6攻速7赏金邻近8矿等9赏金塔
7	62633 42228	 * 	264.29	橙橙2矿等1易伤1暴击	1易伤2最后敌人3技能49矿等5加一6散射对喷气7a核8暴击
8	41412 22163	   	262.53	橙橙1易伤1矿等1暴击1攻速	1双倍矿2随机矿3攻速4金币生成5易伤6矿等7激光对冰8暴击9a核
9	21551 63121	   	262.07	橙橙1易伤1伤害2时间1全技能	1技能2全技能3伤害4散射对喷气5易伤67核89时间a激光减费
10	21551 63122	   	262.07	橙橙1易伤1伤害2时间1全技能	1技能2全技能3伤害4散射对喷气5易伤67核89时间a挖尘
11	22451 63111	   	261.52	橙橙2易伤1全技能1策反	1技能2寒冰对甲3策反4全技能5a易伤67核8时间9挖尘
12	63126 33152	 * 	258.61	橙3易伤3矿等3时间1暴击	179易伤278时间3雷电4暴击567矿等7序列升级a核
13	33236 12534	 * 	257.62	橙橙1易伤3时间1伤害	129时间3低血量敌人4伤害5随机矿6易伤7a核8等级
14	33426 32334	   	257.62	橙橙1易伤3时间1伤害	129时间3伤害4易伤5随机矿6最后敌人7a核8等级
15	33433 12334	   	257.62	橙橙1易伤3时间1伤害	129时间3伤害4最后敌人5金币生成6易伤7a核8等级
16	33436 12334	   	257.62	橙橙1易伤3时间1伤害	129时间3伤害4最后敌人5随机矿6易伤7a核8等级
17	33232 42534	   	257.52	橙橙1易伤3时间1伤害	129时间3低血量敌人4伤害5易伤6技能点7a核8等级
18	33232 52534	   	257.52	橙橙1易伤3时间1伤害	129时间3低血量敌人4伤害5易伤6金币生成7a核8技能点
19	33413 12534	   	257.42	橙橙1易伤3时间1伤害	129时间3伤害4挖尘5金币生成6易伤7a核8技能点
20	33423 32534	   	257.42	橙橙1易伤3时间1伤害	129时间3伤害4易伤5金币生成6挖青7a核8技能点
21	21551 63312	   	256.88	橙橙1易伤1伤害1全技能1平台	1技能2全技能3伤害4散射对喷气5易伤67核8金币生成9防空对甲a平台
22	21551 63212	   	256.78	橙橙1易伤1伤害1全技能1平台	1技能2全技能3伤害4散射对喷气5易伤67核8掉矿9防空对甲a平台
23	34533 24223	   	255.72	橙橙1易伤1伤害1全技能	1时间2额外掉落3易伤4低血量敌人59最后敌人6a核7全技能8伤害
24	64233 24223	   	255.72	橙橙1易伤1伤害1全技能	1易伤2额外掉落3时间4低血量敌人59最后敌人6a核7全技能8伤害
25	21551 63323	   	255.62	橙橙1易伤1伤害1全技能	1技能2全技能3伤害4散射对喷气5易伤67核8金币生成9额外掉落a时间
26	21551 63112	   	255.52	橙橙1易伤1伤害1全技能	1技能2全技能3伤害4散射对喷气5易伤67核8时间9挖尘a最后敌人
27	21551 63113	   	255.52	橙橙1易伤1伤害1全技能	1技能2全技能3伤害4散射对喷气5易伤67核8时间9挖尘a雷电
28	21551 63223	   	255.52	橙橙1易伤1伤害1全技能	1技能2全技能3伤害4散射对喷气5易伤67核8掉矿9额外掉落a时间
29	33425 41212	 * 	254.56	橙4易伤2伤害3时间	125时间3a伤害467a易伤8a低血量敌人9核a序列升级
30	22451 63131	   	252.95	橙橙1易伤1矿等1全技能1策反	1技能2寒冰对甲3策反4全技能5易伤67核8时间9矿等a雷电
31	22451 63132	   	252.95	橙橙1易伤1矿等1全技能1策反	1技能2寒冰对甲3策反4全技能5易伤67核8时间9矿等a金币生成
32	22451 63133	   	252.95	橙橙1易伤1矿等1全技能1策反	1技能2寒冰对甲3策反4全技能5易伤67核8时间9矿等a敌人爆炸
33	33232 52315	   	252.61	橙橙1易伤1伤害2时间	12时间3低血量敌人4伤害5易伤6金币生成7a核8基地爆炸9敌人爆炸
34	33236 12315	   	252.61	橙橙1易伤1伤害2时间	12时间3低血量敌人4伤害5随机矿6易伤7a核8基地爆炸9敌人爆炸
35	33421 52315	   	252.61	橙橙1易伤1伤害2时间	12时间3伤害4易伤5低血量敌人6金币生成7a核8基地爆炸9敌人爆炸
36	33233 42325	   	252.61	橙橙1易伤1伤害2时间	12时间3低血量敌人4伤害5敌人爆炸6等级7a核8基地爆炸9易伤
37	33233 52325	   	252.61	橙橙1易伤1伤害2时间	12时间3低血量敌人4伤害5敌人爆炸6金币生成7a核8基地爆炸9易伤
38	33232 42315	   	252.51	橙橙1易伤1伤害2时间	12时间3低血量敌人4伤害5易伤6技能点7a核8基地爆炸9敌人爆炸
39	33236 32125	   	252.51	橙橙1易伤1伤害2时间	12时间3低血量敌人4伤害5随机矿6挖尘7a核8基地爆炸9易伤
40	33236 32615	   	252.51	橙橙1易伤1伤害2时间	12时间3低血量敌人4伤害5随机矿6挖尘7a核8易伤9敌人爆炸
41	33411 42325	   	252.51	橙橙1易伤1伤害2时间	12时间3伤害4挖尘5低血量敌人6等级7a核8基地爆炸9易伤
42	33411 52325	   	252.51	橙橙1易伤1伤害2时间	12时间3伤害4挖尘5低血量敌人6金币生成7a核8基地爆炸9易伤
43	33421 42315	   	252.51	橙橙1易伤1伤害2时间	12时间3伤害4易伤5低血量敌人6技能点7a核8基地爆炸9敌人爆炸
