0	Index      	 *	Score 	Summary	Detail	
1	53512 31341	 * 	283.60	橙3易伤3伤害3攻速1等级	179伤害2等级379攻速4随机技能5基地爆炸679易伤79序列升级8核a平台
2	53512 31343	   	283.60	橙3易伤3伤害3攻速1等级	179伤害2等级379攻速4随机技能5基地爆炸679易伤79序列升级8核a低血量敌人
3	53513 31341	   	283.60	橙3易伤3伤害3攻速1等级	179伤害2等级379攻速4随机技能5敌人爆炸679易伤79序列升级8核a平台
4	53513 31343	   	283.60	橙3易伤3伤害3攻速1等级	179伤害2等级379攻速4随机技能5敌人爆炸679易伤79序列升级8核a低血量敌人
5	53512 31342	   	283.50	橙3易伤3伤害3攻速1等级	179伤害2等级379攻速4随机技能5基地爆炸679易伤79序列升级8核a赏金塔
6	53513 31342	   	283.50	橙3易伤3伤害3攻速1等级	179伤害2等级379攻速4随机技能5敌人爆炸679易伤79序列升级8核a赏金塔
7	53515 31322	   	268.39	橙2易伤2伤害1等级2攻速1全技能1暴击	17伤害2等级37攻速4随机技能5时间67易伤7序列升级8核9全技能a暴击
8	53515 31323	 * 	265.08	橙2易伤2伤害2等级2攻速1全技能	17伤害2a等级37攻速4随机技能5时间67易伤7序列升级8核9全技能
9	53512 31322	   	261.45	橙2易伤2伤害1等级2攻速1全技能1暴击	17伤害2等级37攻速4随机技能5基地爆炸67易伤7序列升级8核9全技能a暴击
10	53513 31322	   	261.45	橙2易伤2伤害1等级2攻速1全技能1暴击	17伤害2等级37攻速4随机技能5敌人爆炸67易伤7序列升级8核9全技能a暴击
11	53512 31323	   	258.14	橙2易伤2伤害2等级2攻速1全技能	17伤害2a等级37攻速4随机技能5基地爆炸67易伤7序列升级8核9全技能
12	53513 31323	   	258.14	橙2易伤2伤害2等级2攻速1全技能	17伤害2a等级37攻速4随机技能5敌人爆炸67易伤7序列升级8核9全技能
13	21661 31136	 * 	256.74	橙橙2易伤2矿等	18矿等2金币生成3技能点4掉矿5a易伤6毒液对黄79核
14	21661 31132	 * 	256.74	橙橙1易伤2矿等1等级	18矿等2金币生成3技能点4掉矿5易伤6毒液对黄79核a等级
15	53515 31311	   	256.70	橙2易伤2伤害1等级2攻速1矿等	17伤害2等级37攻速4随机技能5时间67易伤7序列升级8核9平台a矿等
16	53513 31335	   	256.29	橙3易伤2伤害1等级2攻速	17伤害2等级37攻速4随机技能5敌人爆炸67a易伤7序列升级8核9最后敌人
17	53515 31321	   	254.64	橙2易伤2伤害1等级2攻速1全技能	17伤害2等级37攻速4随机技能5时间67易伤7序列升级8核9全技能a掉矿
