0	Index      	 *	Score 	Summary	Detail	
1	12153 23131	 * 	324.00	紫橙2易伤1等级2伤害1全技能	19挖尘2平台37核4金币生成59伤害6全技能89易伤9序列升级a等级
2	21124 24683	 * 	320.35	紫橙2等级2易伤2时间	1额外掉落2加一38核4随机矿5a易伤6a等级7a时间9平台a序列升级
3	21132 24683	   	320.35	紫橙2等级2易伤2时间	1额外掉落2加一38核4a易伤5随机矿6a等级7a时间9平台a序列升级
4	21124 23651	   	311.21	紫橙2等级2易伤	17额外掉落2加一38核4随机矿59易伤69等级9序列升级a时间
5	21124 27651	   	311.21	紫橙2等级2易伤	1额外掉落2加一38核47随机矿59易伤69等级9序列升级a时间
6	21132 23651	   	311.21	紫橙2等级2易伤	17额外掉落2加一38核49易伤5随机矿69等级9序列升级a时间
7	21132 27651	   	311.21	紫橙2等级2易伤	1额外掉落2加一38核49易伤57随机矿69等级9序列升级a时间
8	21134 34151	 * 	306.47	紫4易伤2等级2暴击1全技能	1额外掉落2加一3核467a易伤5a等级8a暴击9全技能a序列升级
9	21134 31366	   	302.77	紫橙2易伤1等级1暴击	1额外掉落2加一3a核46易伤5等级7喷火对甲8暴击9随机技能
10	21124 23652	   	301.55	紫橙2等级2易伤	17额外掉落2加一38核4随机矿59易伤69等级9序列升级a基地爆炸
11	21124 23653	   	301.55	紫橙2等级2易伤	17额外掉落2加一38核4随机矿59易伤69等级9序列升级a低血量敌人
12	21124 23655	   	301.55	紫橙2等级2易伤	17额外掉落2加一38核4随机矿59易伤69等级9序列升级a平台
13	21124 23658	   	301.55	紫橙2等级2易伤	17额外掉落2加一38核4随机矿59易伤69等级9序列升级a最后敌人
14	21124 27652	   	301.55	紫橙2等级2易伤	1额外掉落2加一38核47随机矿59易伤69等级9序列升级a基地爆炸
15	21124 27653	   	301.55	紫橙2等级2易伤	1额外掉落2加一38核47随机矿59易伤69等级9序列升级a低血量敌人
16	21132 23652	   	301.55	紫橙2等级2易伤	17额外掉落2加一38核49易伤5随机矿69等级9序列升级a基地爆炸
17	21132 23653	   	301.55	紫橙2等级2易伤	17额外掉落2加一38核49易伤5随机矿69等级9序列升级a低血量敌人
18	21132 23655	   	301.55	紫橙2等级2易伤	17额外掉落2加一38核49易伤5随机矿69等级9序列升级a平台
19	21132 23658	   	301.55	紫橙2等级2易伤	17额外掉落2加一38核49易伤5随机矿69等级9序列升级a最后敌人
20	21132 27652	   	301.55	紫橙2等级2易伤	1额外掉落2加一38核49易伤57随机矿69等级9序列升级a基地爆炸
21	21132 27653	   	301.55	紫橙2等级2易伤	1额外掉落2加一38核49易伤57随机矿69等级9序列升级a低血量敌人
22	21134 24225	   	301.45	紫橙2等级2易伤	1额外掉落2加一3a核47易伤56等级89基地爆炸
23	21134 24335	   	301.45	紫橙2等级2易伤	1额外掉落2加一3a核47易伤56等级89最后敌人
24	21134 24815	   	301.45	紫橙2等级2易伤	1额外掉落2加一3a核47易伤56等级8技能点9金币生成
25	21124 23654	   	301.45	紫橙2等级2易伤1挖怪	17额外掉落2加一38核4随机矿59易伤69等级9序列升级a挖怪
26	21124 23656	   	301.45	紫橙2等级2易伤	17额外掉落2加一38核4随机矿59易伤69等级9序列升级a双倍秒伤
27	21124 27654	   	301.45	紫橙2等级2易伤1挖怪	1额外掉落2加一38核47随机矿59易伤69等级9序列升级a挖怪
28	21132 23654	   	301.45	紫橙2等级2易伤1挖怪	17额外掉落2加一38核49易伤5随机矿69等级9序列升级a挖怪
29	21132 23656	   	301.45	紫橙2等级2易伤	17额外掉落2加一38核49易伤5随机矿69等级9序列升级a双倍秒伤
30	21132 27654	   	301.45	紫橙2等级2易伤1挖怪	1额外掉落2加一38核49易伤57随机矿69等级9序列升级a挖怪
31	21134 24735	   	301.35	紫橙2等级2易伤	1额外掉落2加一3a核47易伤56等级8双倍矿9挖尘
32	21134 34225	 * 	299.94	紫橙3易伤1等级	1额外掉落2加一3a核467易伤5等级89基地爆炸
33	21134 34335	   	299.94	紫橙3易伤1等级	1额外掉落2加一3a核467易伤5等级89最后敌人
34	21134 34815	   	299.94	紫橙3易伤1等级	1额外掉落2加一3a核467易伤5等级8技能点9金币生成
35	21134 34735	   	299.84	紫橙3易伤1等级	1额外掉落2加一3a核467易伤5等级8双倍矿9挖尘
36	21134 21366	   	299.12	紫橙2等级1易伤1暴击	1额外掉落2加一3a核4易伤56等级7喷火对甲8暴击9随机技能
37	21134 24151	 * 	299.07	紫3等级3易伤2暴击1全技能	1额外掉落2加一3核47a易伤56a等级8a暴击9全技能a序列升级
38	21131 31142	 * 	296.87	紫3易伤1等级2伤害2烈焰减费1全技能	1额外掉落2加一3核489易伤58烈焰减费6全技能78伤害8序列升级a等级
39	21184 31142	   	296.87	紫3易伤1等级2伤害2毒气减费1全技能	1额外掉落2加一3核48毒气减费589易伤6全技能78伤害8序列升级a等级
40	21133 83366	   	295.74	紫橙2易伤1等级1暴击	1额外掉落2加一3a核47易伤5散射对绿6等级8暴击9随机技能
41	21134 13366	   	295.74	紫橙2易伤1等级1暴击	1额外掉落2加一3a核47易伤5等级6防空对愈8暴击9随机技能
42	21134 83366	   	295.74	紫橙2易伤1等级1暴击	1额外掉落2加一3a核47易伤5等级6激光对绿8暴击9随机技能
43	21134 38225	   	295.31	紫橙2易伤1等级1烈焰减费	1额外掉落2加一3a核46易伤5等级7烈焰减费89基地爆炸
44	21134 38335	   	295.31	紫橙2易伤1等级1烈焰减费	1额外掉落2加一3a核46易伤5等级7烈焰减费89最后敌人
45	21134 38815	   	295.31	紫橙2易伤1等级1烈焰减费	1额外掉落2加一3a核46易伤5等级7烈焰减费8技能点9金币生成
46	21134 38735	   	295.21	紫橙2易伤1等级1烈焰减费	1额外掉落2加一3a核46易伤5等级7烈焰减费8双倍矿9挖尘
