0	Index      	 *	Score 	Summary	Detail	
1	11252 23343	 * 	304.61	DCR|3LIT|4VULN|3CDMG|2ZMB	135LIT|239CDMG|39BPWR|49ZMB|679aVULN|8RCR
2	41411 22342	 * 	300.22	DCR|2LIT|4VULN|1MLV|1ASPD	137aVULN|23CGEN|3BPWR|4MLV|5ASPD|6RCR|89LIT
3	42411 22342	   	300.22	DCR|2LIT|4VULN|1MLV|1ASPD	137aVULN|23TLV|3BPWR|4MLV|5ASPD|6RCR|89LIT
4	42211 22342	   	300.12	DCR|2LIT|4VULN|1MLV|1ASPD	137aVULN|2TLV|4MLV|5ASPD|6RCR|89LIT
5	42211 22345	 * 	298.25	DCR|3LIT|3VULN|1MLV|1ASPD	137VULN|2TLV|4MLV|5ASPD|6RCR|89aLIT
6	54221 23212	   	296.04	DCR|4VULN|1LIT|1MLV|1CDMG|1ASPD	1ZMB|2356VULN|4CDMG|7RCR|8LIT|9ASPD|aMLV
7	11252 23346	   	295.07	DCR|3LIT|3VULN|3CDMG|3ZMB	135LIT|239CDMG|39BPWR|49aZMB|679VULN|8RCR
8	41411 22335	 * 	293.51	DCR|2LIT|3VULN|1MLV|2ASPD	137VULN|23CGEN|3BPWR|4MLV|59ASPD|6RCR|8aLIT
9	42411 22335	   	293.51	DCR|2LIT|3VULN|1MLV|2ASPD	137VULN|23TLV|3BPWR|4MLV|59ASPD|6RCR|8aLIT
10	42211 22335	   	293.41	DCR|2LIT|3VULN|1MLV|2ASPD	137VULN|2TLV|4MLV|59ASPD|6RCR|8aLIT
11	41411 22332	 * 	289.80	DCR|4VULN|1LIT|1MLV|2ASPD	137aVULN|23CGEN|3BPWR|4MLV|59ASPD|6RCR|8LIT
12	42411 22332	   	289.80	DCR|4VULN|1LIT|1MLV|2ASPD	137aVULN|23TLV|3BPWR|4MLV|59ASPD|6RCR|8LIT
13	42211 22332	   	289.70	DCR|4VULN|1LIT|1MLV|2ASPD	137aVULN|2TLV|4MLV|59ASPD|6RCR|8LIT
14	45411 22332	   	289.60	DCR|4VULN|1LIT|1MLV|2ASPD	137aVULN|23ERES|3BPWR|4MLV|59ASPD|6RCR|8LIT
15	54221 23214	   	286.81	DCR|2LIT|4VULN|1ASPD|1CDMG	1ZMB|2356VULN|4CDMG|7RCR|8aLIT|9ASPD
16	11252 23341	   	285.44	DCR|3LIT|3VULN|3CDMG|2ZMB	135LIT|239CDMG|39BPWR|49ZMB|679VULN|8RCR|aDMSP
17	11252 23342	   	285.34	DCR|3LIT|3VULN|3CDMG|2ZMB	135LIT|239CDMG|39BPWR|49ZMB|679VULN|8RCR|aDUR
18	11252 23345	   	285.34	DCR|3LIT|3VULN|3CDMG|2ZMB	135LIT|239CDMG|39BPWR|49ZMB|679VULN|8RCR|aDUST
19	32651 37443	 * 	282.73	DCR|2MLV|3VULN|1LIT|1DMG	19DUST|289VULN|3SNITOX|4DMG|59MLV|6MBVNT|7RCR|9BPWR|aLIT
20	11212 42213	   	282.42	DCR|3LIT|2VULN|1MLV|2CDMG	135LIT|23CDMG|3BPWR|4CGEN|6RCR|7ERES|8aVULN|9MLV
21	54221 23242	   	282.39	DCR|4VULN|1LIT|1MLV|1CDMG	1ZMB|2356VULN|4CDMG|7RCR|8LIT|9RMIN|aMLV
22	11252 23366	   	281.95	DCR|3LIT|3VULN|3CDMG	135LIT|23aCDMG|3BPWR|4ZMB|679VULN|8RCR
23	41411 22232	   	281.05	DCR|2LIT|3VULN|1MLV|1ASPD	137VULN|23CGEN|3BPWR|4MLV|5ASPD|6RCR|8LWND|9aLIT
24	41411 22343	   	281.05	DCR|2LIT|3VULN|1MLV|1ASPD	137VULN|23CGEN|3BPWR|4MLV|5ASPD|6RCR|89LIT|aBEXP
25	41411 23532	   	281.05	DCR|2LIT|3VULN|1MLV|1ASPD	138VULN|23CGEN|3BPWR|4MLV|5ASPD|6RCR|7LHND|9aLIT
