0	Index      	 *	Score 	Summary	Detail	
1	12143 21451	 * 	314.90	DCR|4VULN|1LIT|2DMG|1MLV|1ASPD	149DUST|2349VULN|49BPWR|5MLV|6RCR|7ASPD|89DMG|aLIT
2	35143 15311	 * 	304.57	DCR|5VULN|2MLV|1LIT	14BEXP|2346aVULN|46BPWR|56MLV|7AART|8RCR|9LIT
3	12143 15311	   	304.27	DCR|5VULN|2MLV|1LIT	14DUST|2346aVULN|46BPWR|56MLV|7AART|8RCR|9LIT
4	12145 22253	   	304.17	DCR|5VULN|2MLV|1LIT	149DUST|23479VULN|49BPWR|5LEGI|69MLV|8RCR|aLIT
5	33245 32115	 * 	300.83	DCR|2MLV|3VULN|1LIT|2ASPD|1CDMG	1BEXP|24ASPD|34MLV|4BPWR|579VULN|6RCR|8CDMG|aLIT
6	12143 21453	 * 	299.99	DCR|5VULN|3DMG|1MLV|2ASPD	149DUST|2349aVULN|49aBPWR|5MLV|6RCR|7aASPD|89aDMG
7	12143 22616	 * 	297.30	DCR|4VULN|1LIT|1FLTARM|1MLV	14DUST|2347VULN|4BPWR|5MLV|6RCR|8CGEN|9LIT|aFLTARM
8	12143 22516	   	297.20	DCR|4VULN|1LIT|1FLTARM|1MLV	14DUST|2347VULN|4BPWR|5MLV|6RCR|8ERES|9LIT|aFLTARM
9	35143 21115	   	291.00	DCR|4VULN|1LIT|1MLV|1CDMG|1ASPD	14BEXP|2349VULN|4BPWR|5MLV|6RCR|7ASPD|8CDMG|aLIT
10	35134 32115	   	290.90	DCR|4VULN|1LIT|1MLV|1CDMG|1ASPD	1BEXP|2379VULN|4MLV|5ASPD|6RCR|8CDMG|aLIT
11	12134 32115	   	290.80	DCR|4VULN|1LIT|1MLV|1CDMG|1ASPD	1DUST|2379VULN|4MLV|5ASPD|6RCR|8CDMG|aLIT
12	12143 21115	   	290.80	DCR|4VULN|1LIT|1MLV|1CDMG|1ASPD	14DUST|2349VULN|4BPWR|5MLV|6RCR|7ASPD|8CDMG|aLIT
13	64321 25331	 * 	290.46	DCR|3LIT|3VULN|2DMG	17aLIT|2DUST|3AART|47aVULN|57LHND|6RCR|7aBPWR|8CGEN|9aDMG
14	64322 25331	   	290.46	DCR|3LIT|3VULN|2DMG	17aLIT|2DUST|3AART|47aVULN|57LWND|6RCR|7aBPWR|8CGEN|9aDMG
15	23126 16235	 * 	290.01	DCR|2LIT|3VULN|1MLV|2ASPD	1TLV|2aLIT|3MLV|4CGEN|57aVULN|6BEXP|8RCR|9aASPD|aBPWR
16	33235 32115	   	289.71	DCR|2MLV|3VULN|1LIT|1CDMG|1ASPD	1BEXP|2ASPD|34MLV|579VULN|6RCR|8CDMG|aLIT
17	35136 21115	   	289.71	DCR|2MLV|3VULN|1LIT|1CDMG|1ASPD	1BEXP|239VULN|45MLV|6RCR|7ASPD|8CDMG|aLIT
18	12136 21115	   	289.56	DCR|2MLV|3VULN|1LIT|1CDMG|1ASPD	1DUST|239VULN|45MLV|6RCR|7ASPD|8CDMG|aLIT
19	12251 24523	   	286.52	DCR|3LIT|3VULN|1DMG|1CDMG	1DUST|29aVULN|3BEXP|4CDMG|59aLHND|6RCR|7DMG|89aLIT|9aBPWR
20	12623 24523	   	286.52	DCR|3LIT|3VULN|1DMG|1CDMG	1DUST|29aVULN|3CDMG|4LHND|59aBEXP|6RCR|7DMG|89aLIT|9aBPWR
21	12136 22416	   	286.37	DCR|2MLV|3VULN|1LIT|1CDMG	1DUST|237VULN|45MLV|6RCR|8CDMG|9LIT|aZMB
22	12143 26316	   	286.37	DCR|2MLV|3VULN|1LIT|1CDMG	14DUST|234VULN|4BPWR|58MLV|6RCR|7CDMG|9LIT|aZMB
23	12136 22415	   	285.43	DCR|2MLV|3VULN|1LIT|2CDMG	1DUST|237VULN|45MLV|6RCR|8aCDMG|9LIT
24	12143 26315	   	285.43	DCR|2MLV|3VULN|1LIT|2CDMG	14DUST|234VULN|4BPWR|58MLV|6RCR|7aCDMG|9LIT
