0	Index      	 *	Score 	Summary	Detail	
1	33424 21324	 * 	302.32	DCR|2LIT|2MLV|3VULN|1CDMG	1FEWX|28LIT|357VULN|4CDMG|6aMLV|9RCR
2	33424 21322	   	295.62	DCR|2LIT|3VULN|1MLV|1DMG|1CDMG	1FEWX|28LIT|357VULN|4CDMG|6MLV|9RCR|aDMG
3	33424 21323	 * 	294.72	DCR|2LIT|4VULN|1MLV|1CDMG	1FEWX|28LIT|357aVULN|4CDMG|6MLV|9RCR
4	33424 21321	 * 	292.85	DCR|3LIT|3VULN|1MLV|1CDMG	1FEWX|28aLIT|357VULN|4CDMG|6MLV|9RCR
5	42122 11315	   	284.22	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|29VULN|3BEXP|4DMG|59LHND|6ASPD|7RCR|89LIT|9BPWR|aMLV
6	42152 31315	   	284.22	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|29VULN|3BEXP|4ASPD|59LHND|6DMG|7RCR|89LIT|9BPWR|aMLV
7	42123 11315	   	284.02	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|29VULN|3BEXP|4DMG|59DUST|6ASPD|7RCR|89LIT|9BPWR|aMLV
8	42125 11315	   	284.02	DCR|2LIT|2VULN|1MLV|1DMG|2DUR|1ASPD	1ZMB|29VULN|3BEXP|4DMG|59DUR|6ASPD|7RCR|89LIT|9BPWR|aMLV
9	42153 31315	   	284.02	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|29VULN|3BEXP|4ASPD|59DUST|6DMG|7RCR|89LIT|9BPWR|aMLV
10	26442 72234	   	281.43	DCR|2LIT|2MLV|2VULN|1DMG	1RPLT|2BELT|3MBVNT|4aMLV|5aLIT|6DMG|7ERES|8RCR|9aVULN|aBPWR
11	26418 11234	 * 	279.32	DCR|2LIT|2VULN|2DMG|1MLV	1RPLT|2BELT|3MBVNT|4aLIT|5aDMG|6CGEN|7MLV|8RCR|9aVULN|aBPWR
12	32636 43223	 * 	279.07	DCR|2LIT|2MLV|2DMG|1VULN	1FEWX|2ZMB|3aLIT|4aMLV|5ERES|6aDMG|7BEXP|8RCR|9VULN|aBPWR
13	42212 53253	 * 	276.41	DCR|5VULN|2LIT	1ZMB|2569aVULN|3RCVC|46LIT|6BPWR|7RCR|8DUR
14	11225 63332	   	276.25	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1LHND|2DUR|348VULN|5MLV|6LIT|7RCR|9CDMG|aDMG
15	15225 63332	   	276.25	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1LHND|2DUST|348VULN|5MLV|6LIT|7RCR|9CDMG|aDMG
16	42212 53423	   	275.84	DCR|2LIT|3VULN|1MLV|2ZMB	19ZMB|256VULN|3RCVC|46LIT|6BPWR|7RCR|8LHND|aMLV
17	13424 21421	   	275.55	DCR|2LIT|3VULN|1MLV|1CDMG	18LHND|2aLIT|357VULN|4CDMG|6MLV|9RCR
18	33424 21221	   	275.55	DCR|2LIT|3VULN|1MLV|1CDMG	18FEWX|2aLIT|357VULN|4CDMG|6MLV|9RCR
19	33424 23323	   	275.55	DCR|2LIT|3VULN|1MLV|1CDMG	1FEWX|28LIT|35aVULN|4CDMG|6MLV|7RCVC|9RCR
20	33425 21323	   	275.55	DCR|2LIT|3VULN|1MLV|1CDMG	15FEWX|28LIT|37aVULN|4CDMG|6MLV|9RCR
21	33424 21325	   	275.45	DCR|2LIT|3VULN|1MLV|1CDMG	1FEWX|28LIT|357VULN|4CDMG|6MLV|9RCR|aERES
22	33424 21326	   	275.45	DCR|2LIT|3VULN|1MLV|1CDMG	1FEWX|28LIT|357VULN|4CDMG|6MLV|9RCR|aCANTOX
23	13421 13441	 * 	275.22	DCR|2LIT|2MLV|1FLTARM|1VULN|1CDMG	1LHND|27LIT|3VULN|4CDMG|58MLV|6ZMB|9FLTARM|aRCR
