0	Index      	 *	Score 	Summary	Detail	
1	53623 51123	 * 	283.49	DCR|2LIT|2MLV|2VULN|1FLTARM	1RCVC|27MLV|34VULN|5ERES|6FLTARM|89LIT|aRCR
2	63626 22233	 * 	280.13	3LIT|4VULN|2FLTARM|2DMG	1RPLT|248aVULN|346LIT|4aBPWR|5RMIN|7aDMG|9aFLTARM
3	53662 11123	 * 	276.03	DCR|2LIT|2MLV|2VULN|1DMG	1RCVC|27MLV|35VULN|4GSSTOX|6DMG|89LIT|aRCR
4	53625 11123	   	275.88	DCR|2LIT|2MLV|2VULN|1DMG	1RCVC|27MLV|34VULN|5LSRHEA|6DMG|89LIT|aRCR
5	53662 13123	 * 	275.62	DCR|2LIT|2VULN|2DMG|1MLV	1RCVC|2MLV|35VULN|4GSSTOX|67DMG|89LIT|aRCR
6	53625 13123	   	275.52	DCR|2LIT|2VULN|2DMG|1MLV	1RCVC|2MLV|34VULN|5LSRHEA|67DMG|89LIT|aRCR
7	32512 23163	 * 	272.31	DCR|3LIT|2VULN|1MLV|1CDMG	1CANARM|2DUST|36VULN|459LIT|7CDMG|8RCR|aMLV
8	13531 45223	 * 	271.38	DCR|2LIT|3ASPD|1VULN|1MLV|3ZMB	178ZMB|278ASPD|34LIT|5MLV|678FEWX|78BPWR|9RCR|aVULN
9	63622 23136	 * 	267.92	DCR|2LIT|3VULN|1DMG|1AART	1RPLT|246VULN|34LIT|4BPWR|5LWND|7ERES|8RCR|9DMG|aAART
10	26241 24213	 * 	266.96	DCR|3LIT|3VULN|1AART|1DUR	1DUR|2RPLT|369VULN|4BELT|568LIT|6BPWR|7RCR|aAART
11	41133 11165	   	266.66	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG	12CGEN|3DUST|4MLV|5CDMG|69LIT|7FLTARM|8RCR|aVULN
12	42133 11165	   	266.66	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG	12CGEN|2BPWR|3DUST|4MLV|5CDMG|69LIT|7FLTARM|8RCR|aVULN
13	43133 11165	   	266.66	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG	1CGEN|2RCVC|3DUST|4MLV|5CDMG|69LIT|7FLTARM|8RCR|aVULN
14	53133 11165	   	266.66	DCR|2LIT|1FLTARM|1MLV|1VULN|1CDMG	1RCVC|2MLV|3DUST|4TLV|5CDMG|69LIT|7FLTARM|8RCR|aVULN
15	31166 21511	   	266.14	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD|2ZMB	1CANARM|24ZMB|34VULN|4BPWR|5DUST|6RCR|7ASPD|8LIT|9DMG|aMLV
16	63622 21123	 * 	265.47	DCR|3LIT|3VULN|1DMG	1RPLT|246VULN|349LIT|4BPWR|5LWND|7DMG|8RMIN|aRCR
17	63622 21523	   	265.47	DCR|3LIT|3VULN|1DMG	1RPLT|246VULN|349LIT|4BPWR|5LWND|7DMG|8CGEN|aRCR
18	63626 22213	   	265.47	DCR|3LIT|3VULN|1DMG	1RPLT|248VULN|346LIT|4BPWR|5RMIN|7DMG|9LHND|aRCR
19	22214 63212	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DUR|2VENTOX|3aVULN|48LIT|5DMG|6RCR|7SPLARM|9MLV
20	35214 63212	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG	1CANARM|2BEXP|3aVULN|48LIT|5DMG|6RCR|7SPLARM|9MLV
21	32514 63212	   	264.93	DCR|2LIT|2VULN|1MLV|1DMG	1CANARM|2DUST|3aVULN|48LIT|5DMG|6RCR|7SPLARM|9MLV
22	51511 42426	 * 	264.77	DCR|3LIT|4VULN	1RCVC|2789VULN|379LIT|479BEXP|5MBVNT|6BELT|79BPWR|aRCR
23	22214 61351	 * 	264.40	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	1DUR|2VENTOX|389VULN|4LIT|5DMG|6RCR|7LWND|aMLV
24	11624 11631	   	264.23	DCR|3VULN|1LIT|1MLV|1DMG	1ZMB|2CGEN|3MLV|459VULN|6DMG|7BELT|8LIT|aRCR
25	63622 32141	   	264.10	DCR|3LIT|2VULN|1MLV	1RPLT|24VULN|34aLIT|4BPWR|5LWND|6MLV|7ZMB|8FEWX|9RCR
26	63622 25122	 * 	263.80	DCR|2LIT|3VULN|1MLV	1RPLT|246VULN|34LIT|4BPWR|59LWND|7CGEN|8RCR|aMLV
27	63622 23122	   	263.70	DCR|2LIT|3VULN|1MLV	1RPLT|246VULN|34LIT|4BPWR|59LWND|7ERES|8RCR|aMLV
28	63612 32142	   	263.60	DCR|2LIT|3VULN|1MLV	1RPLT|256VULN|3aLIT|4MLV|7FEWX|8RCR|9VENICY
29	13562 53223	 * 	263.41	DCR|3LIT|2VULN|2ASPD	1ZMB|27ASPD|389LIT|4TLV|5aVULN|6RCR
30	31121 52263	   	262.84	DCR|1LIT|2VULN|1FLTARM|1MLV	1CANARM|2ZMB|35VULN|4TLV|6RCR|7ERES|8LIT|9FLTARM|aMLV
31	31135 52263	   	262.84	DCR|1LIT|2VULN|1FLTARM|1MLV	1CANARM|2ZMB|34VULN|5TLV|6RCR|7ERES|8LIT|9FLTARM|aMLV
32	31136 21511	   	262.75	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1CANARM|2ZMB|34VULN|5DUST|6RCR|7ASPD|8LIT|9DMG|aMLV
33	31136 22541	   	262.75	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1CANARM|2ZMB|34VULN|5DUST|6RCR|7DMG|8LIT|9ASPD|aMLV
34	13532 63214	   	262.05	DCR|2LIT|2VULN|1MLV|1ASPD	1ZMB|2ASPD|34LIT|5aVULN|6BLASTR|7AART|8RCR|9MLV
35	51532 13362	   	262.05	DCR|2LIT|2VULN|1MLV|1CDMG	1RCVC|25VULN|34LIT|6ZMB|7DUST|8RCR|9MLV|aCDMG
36	63621 36121	   	261.73	DCR|2LIT|2VULN|1MLV|1DMG	1RPLT|24VULN|34LIT|4BPWR|5CGEN|6TLV|7MLV|8RCR|9LWND|aDMG
37	63622 36121	   	261.73	DCR|2LIT|2VULN|1MLV|1DMG	1RPLT|24VULN|34LIT|4BPWR|59LWND|6MLV|7RCVC|8RCR|aDMG
38	63622 36131	   	261.73	DCR|2LIT|2VULN|1MLV|1DMG	1RPLT|24VULN|34LIT|4BPWR|5LWND|6MLV|7RCVC|8RCR|9DMG|aCGEN
39	63622 36132	   	261.73	DCR|2LIT|2VULN|1MLV|1DMG	1RPLT|24VULN|34LIT|4BPWR|5aLWND|6MLV|7RCVC|8RCR|9DMG
40	63622 36133	   	261.73	DCR|2LIT|2VULN|1MLV|1DMG	1RPLT|24VULN|34LIT|4BPWR|5LWND|6MLV|7RCVC|8RCR|9DMG|aBEXP
41	63612 22111	   	261.63	DCR|2LIT|2VULN|1MLV|1DMG	1RPLT|25VULN|36LIT|4MLV|7FEWX|8RCR|9DMSP|aDMG
42	63612 22131	   	261.63	DCR|2LIT|2VULN|1MLV|1DMG	1RPLT|25VULN|36LIT|4MLV|7FEWX|8RCR|9DMG|aCGEN
43	63612 22132	   	261.63	DCR|2LIT|2VULN|1MLV|1DMG	1RPLT|25VULN|36LIT|4MLV|7FEWX|8RCR|9DMG|aLWND
44	63612 22134	   	261.63	DCR|2LIT|2VULN|1MLV|1DMG	1RPLT|25VULN|36LIT|4MLV|7FEWX|8RCR|9DMG|aBEXP
45	63612 22136	   	261.63	DCR|2LIT|2VULN|1MLV|1DMG	1RPLT|25VULN|36LIT|4MLV|7FEWX|8RCR|9DMG|aDMSP
46	63612 22151	   	261.63	DCR|2LIT|2VULN|1MLV|1DMG	1RPLT|25VULN|36LIT|4MLV|7FEWX|8RCR|9RCVC|aDMG
47	63612 22161	   	261.63	DCR|2LIT|2VULN|1MLV|1DMG	1RPLT|25VULN|36LIT|4MLV|7FEWX|8RCR|9LWND|aDMG
48	61432 23136	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1RPLT|2BEXP|36VULN|45LIT|7ERES|8RCR|9DMG|aMLV
49	63612 22133	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1RPLT|25VULN|36LIT|4MLV|7FEWX|8RCR|9DMG|aERES
