0	Index      	 *	Score 	Summary	Detail	
1	32331 53614	 * 	310.18	DCR|2VULN|2LIT|2MLV|1TLV|1DMG|1RPLT	1RPLT|28MLV|38VULN|4DMG|5AAC|6DUR|78LIT|8BPWR|9TLV|aRCR
2	32332 31112	 * 	304.23	DCR|2VULN|2TLV|1LIT|1MLV|1DMG|1RPLT	1RPLT|2MLV|37VULN|4DMG|5MSLFST|6LIT|8aTLV|9RCR
3	33316 32416	   	293.93	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2CGEN|35VULN|46TLV|7LIT|8DUR|9MLV|aRCR
4	32316 33317	   	293.83	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|35VULN|46TLV|7MBVNT|8DUR|9RCR|aLIT
5	32316 33365	   	293.83	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|35VULN|46TLV|7MBVNT|8DUR|9LIT|aRCR
6	32316 32416	   	293.83	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|35VULN|46TLV|7LIT|8DUR|9AME|aRCR
7	31135 25141	 * 	292.86	DCR|DCR|2VULN|1TLV|1RPLT	1RPLT|2SPLARM|3BBNT|45VULN|6aRCR|7RCVC|8AAC|9TLV
8	32316 36135	   	289.83	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|35VULN|46TLV|7RCR|8CGEN|9TBNT|aLIT
9	32316 32163	   	289.83	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|35VULN|46TLV|7LIT|8FEWX|9TBNT|aRCR
10	32316 33475	   	289.73	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|35VULN|46TLV|7MBVNT|8LIT|9TBNT|aRCR
11	32332 31114	 * 	289.02	DCR|3VULN|1TLV|1LIT|1MLV|1DMG|1RPLT	1RPLT|2MLV|37aVULN|4DMG|5MSLFST|6LIT|8TLV|9RCR
12	31656 11231	   	286.72	DCR|DCR|1TLV|1VULN|1DMG|1RPLT	1RPLT|2SPLARM|3TLV|4DUR|5FEWX|6LWND|7DMG|8VULN|9aRCR
13	14623 51131	   	286.62	DCR|DCR|1TLV|1VULN|1DMG|1RPLT	1SPLARM|2RPLT|3TLV|4VULN|5LEGI|6DUR|7DMG|8LWND|9aRCR
14	31623 51131	   	286.62	DCR|DCR|1TLV|1VULN|1DMG|1RPLT	1RPLT|2SPLARM|3TLV|4VULN|5LEGI|6DUR|7DMG|8LWND|9aRCR
15	14623 51331	   	286.52	DCR|DCR|1TLV|1VULN|1DMG|1RPLT	1SPLARM|2RPLT|3TLV|4VULN|5LEGI|6DUR|7DMG|8DUST|9aRCR
16	31623 51331	   	286.52	DCR|DCR|1TLV|1VULN|1DMG|1RPLT	1RPLT|2SPLARM|3TLV|4VULN|5LEGI|6DUR|7DMG|8DUST|9aRCR
17	32316 32616	   	284.27	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|35VULN|46TLV|7LIT|8RMIN|9FEWX|aRCR
18	32316 32636	   	284.27	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|35VULN|46TLV|7LIT|8RMIN|9LWND|aRCR
