0	Index      	 *	Score 	Summary	Detail	
1	16133 15251	 * 	305.34	DCR|2VULN|2TLV|2LIT|1DMG|2DUR|1CDMG	1DUST|28LIT|3DMG|4aVULN|58DUR|6CDMG|78TLV|8BPWR|9RCR
2	16212 11251	 * 	303.61	DCR|2VULN|2TLV|2LIT|2ASPD|1CDMG	1DUST|28LIT|3aVULN|4DUR|58TLV|6CDMG|78ASPD|8BPWR|9RCR
3	16133 15252	   	287.44	DCR|2TLV|2LIT|1VULN|1DMG|2DUR|1CDMG	1DUST|28LIT|3DMG|4VULN|58DUR|6CDMG|78TLV|8BPWR|9RCR|aAART
4	16212 11252	   	285.71	DCR|2TLV|2LIT|1VULN|2ASPD|1CDMG	1DUST|28LIT|3VULN|4DUR|58TLV|6CDMG|78ASPD|8BPWR|9RCR|aAART
5	56131 21243	 * 	280.14	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	1LWND|26LIT|3DMG|4VULN|5MLV|7RCR|8aTLV|9AAC
6	16131 21243	   	280.04	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	1DUST|26LIT|3DMG|4VULN|5MLV|7RCR|8aTLV|9AAC
7	16133 15253	   	279.14	DCR|2TLV|2LIT|1VULN|1DMG|2DUR|1CDMG	1DUST|28LIT|3DMG|4VULN|58DUR|6CDMG|78TLV|8BPWR|9RCR|aMGNLIT
8	16212 11253	   	277.40	DCR|2TLV|2LIT|1VULN|2ASPD|1CDMG	1DUST|28LIT|3VULN|4DUR|58TLV|6CDMG|78ASPD|8BPWR|9RCR|aMGNLIT
9	16212 11255	   	277.40	DCR|2TLV|2LIT|1VULN|2ASPD|1CDMG	1DUST|28LIT|3VULN|4DUR|58TLV|6CDMG|78ASPD|8BPWR|9RCR|aBEXP
10	16212 11256	   	277.40	DCR|2TLV|2LIT|1VULN|2ASPD|1CDMG	1DUST|28LIT|3VULN|4DUR|58TLV|6CDMG|78ASPD|8BPWR|9RCR|aLHND
11	16131 51243	 * 	277.31	DCR|2TLV|2DMG|1LIT|1VULN|1MLV	1DUST|2LIT|36DMG|4VULN|5MLV|7RCR|8aTLV|9AAC
12	16212 11254	   	277.30	DCR|2TLV|2LIT|1VULN|2ASPD|1CDMG	1DUST|28LIT|3VULN|4DUR|58TLV|6CDMG|78ASPD|8BPWR|9RCR|aERES
