0	Index      	 *	Score 	Summary	Detail	
1	21224 43235	 * 	344.50	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR|1SELL	1TLV|2SELL|3RPLT|46VULN|5RCR|7DUR|8BBNT|9CDMG|aMDPS
2	66313 31235	 * 	342.45	DCR|2MDPS|1CDMG|1DMG|1DUR	1RMIN|2TBNT|3CGEN|4DUR|5DMG|6ZMB|7CDMG|8RCR|9aMDPS
3	21131 63451	 * 	341.05	3VULN|1MDPS|3TLV|2DUR|1SELL	179TLV|2SELL|37DUR|4BOSS|579VULN|6BELT|79BPWR|89CGEN|aMDPS
4	24136 23216	 * 	340.25	DCR|4VULN|1TLV|1DUR	1TLV|2MULHEA|3DUR|4LHND|5678VULN|9BEXP|aRCR
5	36153 43122	 * 	331.34	DCR|2VULN|1MDPS|1DUR	15CGEN|2MLV|3LWND|45VULN|5BPWR|6FEWX|7LHND|8RCR|9DUR|aMDPS
6	36353 53122	   	331.24	DCR|2VULN|1MDPS|1DUR	15CGEN|2MLV|3FEWX|45VULN|5BPWR|6AETHUN|7LHND|8RCR|9DUR|aMDPS
7	34533 35233	   	331.14	DCR|2VULN|1MDPS|1DUR	1CGEN|2MULHEA|3AAC|4FEWX|5DUR|68VULN|7BOSS|9RCR|aMDPS
8	62631 62233	   	331.14	DCR|2VULN|1MDPS|1DUR	1RMIN|2LWND|3DUR|4BOSS|5ZMB|68VULN|7BASHEA|9RCR|aMDPS
9	63631 62233	   	331.14	DCR|2VULN|1MDPS|1DUR	1RMIN|2LHND|3DUR|4BOSS|5ZMB|68VULN|7BASHEA|9RCR|aMDPS
10	61552 21133	   	331.04	DCR|2VULN|1MDPS|1DUR	1RMIN|2RAT|3LEGI|4BBNT|5MLV|69VULN|7DUR|8RCR|aMDPS
11	64631 12233	   	331.04	DCR|2VULN|1MDPS|1DUR	1RMIN|28VULN|3DUR|4BOSS|5ZMB|6DUST|7BASHEA|9RCR|aMDPS
12	31353 35423	   	330.90	DCR|2VULN|1MDPS|1DUR|1SELL	1CGEN|2SELL|3BEXP|4LIT|5SNITOX|68VULN|7RCR|9DUR|aMDPS
13	21152 11313	 * 	330.84	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1SELL	1TLV|2SELL|3DUR|4LIT|5TBNT|6RCR|7CDMG|8VULN|9MLV|aMDPS
14	21152 12623	 * 	330.84	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1SELL	1TLV|2SELL|3DUR|4LIT|5TBNT|6RCR|7CGEN|8VULN|9CDMG|aMDPS
15	21154 11313	 * 	330.84	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1SELL	1TLV|2SELL|3DUR|4LIT|5BBNT|6RCR|7CDMG|8VULN|9MLV|aMDPS
16	21154 12623	 * 	330.84	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1SELL	1TLV|2SELL|3DUR|4LIT|5BBNT|6RCR|7CGEN|8VULN|9CDMG|aMDPS
17	21622 11313	 * 	330.84	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1SELL	1TLV|2SELL|3LIT|4DUR|5TBNT|6RCR|7CDMG|8VULN|9MLV|aMDPS
18	21622 12623	 * 	330.84	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1SELL	1TLV|2SELL|3LIT|4DUR|5TBNT|6RCR|7CGEN|8VULN|9CDMG|aMDPS
19	21624 11313	 * 	330.84	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1SELL	1TLV|2SELL|3LIT|4DUR|5BBNT|6RCR|7CDMG|8VULN|9MLV|aMDPS
20	21624 12623	 * 	330.84	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1SELL	1TLV|2SELL|3LIT|4DUR|5BBNT|6RCR|7CGEN|8VULN|9CDMG|aMDPS
21	31111 43631	   	330.80	DCR|2VULN|1MDPS|1DUR|1SELL	14CGEN|2SELL|3DUR|5AEWIND|6AEBURN|7RCR|89VULN|aMDPS
22	31111 65631	   	330.80	DCR|2VULN|1MDPS|1DUR|1SELL	14CGEN|2SELL|3DUR|5AEWIND|6RCR|7AEPOI|89VULN|aMDPS
23	31121 43631	   	330.80	DCR|2VULN|1MDPS|1DUR|1SELL	1CGEN|2SELL|3DUR|4RCVC|5AEWIND|6AEBURN|7RCR|89VULN|aMDPS
24	31121 65631	   	330.80	DCR|2VULN|1MDPS|1DUR|1SELL	1CGEN|2SELL|3DUR|4RCVC|5AEWIND|6RCR|7AEPOI|89VULN|aMDPS
25	31153 35433	   	330.80	DCR|2VULN|1MDPS|1DUR|1SELL	1CGEN|2SELL|3DUR|4LIT|5SNITOX|68VULN|7RCR|9DUST|aMDPS
26	31623 35433	   	330.80	DCR|2VULN|1MDPS|1DUR|1SELL	1CGEN|2SELL|3LIT|4DUR|5SNITOX|68VULN|7RCR|9DUST|aMDPS
27	21152 11363	 * 	330.74	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1SELL	1TLV|2SELL|3DUR|4LIT|5TBNT|6RCR|7CDMG|8VULN|9BBNT|aMDPS
28	21152 11513	 * 	330.74	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1SELL	1TLV|2SELL|3DUR|4LIT|5TBNT|6RCR|7CDMG|8BBNT|9VULN|aMDPS
29	21154 11363	 * 	330.74	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1SELL	1TLV|2SELL|3DUR|4LIT|5BBNT|6RCR|7CDMG|8VULN|9TBNT|aMDPS
30	21154 11513	 * 	330.74	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1SELL	1TLV|2SELL|3DUR|4LIT|5BBNT|6RCR|7CDMG|8TBNT|9VULN|aMDPS
31	21622 11363	 * 	330.74	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1SELL	1TLV|2SELL|3LIT|4DUR|5TBNT|6RCR|7CDMG|8VULN|9BBNT|aMDPS
32	21622 11513	 * 	330.74	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1SELL	1TLV|2SELL|3LIT|4DUR|5TBNT|6RCR|7CDMG|8BBNT|9VULN|aMDPS
33	21624 11363	 * 	330.74	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1SELL	1TLV|2SELL|3LIT|4DUR|5BBNT|6RCR|7CDMG|8VULN|9TBNT|aMDPS
34	21624 11513	 * 	330.74	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1SELL	1TLV|2SELL|3LIT|4DUR|5BBNT|6RCR|7CDMG|8TBNT|9VULN|aMDPS
35	51121 43631	   	330.60	DCR|2VULN|1MDPS|1DUR|1SELL	14AME|2SELL|3DUR|5AEWIND|6AEPOI|7RCR|89VULN|aMDPS
36	24136 21421	 * 	328.54	3VULN|1MDPS|1CDMG|1TLV|1DUR	1TLV|2MULHEA|3DUR|4LHND|568VULN|7CDMG|9MDPS|aCGEN
37	24136 21422	   	328.54	3VULN|1MDPS|1CDMG|1TLV|1DUR	1TLV|2MULHEA|3DUR|4LHND|568VULN|7CDMG|9MDPS|aAEBURN
38	24136 21423	   	328.54	3VULN|1MDPS|1CDMG|1TLV|1DUR	1TLV|2MULHEA|3DUR|4LHND|568VULN|7CDMG|9MDPS|aZMB
39	36214 36133	 * 	323.84	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR	1CGEN|2MLV|3RAT|4LIT|5TLV|6VULN|7RCR|8DUR|9DMG|aMDPS
40	23412 26135	   	323.74	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR	1TLV|2RAT|3ERES|4LIT|5VULN|6MLV|7RCR|8DUR|9DMG|aMDPS
41	22236 51633	   	323.64	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR	1TLV|2LWND|3DUST|4ERES|5VULN|6LHND|7DUR|8DMG|9RCR|aMDPS
42	24136 23153	   	321.30	3VULN|1MDPS|1TLV|1DMG|1DUR	1TLV|2MULHEA|3DUR|4LHND|567VULN|8RPLT|9DMG|aMDPS
43	21152 16134	 * 	320.74	DCR|2MDPS|1TLV|1DUR|1SELL	1TLV|2SELL|3DUR|49LIT|5TBNT|6RCR|7aMDPS|8RAT
44	21622 16134	 * 	320.74	DCR|2MDPS|1TLV|1DUR|1SELL	1TLV|2SELL|39LIT|4DUR|5TBNT|6RCR|7aMDPS|8RAT
45	26111 43122	 * 	320.67	DCR|1MDPS|1VULN|2TLV|1DUR	14TLV|2MLV|3LWND|5LHND|6FEWX|7VULN|8RCR|9DUR|aMDPS
